Row,Column,x,y,w,h
0,0,184,1560,102,24
0,1,289,1560,94,24
0,2,385,1560,107,24
0,3,495,1560,72,24
0,4,570,1560,84,24
0,5,656,1560,54,24
0,6,713,1560,64,24
0,7,780,1560,88,24
0,8,870,1560,84,24
0,9,957,1560,117,24
0,10,1077,1560,82,24
0,11,1162,1560,72,24
1,0,184,1587,102,29
1,1,289,1587,94,29
1,2,385,1587,107,29
1,3,495,1587,72,29
1,4,570,1587,84,29
1,5,656,1587,54,29
1,6,713,1587,64,29
1,7,780,1587,88,29
1,8,870,1587,84,29
1,9,957,1587,117,29
1,10,1077,1587,82,29
1,11,1162,1587,72,29
2,0,184,1619,102,29
2,1,289,1619,94,29
2,2,385,1619,107,29
2,3,495,1619,72,29
2,4,570,1619,84,29
2,5,656,1619,54,29
2,6,713,1619,64,29
2,7,780,1619,88,29
2,8,870,1619,84,29
2,9,957,1619,117,29
2,10,1077,1619,82,29
2,11,1162,1619,72,29
3,0,184,1651,102,29
3,1,289,1651,94,29
3,2,385,1651,107,29
3,3,495,1651,72,29
3,4,570,1651,84,29
3,5,656,1651,54,29
3,6,713,1651,64,29
3,7,780,1651,88,29
3,8,870,1651,84,29
3,9,957,1651,117,29
3,10,1077,1651,82,29
3,11,1162,1651,72,29
