Row,Column,x,y,w,h
0,0,45,1433,55,27
0,1,101,1433,96,27
0,2,249,1433,38,27
0,3,289,1433,94,27
0,4,425,1433,43,27
0,5,470,1433,98,27
0,6,614,1433,47,27
0,7,663,1433,89,27
0,8,801,1433,66,27
0,9,870,1433,125,27
0,10,1056,1433,53,27
0,11,1110,1433,124,27
1,0,45,1463,55,26
1,1,101,1463,96,26
1,2,249,1463,38,26
1,3,289,1463,94,26
1,4,425,1463,43,26
1,5,470,1463,98,26
1,6,614,1463,47,26
1,7,663,1463,89,26
1,8,801,1463,66,26
1,9,870,1463,125,26
1,10,1056,1463,53,26
1,11,1110,1463,124,26
2,0,45,1492,55,33
2,1,101,1492,96,33
2,2,249,1492,38,33
2,3,289,1492,94,33
2,4,425,1492,43,33
2,5,470,1492,98,33
2,6,614,1492,47,33
2,7,663,1492,89,33
2,8,801,1492,66,33
2,9,870,1492,125,33
2,10,1056,1492,53,33
2,11,1110,1492,124,33
