	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.2931	0.2243	0.0774	0.0228	-0.1566	-0.2505	-0.5087	-0.2584	-0.2083	-0.1875	-0.0587	-0.0587	-0.0432	-0.056	-0.2317	-0.0296	0.2064	0.3072	0.3598	0.1799	0.2229	0.2229	-0.216
-4	0.267	0.3203	0.1049	0.1869	-0.1761	-0.4442	-0.4177	-0.3358	-0.1179	-0.3366	-0.2834	-0.2834	-0.0166	-0.0369	-0.5883	-0.286	0.2461	0.1517	0.4822	0.7086	0.1798	0.1798	0.7107
-3	0.0214	0.1348	-0.193	0.1114	-0.0268	-0.1644	-0.5292	-0.8637	-0.453	-0.4536	-0.16	-0.16	0.1546	0.0074	-0.8308	-0.6516	0.0211	0.5035	0.8262	1.0129	0.2357	0.2357	0.6731
-2	0.3974	0.4315	0.0297	0.345	0.2821	-0.0261	-0.4178	-0.5924	-0.3298	-0.462	-0.807	-0.807	-0.4187	-0.0149	-0.6404	-0.5236	0.2629	0.3273	0.4834	0.7509	0.5597	0.5597	0.2198
-1	-0.2637	-1.2641	-0.4539	-0.454	-1.3054	0.4048	1.4067	1.4904	0.9505	-0.1622	0.0785	0.0785	-0.7767	-0.402	-1.6969	-2.0693	-0.8949	-1.2138	-0.1896	0.2822	1.6002	1.6002	0.278
1	-2.154	1.5599	0.7596	-0.1079	0.1506	-0.284	-0.2039	-0.4393	-0.5437	0.4586	-0.7025	-0.7025	0.38	-0.3466	-1.8861	-1.1909	-0.03	-0.8897	0.0403	0.6586	-0.3482	-0.3482	0.2814
2	0.4136	-0.0986	0.1097	-0.0232	0.387	0.4429	0.2621	-0.1009	-0.4075	-0.3303	-0.3661	-0.3661	0.1458	-0.4913	-0.095	0.269	-0.0673	-0.0978	-0.699	0.0942	0.3502	0.3502	0.307
3	-0.2521	-0.1458	-0.5346	-0.1046	-0.6185	-0.5201	0.4074	0.9403	0.7421	-0.1022	0.7234	0.7234	1.0121	0.0874	-0.4118	0.6338	-1.1535	-1.2197	-2.0303	-2.2462	-2.3563	-2.3563	-1.7241
4	0.0986	0.2415	-0.108	0.495	-0.1351	-0.2355	-0.2413	-0.2342	-0.1731	0.0366	-0.1033	-0.1033	0.3784	0.0354	0.7282	0.7584	0.0045	-0.3197	-1.0453	-0.8429	-1.8888	-1.8888	-1.7883
5	0.3909	0.1902	0.1941	-0.4645	0.3559	-0.0465	-0.1675	-0.6463	-0.0863	-0.1355	0.3594	0.3594	0.2126	-0.2445	0.0981	0.4207	-0.0934	-0.1205	-0.5339	-0.9115	-1.1584	-1.1584	-1.2046
