	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.2656	0.3115	0.2178	-0.0968	0.0209	-0.0436	-0.1955	-0.3105	-0.0959	-0.0507	-0.2919	-0.2919	-0.9731	0.1027	0.1102	0.2538	0.0973	0.1245	0.0486	-0.055	-0.131	-0.131	0.2438
-4	0.2912	0.4479	0.3055	-0.1012	-0.2175	-0.3288	0.0145	-0.3277	-0.0216	-0.178	-0.51	-0.51	-0.6854	-0.164	-0.1946	-0.0688	0.2369	-0.1475	0.2645	0.602	0.1542	0.1542	0.7348
-3	0.1914	0.2093	0.0309	-0.077	0.0881	0.072	-0.1962	-1.0251	-0.177	-0.1082	-0.3293	-0.3293	-0.3242	-0.1216	-0.3394	-0.2981	-0.0389	0.2376	0.2754	0.9332	0.5916	0.5916	1.241
-2	0.362	0.3428	0.1691	0.0972	0.1629	0.2535	0.4842	-0.1789	0.012	-0.3603	-0.7023	-0.7023	-0.8199	-0.0975	-0.201	-0.2768	0.1168	-0.0592	-0.2341	0.3052	-0.039	-0.039	0.4713
-1	-0.8868	-0.9949	-0.5111	-0.3448	-1.0844	-0.1387	0.8583	1.7374	0.6248	0.0792	-0.3301	-0.3301	-0.9542	0.7043	-1.3145	-1.2993	-0.4245	-0.8653	-0.1745	0.2639	-0.3492	-0.3492	1.744
1	-2.4455	0.4414	1.6488	0.1053	0.22	-0.2466	0.0408	-1.3021	-0.2954	0.1965	-0.2181	-0.2181	0.3306	0.2279	-0.7718	-0.0455	0.1736	-1.1515	-0.6786	-0.1938	-0.3844	-0.3844	0.5546
2	0.0261	-0.6702	0.3113	0.5068	0.4058	0.4492	0.4718	0.0679	-0.0568	-0.0684	-0.0368	-0.0368	-0.0627	-0.4164	-0.2947	0.2922	-0.1507	0.0105	-0.9626	-0.1052	-0.119	-0.119	0.8246
3	1.4558	0.4455	-0.1655	0.4132	0.2315	0.3562	0.0535	0.1853	0.5752	-0.1794	0.3587	0.3587	0.5294	-0.2972	-1.3106	-0.6604	-1.2547	-0.6931	-2.1187	-2.6573	-1.3407	-1.3407	-1.1052
4	-0.2661	0.4239	-0.0776	0.0731	0.0198	-0.0906	-0.1129	-0.3723	-0.1241	0.2563	0.215	0.215	0.1115	0.2204	0.2204	0.4468	0.1266	-0.156	-0.7884	-0.702	-1.356	-1.356	-0.8624
5	0.4692	0.3477	0.1684	-0.171	0.0883	0.2499	-0.0061	-0.5549	-0.0185	0.1193	-0.5042	-0.5042	-0.4286	0.1411	0.2317	0.4448	-0.0787	-0.1173	-0.6191	-0.7105	-1.127	-1.127	-0.7208
