	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.1355	0.0967	0.0418	0.0493	-0.212	-0.3617	-0.663	-0.1715	-0.0141	-0.0764	0.0998	0.0998	0.46	-0.112	-0.1255	-0.0044	-0.0066	0.1504	0.1958	0.222	0.1089	0.1089	0.1848
-4	0.1504	0.1587	0.1092	-0.0638	-0.2629	-0.6508	-0.4301	-0.2825	-0.1222	-0.2464	0.1591	0.1591	0.3744	0.058	-0.5214	-0.2841	-0.0331	0.2913	0.4167	0.476	-0.1883	-0.1883	0.1966
-3	-0.2032	-0.0859	-0.0723	-0.2108	-0.0566	-0.2521	-0.5037	-0.3033	-0.1868	-0.2067	0.2494	0.2494	0.4141	0.0616	-0.459	-0.2174	-0.3019	0.3188	0.2359	0.8381	-0.2377	-0.2377	0.2769
-2	-0.0346	0.3578	-0.026	0.1167	0.2618	-0.2979	-0.226	-0.2786	-0.1829	-0.5108	-0.3584	-0.3584	0.8541	0.2376	-0.9187	-0.6636	-0.0028	0.2235	0.1653	0.3466	-0.3401	-0.3401	0.0132
-1	-0.3697	-1.7966	-0.5889	-1.2707	-1.2593	-0.2687	0.5209	1.6349	0.7004	-0.313	1.2883	1.2883	0.4364	0.6013	-1.8226	-1.9404	-1.2179	-0.7675	-0.6443	-0.8839	-0.8109	-0.8109	1.847
1	-2.166	0.1782	-0.0821	-0.1114	0.3077	0.7142	0.5643	0.3016	-0.2023	0.0279	-0.4494	-0.4494	-0.092	-0.3476	-0.6162	0.0933	0.3974	-0.1365	-1.3088	0.5024	-0.4915	-0.4915	0.0868
2	0.1321	-0.4415	-0.3843	0.6872	-0.1492	-0.7694	-0.6989	0.1619	0.5586	0.5991	0.1557	0.1557	1.5749	-0.8004	-0.3147	0.1586	-0.7204	0.0629	-0.9225	-1.2378	-1.1806	-1.1806	-0.4149
3	-0.0066	0.4013	-0.313	0.4501	-0.0446	-0.4499	-0.2128	-0.0632	-0.538	-0.4048	0.5161	0.5161	1.0305	0.3827	-0.4778	-0.022	-0.3893	-0.2999	0.017	-0.2415	-0.3977	-0.3977	0.086
4	0.4315	0.1499	-0.0409	0.6658	-0.1993	-0.473	-0.1772	-0.3253	-0.2991	0.1305	0.2881	0.2881	0.6299	0.0645	-0.0749	0.2292	0.0097	-0.3511	-0.4003	-0.1456	-0.3271	-0.3271	0.3537
5	0.4412	0.0273	-0.2311	-0.0511	-0.2571	-0.289	-0.1553	0.1673	0.085	0.1087	0.5389	0.5389	0.5501	-0.0687	-0.3675	-0.2299	-0.4153	-0.1883	-0.1944	-0.0644	-0.1667	-0.1667	0.1056
