	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	-0.078	-0.0312	-0.1428	-0.461	-0.2499	-0.4014	-0.0755	-0.0656	0.1476	-0.1105	0.1024	0.1024	0.2028	-0.0986	0.0649	0.0156	0.1728	0.175	0.2055	0.01	0.023	0.023	0.323
-4	0.269	0.1983	-0.0021	-0.188	-0.4692	-0.5849	-0.227	-0.14	0.1033	-0.1982	0.2478	0.2478	0.1863	-0.197	-0.103	-0.1513	0.2538	-0.2443	0.2947	0.3333	-0.0813	-0.0813	0.1649
-3	0.2593	-0.1546	-0.2222	-0.1883	-0.1153	-0.2453	-0.1076	-0.0825	0.0245	-0.1952	0.3922	0.3922	0.5103	0.0643	-0.6649	-0.5731	-0.2604	0.0488	0.2921	0.4207	-0.2247	-0.2247	0.1788
-2	0.4118	0.2997	0.218	-0.0046	0.3809	-0.1244	-0.1328	-0.1977	-0.1292	-0.5369	-0.5632	-0.5632	-0.4855	-0.1719	-0.0798	-0.1432	0.1712	0.0696	0.1265	0.3461	-0.2337	-0.2337	-0.0954
-1	-1.198	-2.1663	-0.5909	-0.6427	-0.9449	-0.0476	0.3055	1.0605	0.9599	-0.0739	0.2519	0.2519	-0.3025	-0.3913	-1.9192	-1.7847	-1.2406	0.8568	1.1524	0.2604	0.6609	0.6609	0.7581
1	-2.3617	-0.8094	0.8927	0.0853	-0.0984	-0.2037	0.87	0.7427	-0.2818	0.5643	-0.5654	-0.5654	0.2873	-0.8209	-2.2342	-1.9862	0.2901	-1.384	-0.1402	1.2222	0.9254	0.9254	0.64
2	-0.2214	-1.2738	-0.0294	0.1234	-0.0271	0.0341	0.6458	0.4409	0.0615	-0.0965	0.1953	0.1953	0.5354	-0.3786	-0.774	-0.3807	-0.0262	-0.073	0.0131	0.2444	0.9606	0.9606	1.7571
3	-0.154	-0.7984	-0.2891	0.3253	-0.5329	-0.2386	0.9645	1.1229	0.457	0.2563	0.4513	0.4513	0.5705	0.4786	-1.7838	-1.2561	-0.2363	-0.4521	-0.9698	-1.2261	-1.1883	-1.1883	-0.4789
4	0.3721	0.0468	-0.1486	0.0045	-0.09	-0.0916	-0.1342	-0.3713	-0.2727	0.0956	0.0873	0.0873	0.5896	0.2366	-0.4267	-0.2605	0.0912	-0.3112	0.1062	0.057	0.0379	0.0379	0.1388
5	0.5744	0.0677	0.1332	0.2115	-0.0407	-0.0917	-0.1906	-0.2956	0.1168	0.0169	0.1764	0.1764	0.0656	-0.0921	-0.3508	-0.3554	-0.089	-0.2242	0.176	0.0869	-0.6105	-0.6105	-0.1802
