	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	-0.0823	-0.0403	-0.2436	-0.011	0.3993	-0.3911	-0.5112	-0.2442	-0.1428	-0.2564	0.0193	0.0193	0.3834	0.1844	-0.0388	-0.0973	-0.034	0.0395	0.3154	0.4203	0.5373	0.5373	0.5562
-4	-0.1353	0.0821	-0.1599	0.2005	0.1021	-0.1344	-0.3974	-0.4061	-0.1832	-0.1296	0.0779	0.0779	0.3287	0.0046	-0.2097	-0.1669	0.2369	-0.0051	0.406	0.3304	0.6056	0.6056	0.4482
-3	0.0874	0.041	-0.2389	0.1256	0.2115	-0.0217	-0.3176	-0.474	-0.1041	-0.2462	-0.0995	-0.0995	0.5662	0.0119	-0.1333	-0.0357	0.2532	0.0138	0.2575	0.0827	0.6172	0.6172	0.7122
-2	0.7914	0.2263	0.6252	0.8394	0.7159	0.2852	-0.3998	-0.495	-0.4744	-0.2757	-0.3889	-0.3889	-0.0991	-0.1477	-0.2741	-0.2898	-0.2133	0.0134	0.2465	0.3108	0.4311	0.4311	0.7061
-1	-0.0379	-0.0431	-0.396	0.0682	0.4591	-0.006	0.0496	-0.093	-0.1717	-0.3333	-0.6729	-0.6729	-0.0583	-0.0936	-0.2888	-0.4265	-0.0241	0.0366	0.6642	0.9708	0.7852	0.7852	0.7725
1	-0.1119	0.062	-0.1629	0.0109	0.15	-0.1603	-0.4372	-0.3611	-0.244	0.2349	-0.1563	-0.1563	0.5005	0.261	-0.3489	-0.2821	-0.0202	0.1338	0.3503	0.1673	0.5031	0.5031	0.294
2	0.137	-0.1199	-0.5529	-0.3103	0.5407	-0.0393	-0.4994	-0.5059	-0.213	-0.181	0.3642	0.3642	0.3397	0.0313	-0.0926	-0.2328	-0.0043	0.0346	0.6622	0.2324	0.5929	0.5929	0.4476
3	-0.028	0.0231	-0.3227	-0.0537	0.2593	0.0376	-0.3837	-0.2138	-0.3575	0.0404	-0.0132	-0.0132	0.3837	0.0403	-0.306	-0.1542	0.0314	0.0113	0.3758	0.4926	0.4204	0.4204	0.4913
4	0.2155	0.2155	-0.205	-0.1367	0.2353	-0.2571	-0.4773	-0.1594	-0.14	-0.135	-0.1528	-0.1528	0.2328	0.2275	-0.1657	-0.289	-0.0206	-0.027	0.3786	0.2088	0.1583	0.1583	0.1862
5	-0.1546	0.1326	-0.4809	-0.1489	-0.1595	0.0119	-0.4214	-0.2425	-0.255	-0.1955	-0.0438	-0.0438	0.5517	0.114	-0.3514	-0.2125	-0.0122	0.0501	0.6031	0.3503	0.0182	0.0182	0.3916
