	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.1017	0.316	-0.0127	-0.0178	-0.1843	-0.3183	-0.2325	-0.0667	0.0005	-0.0584	-0.016	-0.016	0.006	-0.0166	-0.3336	-0.2008	-0.0674	0.1371	0.4232	0.2651	0.2582	0.2582	0.7539
-4	0.1426	0.1321	0.194	0.06	-0.2743	-0.5733	-0.2771	-0.3201	-0.0121	-0.2257	0.0165	0.0165	0.2451	-0.3777	-0.3415	-0.3901	0.1091	-0.1245	0.657	0.6718	0.4949	0.4949	1.1231
-3	-0.0988	0.0412	-0.1555	0.1414	-0.0069	-0.0962	-0.5155	-0.7355	-0.4193	-0.3655	-0.2384	-0.2384	-0.2463	-0.0761	-0.8329	-0.7703	-0.1824	0.2684	1.0823	1.2597	0.6871	0.6871	1.1288
-2	0.1494	0.1281	0.1088	0.0164	0.1704	-0.1161	-0.0312	-0.2151	-0.2674	-0.2842	-0.6499	-0.6499	-0.4988	-0.2994	-0.7256	-0.7984	0.1702	0.0863	0.795	0.9414	0.6482	0.6482	1.0405
-1	-0.4719	-1.0389	-0.6468	-0.3588	-0.8741	-0.3514	0.2089	0.8234	0.0914	-0.4015	-0.4816	-0.4816	-0.7422	-0.0176	-1.6658	-1.6593	-0.3811	0.1264	1.5527	1.2324	1.0384	1.0384	2.4066
1	-1.6777	-2.0233	-0.3301	-0.3902	-0.3912	0.1302	1.4005	0.8904	-0.0182	-0.2753	1.0284	1.0284	0.8867	0.4879	-1.9415	-1.7411	-0.3155	-1.383	-1.0117	-0.0769	0.4939	0.4939	3.5688
2	-0.6825	-1.2453	-0.5471	-0.0166	-0.2461	-0.1412	0.0759	0.1584	-0.0528	0.0374	0.3043	0.3043	0.9693	-0.2585	-1.005	-0.5461	-0.1446	0.0092	0.3699	0.9599	0.5851	0.5851	2.4092
3	-0.2802	-0.1771	-0.5104	0.3092	-0.3405	-0.0656	0.5588	0.7865	0.5933	0.0314	0.0879	0.0879	0.4542	-0.1803	-1.5587	-0.5885	-0.0877	-0.7133	0.2208	0.1109	-0.3288	-0.3288	-0.1194
4	0.1328	0.2562	-0.084	0.0533	-0.1032	-0.0535	-0.1851	-0.2809	-0.4042	0.1509	-0.0479	-0.0479	0.1671	0.1177	-0.1598	-0.0315	-0.045	-0.3528	0.1192	0.5013	0.031	0.031	0.5365
5	0.7281	0.1466	0.1089	-0.1131	0.1856	-0.1306	-0.1538	-0.35	-0.1238	-0.1486	0.0879	0.0879	-0.0284	-0.1462	-0.0973	-0.277	-0.274	-0.1828	0.1696	0.0898	0.1083	0.1083	0.012
