	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.3378	0.3109	0.1148	-0.1532	-0.0021	-0.1331	-0.2659	-0.236	-0.1451	-0.0991	-0.1761	-0.1761	-0.4785	0.1364	0.4566	0.3295	0.0525	0.0475	-0.243	-0.4397	-0.4378	-0.4378	-0.3001
-4	0.5252	0.4049	0.1009	-0.0397	-0.2127	-0.3856	-0.2729	-0.3087	-0.0543	-0.0873	-0.174	-0.174	-0.2431	0.0113	0.3661	0.521	0.0249	-0.0949	-0.3578	-0.3227	-0.7534	-0.7534	-0.3376
-3	0.4124	0.3319	-0.0558	-0.0395	0.2048	0.0774	-0.5113	-0.8076	-0.3511	-0.2522	-0.0744	-0.0744	-0.0791	0.1302	0.5178	0.6741	-0.0258	0.1341	-0.6423	-0.7239	-0.8918	-0.8918	-0.4474
-2	0.4423	0.4729	0.0183	0.0121	0.2948	0.0202	-0.4194	-0.6729	-0.5608	-0.554	-0.3921	-0.3921	-0.4178	0.1922	0.4967	0.848	0.1029	0.2904	-0.9185	-0.7963	-1.0239	-1.0239	-0.7506
-1	0.2359	-0.1145	-0.2169	-0.2795	-0.3602	-0.16	-0.4491	-0.3065	-0.2774	-0.1092	0.0119	0.0119	-0.4678	0.7128	0.6734	1.3563	0.1303	-0.155	-1.8589	-1.8517	-1.7792	-1.7792	-0.8929
1	-0.8775	-0.2197	0.6454	0.1039	-0.0947	0.0391	0.2438	0.077	0.0035	0.0685	0.1185	0.1185	0.6764	0.17	0.2647	0.5343	0.1141	-0.7321	-1.9996	-1.3738	-1.5382	-1.5382	-0.4639
2	-0.2464	-0.9251	-0.2869	0.2208	-0.3462	0.0997	0.4844	0.5166	0.2962	0.439	0.3524	0.3524	0.598	-0.1779	0.1239	0.35	-0.2777	-0.1904	-1.6066	-1.0854	-1.3958	-1.3958	-1.2761
3	-0.0352	-0.2865	-0.4283	-0.0122	-0.5963	-0.5875	0.2456	0.3437	0.2773	0.2094	0.8993	0.8993	1.4269	0.3094	-0.4572	-0.0196	-0.8033	-0.6738	-1.5761	-1.8985	-2.2461	-2.2461	-1.6159
4	0.1977	-0.0514	-0.1488	0.0759	-0.151	-0.167	-0.2415	-0.455	-0.1644	0.1443	0.3277	0.3277	0.3317	0.1319	0.3252	0.3565	0.1386	-0.0607	-0.4853	-0.5031	-1.4464	-1.4464	-1.1388
5	0.6167	0.1443	-0.0336	0.0204	-0.0264	0.0127	-0.1878	-0.222	-0.0042	0.1702	0.131	0.131	0.1341	-0.0794	0.3011	0.2277	-0.2113	-0.0328	-0.7506	-0.8404	-1.2205	-1.2205	-1.0423
