	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0759	0.027	0.0137	-0.1262	-0.1192	-0.2272	-0.1226	-0.0282	0.0431	0.0147	0.1066	0.1066	0.1863	-0.0606	-0.0521	-0.0294	-0.0739	0.0064	0.155	0.0243	-0.133	-0.133	0.1011
-4	0.1621	0.1516	0.0434	0.1727	-0.1218	-0.2953	-0.2166	-0.0556	0.0165	-0.1486	0.2143	0.2143	0.1742	-0.2053	-0.2579	-0.2622	0.0578	-0.1585	0.3556	0.2951	-0.0039	-0.0039	0.1192
-3	-0.0898	-0.314	-0.3897	-0.0498	-0.2337	0.9012	-0.06	0.1673	-0.0358	-0.2329	0.3096	0.3096	0.388	-0.1957	-0.7526	-0.6239	-0.4095	-0.1504	0.268	0.4269	-0.2983	-0.2983	0.0128
-2	0.505	-0.1069	0.1424	0.0001	0.1405	-0.2621	-0.0737	-0.1031	0.0786	-0.3639	-0.3615	-0.3615	-0.3399	-0.2088	-0.2773	-0.2362	0.0982	0.0664	0.3394	0.4932	0.144	0.144	0.1235
-1	-0.6421	-0.9068	-0.4893	-0.2644	-0.5385	-0.0964	0.1097	0.782	0.5366	-0.3177	-0.1766	-0.1766	-0.4788	-0.5729	-0.9632	-0.8503	-0.6484	0.6522	1.243	0.6038	1.0461	1.0461	1.1479
1	-0.9742	-0.292	0.3961	0.0291	-0.4017	-0.4344	0.4675	-0.0503	-0.3547	0.0829	-0.4537	-0.4537	-0.0765	-0.6647	-1.0807	-0.985	0.0293	-0.7381	0.3902	1.7881	0.7944	0.7944	0.9011
2	-0.4022	-0.8276	-0.4402	-0.0827	-0.4026	-0.3491	-0.0044	-0.0704	-0.2714	-0.2183	0.1882	0.1882	0.562	-0.3609	-0.9244	-0.6814	-0.3264	0.1205	1.0355	1.1919	1.5697	1.5697	3.0422
3	0.5857	-0.5249	-0.2663	0.1758	-0.546	-0.4484	0.67	1.0042	0.4294	0.1723	0.2809	0.2809	0.5324	-0.264	-0.9298	-0.7653	-0.4991	-0.5278	-0.4195	-0.4574	-0.1245	-0.1245	0.3566
4	0.325	-0.0126	-0.2831	-0.0001	-0.157	-0.182	-0.2511	-0.2668	-0.2187	-0.1155	-0.0356	-0.0356	0.813	0.091	-0.559	-0.3878	-0.1373	-0.1795	0.1991	0.6052	0.2961	0.2961	0.8106
5	0.5243	0.1355	-0.0316	0.2514	-0.0811	-0.1172	-0.1865	-0.1455	0.0096	-0.0922	0.3249	0.3249	0.1666	-0.0993	-0.5784	-0.461	-0.2858	-0.1497	0.2337	0.365	0.1761	0.1761	0.4067
