	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0358	0.0606	0.0953	0.0413	-0.0855	-0.316	-0.3622	-0.3258	-0.3389	-0.3297	0.0496	0.0496	0.107	0.1406	-0.1164	-0.1078	0.0074	0.2129	0.3269	0.2848	0.4189	0.4189	0.3318
-4	0.128	0.2762	0.1157	0.0285	-0.1449	-0.0156	-0.2921	-0.4781	-0.1456	-0.1741	-0.1109	-0.1109	0.1589	0.0551	-0.2495	-0.0665	0.0988	-0.0499	0.2583	0.2357	0.3667	0.3667	0.1373
-3	-0.2331	-0.0413	0.009	0.1015	-0.0348	-0.1583	-0.422	-0.4227	-0.2187	-0.2269	0.0758	0.0758	0.1643	0.0169	0.0336	0.2483	0.3231	0.1607	0.2209	0.0468	0.6548	0.6548	0.4066
-2	-0.016	-0.0412	-0.1139	0.0308	0.1123	-0.0134	-0.5325	-0.582	-0.2883	-0.1659	-0.1112	-0.1112	0.4414	0.1064	-0.128	-0.2078	0.0214	0.2524	0.4683	0.3946	0.1454	0.1454	0.2801
-1	0.0373	0.3916	0.0146	0.0189	0.1095	-0.0366	-0.8147	-0.6379	-0.2962	-0.1666	-0.4233	-0.4233	0.3249	0.1113	-0.4651	-0.396	0.15	0.1228	0.6455	0.4952	0.4726	0.4726	0.8914
1	0.2425	0.535	-0.0293	-0.0473	-0.0535	-0.0479	-0.4375	-0.5989	-0.293	-0.0373	-0.4432	-0.4432	0.1993	-0.0334	-0.3101	0.0733	0.035	0.155	0.2147	0.2398	0.5904	0.5904	0.1818
2	0.0443	-0.0603	-0.2116	-0.09	-0.0181	0.0571	-0.3265	-0.4972	-0.2781	-0.214	0.0592	0.0592	0.6338	0.0198	-0.1333	-0.3565	-0.1723	-0.0397	0.5545	0.4053	0.7964	0.7964	0.2441
3	0.1598	-0.0503	-0.1551	-0.0351	0.005	0.0409	-0.2651	-0.4927	-0.3957	-0.112	0.1047	0.1047	0.6009	-0.1045	-0.1107	-0.1186	-0.0327	0.0013	0.2081	0.3649	0.2954	0.2954	0.3768
4	0.2593	0.0625	-0.0132	-0.0191	0.1241	-0.0303	-0.4424	-0.4298	-0.269	-0.1562	0.1504	0.1504	0.229	0.0257	-0.1973	-0.2058	-0.0991	-0.0618	0.4731	0.3143	0.6043	0.6043	0.4427
5	0.0655	0.0807	-0.3064	-0.0985	0.0725	0.1441	-0.3361	-0.2879	-0.1582	-0.1077	0.0788	0.0788	0.1909	-0.0039	-0.2425	-0.1053	0.117	0.048	0.3367	0.3795	0.3155	0.3155	0.4952
