	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	-0.0687	0.1572	0.0707	-0.1448	-0.0169	-0.4322	-0.4094	-0.1192	-0.1671	-0.0746	-0.1571	-0.1571	-0.0761	0.0678	0.1628	0.3728	0.2475	0.3047	0.0693	-0.22	-0.5227	-0.5227	-0.3883
-4	0.2881	0.2912	0.1532	0.0933	-0.1233	-0.38	-0.3414	-0.2808	-0.3791	-0.3169	-0.1435	-0.1435	0.2946	0.0686	0.0317	0.0633	0.2605	0.0318	0.0274	0.1186	-0.3758	-0.3758	0.0979
-3	-0.0566	0.112	-0.0911	-0.038	0.2532	-0.1265	-0.2518	-0.2933	-0.5364	-0.1249	-0.2972	-0.2972	0.0146	0.0428	0.0119	-0.0735	0.0637	0.4203	0.2892	0.2992	-0.0922	-0.0922	0.089
-2	-0.1213	0.2522	-0.1127	0.0759	0.2623	-0.008	-0.1526	-0.1409	-0.2708	-0.2753	-0.571	-0.571	-0.4191	0.2313	0.0415	-0.045	0.3149	0.3225	0.0766	0.2226	-0.2412	-0.2412	0.1742
-1	-0.0677	-0.845	-0.2585	-0.501	-0.5604	-0.3773	0.2801	0.3834	-0.1183	-0.3995	0.0777	0.0777	0.1966	0.2296	-1.116	-1.4982	0.1266	0.4362	1.0612	0.3634	-0.177	-0.177	1.0136
1	0.1737	-1.5898	0.0181	-0.3372	-0.1711	-0.0295	0.7412	0.7326	-0.092	0.1023	0.8539	0.8539	0.8352	0.6927	-1.4008	-1.0185	-0.3333	-1.2255	-1.5898	-0.5553	-1.0119	-1.0119	1.2783
2	-0.51	-1.3	-0.7532	-0.1426	-0.2907	-0.3912	0.1264	0.1892	0.4353	0.1017	0.746	0.746	1.3264	-0.1141	-0.7823	-0.5808	-0.0545	-0.0673	-0.4581	0.0801	-0.0858	-0.0858	1.2551
3	-0.688	-0.9594	-0.873	0.4184	-0.7375	-0.3703	0.8358	1.2792	0.8389	0.7268	0.6554	0.6554	0.9034	-0.0465	-1.7273	-1.0185	-0.3289	-1.27	-1.1115	-1.2972	-1.7444	-1.7444	-1.2942
4	0.3799	0.3397	-0.2295	0.0845	0.0174	-0.259	0.0042	0.1737	0.1793	-0.0276	0.1589	0.1589	0.3367	0.0787	-0.2073	-0.1302	-0.066	-0.4005	-0.3373	-0.3796	-0.8385	-0.8385	-0.3993
5	0.7803	0.2817	-0.1331	0.037	0.1932	0.0326	-0.2508	-0.4267	-0.4413	-0.2834	-0.1563	-0.1563	-0.1394	-0.2059	-0.1464	0.067	-0.0016	-0.0021	0.2237	0.0813	0.0484	0.0484	-0.0183
