	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	-0.0483	0.2166	-0.4045	0.3058	-0.0547	-0.0672	-0.232	-0.046	-0.1544	-0.0773	0.2393	0.2393	-0.1509	0.0487	0.3311	0.453	0.0427	0.1925	-0.244	-0.3729	-0.5446	-0.5446	-0.6367
-4	0.0994	0.3772	0.0233	0.051	-0.1244	-0.3418	-0.3448	-0.3359	-0.1389	-0.2538	-0.0351	-0.0351	0.0433	-0.0042	0.3314	0.2828	0.2083	0.1211	-0.1011	-0.1092	-0.4945	-0.4945	-0.1937
-3	0.0034	-0.0406	-0.3918	-0.1176	0.148	0.0867	-0.0874	-0.3333	-0.2279	-0.017	0.2702	0.2702	0.2015	0.1089	-0.2732	-0.0955	0.0213	0.3398	-0.0272	0.0795	-0.3786	-0.3786	0.4269
-2	-0.132	0.1567	-0.1843	-0.0529	0.0907	0.1153	-0.1108	-0.0948	-0.0891	-0.2039	-0.2637	-0.2637	0.028	0.1252	-0.2695	-0.0969	0.322	0.2024	-0.0417	0.2556	-0.2363	-0.2363	-0.3479
-1	-0.1878	-0.966	-0.5717	-0.4772	-0.4036	-0.1182	0.2896	0.5072	0.9399	0.5862	0.2463	0.2463	-0.2999	0.2592	-0.7509	-0.8365	-0.1671	0.0374	-0.2132	0.0945	0.2889	0.2889	0.9755
1	0.3939	-1.2197	-0.2786	-0.0947	-0.2939	-0.0731	0.9219	0.4521	0.0835	0.2193	-0.0967	-0.0967	-0.2375	0.1599	-0.794	-0.5041	0.1986	-0.8875	-0.9304	0.8354	-0.3108	-0.3108	1.2589
2	-0.7237	-1.5901	-0.8276	0.3973	-0.4643	-0.1967	0.041	0.1006	0.7361	0.4831	0.5187	0.5187	1.2551	-0.0664	-0.7363	-0.48	-0.1317	0.0211	-0.7219	0.1526	0.6753	0.6753	0.8524
3	-0.9856	-1.3401	-1.0146	-0.2575	-1.1691	-0.4235	0.8547	0.922	0.5743	0.236	0.9801	0.9801	1.4786	0.5515	-0.5878	-0.6039	-0.784	-1.2206	-1.9798	-2.0995	-1.9866	-1.9866	-1.5544
4	0.5155	0.0685	-0.2515	0.5458	-0.3308	-0.4459	-0.2001	-0.2813	0.1507	0.5054	0.2171	0.2171	-0.1498	0.0885	-0.0201	0.0695	0.395	-0.241	-0.4108	-0.2281	-1.5308	-1.5308	-1.0792
5	1.958	0.7488	0.2151	0.9184	0.9775	0.0487	-1.006	-1.0636	-0.974	-0.7184	-1.0853	-1.0853	-0.7681	-0.5335	-0.0052	-0.0839	-0.2085	-0.2444	-1.2823	-1.4464	-1.6765	-1.6765	-1.8559
