	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0824	0.2327	-0.0427	-0.0091	-0.4378	-0.1156	-0.4666	-0.1171	-0.3897	-0.2429	-0.0964	-0.0964	0.0893	0.0197	-0.0211	0.1179	0.1218	0.1434	0.4244	0.3354	-0.1866	-0.1866	0.8467
-4	0.1366	0.4787	0.229	0.1683	-0.3173	-0.4878	-0.5812	-0.4657	-0.4037	-0.4161	-0.1975	-0.1975	0.0054	-0.0372	-0.0265	0.0613	0.1401	-0.1867	0.3653	0.8296	0.353	0.353	1.5869
-3	0.1041	-0.0736	-0.1919	-0.1806	0.0784	-0.2043	-0.5234	-0.739	-0.5491	-0.4414	-0.2271	-0.2271	-0.2027	0.1099	-0.3961	-0.0479	-0.3213	0.2951	0.5165	1.3064	1.0955	1.0955	2.2594
-2	0.2023	0.2998	-0.0208	0.152	0.8236	0.4967	-0.1732	-0.2827	-0.44	-0.5624	-0.8936	-0.8936	-0.5761	0.1241	-0.1346	0.0067	0.0066	0.0413	-0.4635	0.4388	0.4898	0.4898	1.3989
-1	-0.8992	-1.298	-0.8746	-0.5329	-1.2395	-0.29	0.7817	1.217	-0.1433	-0.0686	-0.9656	-0.9656	-0.6723	0.7714	-0.5081	-0.5025	0.0301	-0.0179	0.0527	1.0469	-0.3107	-0.3107	3.2463
1	-0.9414	-0.6372	0.6256	0.0091	0.1342	-0.1088	0.3141	-0.0526	-0.3664	0.2853	-0.4437	-0.4437	0.4689	0.69	-0.263	0.0607	0.1701	-0.3141	-0.9419	0.0114	0.3573	0.3573	1.721
2	-0.3895	-1.1191	-0.1537	-0.0855	-0.2438	-0.2533	-0.2385	-0.0408	0.306	0.4017	0.1587	0.1587	0.948	-0.6033	-0.1013	0.5097	-0.176	0.3751	-0.5196	-0.1888	0.6124	0.6124	1.8474
3	0.1109	-0.5834	-0.4573	0.0677	-0.5685	-0.2486	0.5494	0.9643	0.5992	-0.1284	0.4603	0.4603	0.4495	0.1991	0.168	0.2454	-0.4177	-1.0269	-1.4669	-1.456	-1.1897	-1.1897	-0.3446
4	0.1975	-0.0558	-0.2339	0.016	-0.3412	-0.373	-0.5874	-0.3161	-0.1902	-0.0033	-0.2541	-0.2541	0.3454	0.5731	0.2457	0.4805	-0.2243	0.1932	-0.3113	0.206	-0.8776	-0.8776	0.2664
5	-0.0704	-0.243	-0.1654	-0.3607	0.1497	0.0114	-0.266	-0.2137	-0.1834	-0.0254	0.2376	0.2376	0.1858	0.0036	-0.0303	0.3072	-0.0124	0.118	-0.0961	0.1228	-0.3111	-0.3111	-0.0034
