	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.3696	0.2612	0.1284	0.0797	0.0389	0.0123	-0.2201	-0.3521	-0.2923	-0.1371	-0.0544	-0.0544	-0.0842	-0.0005	-0.0286	-0.1987	-0.1049	0.1626	0.192	0.089	-0.0646	-0.0646	0.0017
-4	0.4259	0.2991	0.1028	0.1595	-0.0441	-0.1534	-0.2071	-0.242	-0.2218	-0.2131	-0.2854	-0.2854	0.0332	-0.1151	-0.1882	-0.3555	-0.1184	-0.0959	0.3765	0.5557	0.1575	0.1575	0.215
-3	0.2308	0.344	0.0326	0.0851	0.1847	0.1677	-0.4196	-0.6667	-0.3898	-0.406	-0.4321	-0.4321	-0.4252	-0.0393	-0.4525	-0.3475	0.0936	0.2706	0.4427	0.8244	0.2638	0.2638	0.1489
-2	0.6754	0.2921	0.2136	0.0187	0.2574	0.1137	-0.0903	-0.2625	-0.0704	-0.4018	-0.697	-0.697	-0.7994	-0.011	-0.4139	-0.2446	0.0495	0.2194	0.1475	0.2314	-0.0055	-0.0055	0.0154
-1	0.0737	-0.6086	-0.1785	-0.2095	-0.5417	0.1135	0.1613	0.697	0.299	-0.136	0.0505	0.0505	-0.5613	0.8253	-0.9018	-1.0761	-0.1224	0.2024	0.1791	0.0887	0.0254	0.0254	0.906
1	-0.8241	-1.1716	-0.1662	-0.1717	-0.4727	-0.0918	0.6445	0.7386	0.3756	0.2675	0.9195	0.9195	0.2666	0.799	-0.5684	-0.4251	-0.0389	-0.9655	-1.5941	-0.6481	-0.4369	-0.4369	0.6841
2	-0.24	-0.9774	-0.183	-0.0189	-0.1628	0.1566	0.1564	0.0633	0.269	0.0718	0.1192	0.1192	0.5748	-0.0095	-0.0725	0.3852	-0.0157	-0.0513	-0.6522	-0.1132	0.2225	0.2225	0.3254
3	0.1812	-0.6587	-0.6439	-0.3099	-0.7264	-0.224	0.5597	1.1004	0.9499	0.7393	0.9777	0.9777	-0.1353	-0.212	-0.6626	-0.1056	-0.9461	-0.9339	-1.6442	-2.0211	-2.1103	-2.1103	-1.5524
4	-0.1173	0.1976	-0.0616	-0.1456	0.0258	0.0552	-0.2321	-0.1658	-0.1949	0.0849	0.3412	0.3412	0.0178	0.2	0.0149	0.4423	-0.0508	-0.0368	-0.4786	-0.3509	-1.2121	-1.2121	-0.5187
5	0.4188	0.5188	-0.1961	0.0462	0.307	0.1015	-0.4029	-0.356	-0.5385	-0.1098	-0.0338	-0.0338	-0.1073	0.0681	0.0708	0.2681	-0.1025	0.1101	-0.2452	-0.2652	-0.818	-0.818	-0.3707
