	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.2858	0.0403	-0.0484	-0.0675	-0.075	-0.1388	-0.3531	-0.5666	-0.4751	-0.2622	-0.2163	-0.2163	-0.4056	0.0226	0.2933	0.2191	0.1348	0.436	0.4291	0.1356	0.2304	0.2304	0.2666
-4	0.1688	0.3227	-0.0837	-0.0692	-0.2406	-0.4594	-0.2232	-0.416	-0.0721	-0.0712	-0.4515	-0.4515	-0.3912	0.0272	-0.0164	0.0128	0.1272	0.0092	0.5012	0.6547	0.1019	0.1019	0.3436
-3	0.0223	0.0627	-0.2842	0.0416	0.113	-0.2146	-0.8405	-0.8399	-0.5983	-0.4348	-0.3335	-0.3335	-0.0314	0.0462	-0.5204	-0.3953	0.1973	0.4738	0.7655	1.1114	0.1785	0.1785	0.2444
-2	0.3908	0.1509	-0.0191	0.084	0.3897	-0.047	-0.5935	-0.836	-0.5579	-0.4594	-0.8111	-0.8111	-0.5363	0.3462	-0.1967	-0.074	0.2344	0.4869	0.4296	0.4919	0.1316	0.1316	0.2712
-1	0.3758	-0.8147	-0.7779	-0.6596	-0.9492	0.5948	1.174	1.6411	0.7747	-0.0379	-0.6178	-0.6178	-0.3842	-0.448	-1.0952	-1.3258	-0.9401	-1.1109	-0.6423	-0.2873	0.0973	0.0973	-0.3114
1	-1.1132	1.5032	0.6671	0.0124	0.1793	0.1159	-0.1644	-0.763	-0.7474	0.1537	-0.4676	-0.4676	0.6264	-0.321	-1.2566	-0.8945	-0.1563	-0.6355	-0.2834	0.4036	0.274	0.274	1.1413
2	-0.4652	-0.4136	0.1027	-0.0125	0.3788	0.5267	0.3802	0.2037	0.1087	0.2518	0.1147	0.1147	-0.2944	-0.4938	-0.4719	-0.0722	0.0062	-0.3383	-0.6534	0.3521	0.4082	0.4082	0.3109
3	-0.9499	-0.5829	-0.6871	-0.3148	-0.5738	-0.1397	0.4512	0.6067	0.5429	0.0118	1.4997	1.4997	0.7392	0.0032	-0.8568	-0.1315	-0.7401	-0.6061	-1.0218	-0.8716	-1.0076	-1.0076	-0.6517
4	-0.3487	0.0124	-0.2606	0.4276	-0.0917	0.0147	-0.2479	-0.2977	-0.2077	0.3653	0.3105	0.3105	0.1567	0.1654	0.0795	0.4469	0.2313	-0.1537	-0.3985	-0.1758	-0.5835	-0.5835	-0.2503
5	0.455	-0.0629	-0.0603	0.1339	0.1013	0.0067	-0.4173	-0.5678	-0.2505	-0.1022	0.1745	0.1745	-0.284	0.0933	0.2532	0.5956	0.0077	0.1214	-0.3959	-0.206	-0.5693	-0.5693	-0.436
