	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.1883	0.2463	0.074	-0.0951	-0.2673	-0.5095	-0.2959	-0.2527	-0.001	-0.2448	0.0162	0.0162	-0.0099	-0.0571	0.2973	0.3988	-0.0187	0.2229	0.0274	-0.1437	-0.1665	-0.1665	0.0846
-4	0.2647	0.2535	0.3382	0.0571	-0.5578	-0.7321	-0.4438	-0.3917	0.0115	-0.1875	0.0663	0.0663	0.0628	-0.1795	0.0752	0.5913	0.1335	-0.2211	-0.0269	0.2707	-0.1767	-0.1767	0.1551
-3	-0.0466	-0.0243	-0.1661	-0.1	0.0012	-0.1365	-0.4024	-0.5038	-0.1268	-0.1744	0.0362	0.0362	-0.0846	-0.079	0.1183	0.3671	-0.1161	0.2387	0.131	0.5798	-0.3392	-0.3392	0.1595
-2	0.05	0.2205	0.1026	0.1251	0.0961	0.1258	-0.1611	0.0213	-0.0991	-0.1815	-0.4912	-0.4912	-0.4522	0.1163	0.13	0.4286	0.0922	-0.0207	-0.2183	-0.0538	-0.5097	-0.5097	0.2154
-1	-0.2602	-1.5348	-0.1853	-0.0657	-1.069	-0.2072	0.7519	1.3024	1.0439	-0.027	-0.011	-0.011	-0.8991	0.1655	-1.4071	-1.4263	-0.7953	0.3505	0.3519	-0.1891	-0.5324	-0.5324	2.1137
1	-2.4698	-0.4346	1.3154	0.7016	0.0245	-0.2634	0.3503	0.3031	0.0981	0.8602	-0.1397	-0.1397	0.1002	-0.2376	-1.3166	-0.8269	0.2715	-1.0717	-0.9275	0.4275	-0.147	-0.147	0.5491
2	-0.5493	-1.3063	-0.4341	-0.0595	-0.6119	-0.7151	0.1329	0.139	0.4924	0.2473	0.3889	0.3889	1.4381	-0.3117	-0.4992	0.2769	-0.2616	-0.1389	-0.5202	-0.0987	-0.8939	-0.8939	1.2474
3	-0.5762	-0.7144	-0.6116	0.7391	-0.8691	-0.3468	1.0632	1.563	0.4659	0.8633	1.0534	1.0534	0.3466	-0.3078	-1.4684	-1.1411	-1.0963	-1.1687	-1.6135	-1.847	-1.8138	-1.8138	-0.9086
4	0.0323	-0.0267	-0.3589	-0.0655	-0.1259	-0.2332	-0.2279	-0.1921	-0.2339	0.1032	0.1485	0.1485	0.4564	0.1534	0.1401	0.3562	0.2444	-0.2834	-0.2145	-0.0705	-0.5643	-0.5643	0.3671
5	0.7215	0.1595	-0.1603	0.1576	-0.1269	0.0926	-0.3104	0.0004	0.0589	-0.0463	0.4588	0.4588	0.1914	-0.1301	-0.0755	0.246	-0.3908	-0.2266	-0.4821	-0.6389	-0.8444	-0.8444	-0.8735
