	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0086	0.086	0.1271	-0.0427	-0.3146	-0.5922	-0.0558	-0.0805	0.2215	0.1753	0.4163	0.4163	0.3176	-0.1671	-0.1268	-0.1651	0.1455	0.0536	-0.0278	-0.3847	-0.3714	-0.3714	0.0239
-4	0.1222	0.1832	0.3195	0.0937	-0.4723	-0.6723	-0.1821	0.0239	0.1764	-0.0055	0.4693	0.4693	0.472	-0.0341	-0.2837	-0.0414	0.0792	-0.1899	-0.391	-0.1225	-0.7696	-0.7696	-0.0552
-3	-0.2092	-0.0276	-0.054	0.0051	0.1274	-0.0953	-0.1947	-0.2005	0.0531	0.2047	0.2153	0.2153	0.3217	0.0564	-0.2264	-0.2072	-0.1826	0.1211	0.1207	0.0009	-0.4776	-0.4776	0.3983
-2	-0.5729	0.0803	-0.292	-0.0051	0.0747	0.0427	-0.1182	0.0261	0.1186	-0.1298	-0.0553	-0.0553	-0.1651	0.185	-0.3609	-0.0358	0.0509	0.4376	-0.2237	0.5255	-0.4316	-0.4316	0.093
-1	-1.0712	-1.3202	-0.8402	-0.0873	-1.1952	-1.105	0.2539	0.5823	0.6963	-0.0908	0.4165	0.4165	0.0893	0.5984	-2.0084	-1.9704	-0.3552	1.1001	-0.1023	1.0983	0.4023	0.4023	2.4806
1	-2.724	-0.261	0.2728	0.0967	-0.7859	-0.8294	0.6332	0.3938	-0.1106	0.6595	0.9272	0.9272	1.442	0.7468	-1.6559	-0.887	-0.3813	-1.2868	-1.5514	-0.6913	0.2033	0.2033	3.5627
2	-0.6129	-1.3723	-0.493	0.0688	-0.2889	-0.2145	0.7578	0.6184	0.1682	-0.1228	0.6676	0.6676	0.067	-0.2306	0.6561	1.1278	-0.2389	-0.3696	-2.4805	-1.9948	-1.0746	-1.0746	0.1452
3	0.2662	-0.1747	-0.538	0.1825	-0.7581	-0.2456	0.5618	0.6717	0.1286	0.3067	0.5763	0.5763	0.5761	-0.2049	-0.0146	1.043	-1.059	-0.6903	-2.0995	-2.6807	-2.215	-2.215	-0.7573
4	-0.0386	-0.0897	-0.3232	-0.0103	0.055	-0.3751	-0.2169	-0.3084	-0.1413	0.1323	0.0795	0.0795	0.4389	0.2605	0.6095	0.651	0.1467	-0.2382	-0.5885	-1.0566	-0.6931	-0.6931	-0.4548
5	0.06	0.1059	-0.046	-0.0051	-0.221	-0.0187	-0.2581	-0.3562	0.0255	-0.053	0.0187	0.0187	0.3046	0.0952	0.2056	0.7331	-0.3476	-0.0967	-0.2662	-0.3505	-1.2001	-1.2001	-0.2661
