title,year,rank,imdb_id
Citizen Kane,1941,1,tt0033467
The Godfather,1972,2,tt0068646
Casablanca,1942,3,tt0034583
Raging Bull,1980,4,tt0081398
Singin' in the Rain,1952,5,tt0045152
Gone with the Wind,1939,6,tt0031381
Lawrence of Arabia,1962,7,tt0056172
Schindler's List,1993,8,tt0108052
Vertigo,1958,9,tt0052357
The Wizard of Oz,1939,10,tt0032138
City Lights,1931,11,tt0021749
The Searchers,1956,12,tt0049730
Star Wars,1977,13,tt0076759
Psycho,1960,14,tt0054215
2001: A Space Odyssey,1968,15,tt0062622
Sunset Blvd.,1950,16,
The Graduate,1967,17,tt0061722
The General,1926,18,tt0017925
On the Waterfront,1954,19,tt0047296
It's a Wonderful Life,1946,20,tt0038650
Chinatown,1974,21,tt0071315
Some Like It Hot,1959,22,tt0053291
The Grapes of Wrath,1940,23,tt0032551
E.T. the Extra-Terrestrial,1982,24,tt0083866
To Kill a Mockingbird,1962,25,tt0056592
Mr. Smith Goes to Washington,1939,26,tt0031679
High Noon,1952,27,tt0044706
All About Eve,1950,28,tt0042192
Double Indemnity,1944,29,tt0036775
Apocalypse Now,1979,30,tt0078788
The Maltese Falcon,1941,31,tt0033870
The Godfather Part II,1974,32,tt0071562
One Flew Over the Cuckoo's Nest,1975,33,tt0073486
Snow White and the Seven Dwarfs,1937,34,tt0029583
Annie Hall,1977,35,tt0075686
The Bridge on the River Kwai,1957,36,tt0050212
The Best Years of Our Lives,1946,37,tt0036868
The Treasure of the Sierra Madre,1948,38,tt0040897
Dr. Strangelove,1964,39,tt0057012
The Sound of Music,1965,40,tt0059742
King Kong,1933,41,tt0024216
Bonnie and Clyde,1967,42,tt0061418
Midnight Cowboy,1969,43,tt0064665
The Philadelphia Story,1940,44,tt0032904
Shane,1953,45,tt0046303
It Happened One Night,1934,46,tt0025316
A Streetcar Named Desire,1951,47,tt0044081
Rear Window,1954,48,tt0047396
Intolerance,1916,49,tt0006864
The Lord of the Rings: The Fellowship of the Ring,2001,50,tt0120737
West Side Story,1961,51,tt0055614
Taxi Driver,1976,52,tt0075314
The Deer Hunter,1978,53,tt0077416
M*A*S*H,1970,54,tt0066026
North by Northwest,1959,55,tt0053125
Jaws,1975,56,tt0073195
Rocky,1976,57,tt0075148
The Gold Rush,1925,58,tt0015864
Nashville,1975,59,tt0073440
Duck Soup,1933,60,tt0023969
Sullivan's Travels,1941,61,tt0034240
American Graffiti,1973,62,tt0069704
Cabaret,1972,63,tt0068327
Network,1976,64,tt0074958
The African Queen,1951,65,tt0043265
Raiders of the Lost Ark,1981,66,tt0082971
Who's Afraid of Virginia Woolf?,1966,67,tt0061184
Unforgiven,1992,68,tt0105695
Tootsie,1982,69,tt0084805
A Clockwork Orange,1971,70,tt0066921
Saving Private Ryan,1998,71,tt0120815
The Shawshank Redemption,1994,72,tt0111161
Butch Cassidy and the Sundance Kid,1969,73,tt0064115
The Silence of the Lambs,1991,74,tt0102926
In the Heat of the Night,1967,75,tt0061811
Forrest Gump,1994,76,tt0109830
All the President's Men,1976,77,tt0074119
Modern Times,1936,78,tt0027977
The Wild Bunch,1969,79,tt0065214
The Apartment,1960,80,tt0053604
Spartacus,1960,81,tt0054331
Titanic,1997,82,tt0120338
Easy Rider,1969,83,tt0064276
A Night at the Opera,1935,84,tt0026778
Platoon,1986,85,tt0091763
12 Angry Men,1957,86,tt0050083
Bringing Up Baby,1938,87,tt0029947
The Sixth Sense,1999,88,tt0167404
Swing Time,1936,89,tt0028333
Sophie's Choice,1982,90,tt0084707
Goodfellas,1990,91,tt0099685
The French Connection,1971,92,tt0067116
Pulp Fiction,1994,93,tt0110912
The Last Picture Show,1971,94,tt0067328
The Lord of the Rings: The Two Towers,2002,95,tt0167261
Do the Right Thing,1989,96,tt0097216
Blade Runner,1982,97,tt0083658
Yankee Doodle Dandy,1942,98,tt0035575
Toy Story,1995,99,tt0114709
Ben-Hur,1959,100,tt0052618
