 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	91892921.84	78879677.64	65174795.45	66925924.63	18663752.69	6057928.45	25503083.08	22802450.25	45592111.95	38973214.12	8667183.18	2934936.46	2976524.34
B	92037895.37	87222178.64	84904966.28	89507739.66	46570926.25	59036611.69	74530227.10	32428715.59	70959539.78	45909551.61	21607790.27	4950645.22	48649626.68
C	86175041.09	82479581.30	113298505.47	116179038.39	229078576.37	80156355.92	128795019.38	25816354.45	88327242.50	41904364.32	95911907.50	22575302.63	79592188.12
D	90948613.97	106443205.43	113769410.27	106084374.12	134098010.10	117982459.98	82878903.26	21197933.23	72770674.27	47651628.12	137161538.00	49716010.71	26732659.45
E	87525573.72	113499254.62	137384110.49	131430642.81	133908432.13	80344939.04	116371084.54	21119915.72	99260088.02	46960273.51	56788812.74	52531513.17	62226203.51
F	96195151.24	125079901.60	124119067.23	134304239.01	195607733.16	54023979.73	72299962.91	22437036.90	106671764.13	47566337.35	49697651.59	23850489.65	35517223.70
G	96167557.79	101001125.45	129969850.13	117638949.93	167187306.01	46484410.45	71372458.38	31780695.90	89693839.76	68883906.70	39151359.92	33944181.46	46275282.28
H	95263171.91	105764465.84	111380540.84	101713006.15	73706129.61	75149507.01	79929878.92	35837065.49	81977792.44	70783684.85	44477655.19	18047082.19	78203767.18
I	101258401.76	93434610.06	104325591.61	85263729.21	31245879.29	26595535.61	62384851.14	43656895.59	72502030.25	86783437.68	27340336.05	26154705.29	75605363.46
J	108561853.19	93707913.84	77383263.16	83992967.13	28351094.57	30056724.19	53752692.49	28434309.92	71558282.94	56564521.75	39679068.57	59141106.25	81414030.64
K	92780789.63	95445928.36	101631762.08	77513161.10	87094527.69	138905202.57	83746993.39	89966180.81	98057416.99	98464992.70	60938532.10	73882581.99	74495696.41
L	65028638.06	69428048.87	71399151.95	49541229.66	46600750.96	91443923.90	115051722.80	148671841.00	79928006.76	110472295.62	62770943.66	64940944.23	7778168.11
M	194303283.28	134020913.78	149122720.53	127159278.22	168716751.65	183401519.20	124648775.52	135105464.11	95562955.69	171646803.64	78492588.18	67346860.07	25674210.20
N	76727531.39	75899151.54	80914804.16	58924606.24	53887893.60	105094692.51	93489368.63	99059515.08	84064837.41	170916156.29	80755017.98	52516820.06	9214521.27
O	71254264.76	75830291.90	69806538.06	69023739.27	60690127.55	164151920.25	112952880.24	134988143.00	76988610.17	86846763.00	76719836.58	44014244.25	106221383.25
P	69969508.30	65940976.37	64221396.35	60609457.96	74060665.14	89531057.19	103389673.16	105211122.80	63692866.26	80417642.02	51749212.63	53734428.67	7805340.71
Q	73840867.48	68613540.90	55332584.04	54157327.93	68141461.77	63870985.06	69008874.09	113348958.79	65387528.63	84311447.71	33453269.52	20319521.29	4565779.69
R	68408486.07	68972694.32	57919026.42	56014985.15	61247326.02	68209941.25	74002264.38	94151523.12	67081239.63	58974856.19	42225045.61	74878173.62	56476351.88
S	68166360.04	77885565.91	89250301.20	90659562.95	76426625.95	65230125.06	62729094.03	48643531.60	84581012.62	63743624.60	22183503.98	27806041.48	18862828.05
T	74652585.85	75250933.93	94117248.70	91526750.52	69244345.00	62825364.95	60375105.01	33401694.28	77126900.87	57493847.02	26268216.46	104076458.47	24029546.78
U	69203774.84	75844592.04	85465234.44	81002109.23	66194734.76	83094298.61	59067850.79	65012405.37	70503175.66	78222846.04	61930505.78	93795626.89	25566161.44
V	87135090.69	88639028.59	85721751.61	91538057.09	76718516.79	90672736.12	54586973.17	29765193.35	62330649.06	57298879.26	58086754.04	68361772.80	49161607.53
W	84731297.47	95833439.69	87050685.94	97680018.49	49183222.17	47974186.10	28806808.69	27859089.36	73487067.18	68373765.31	74058959.67	61950580.04	31058475.77
X	83035232.65	85033780.06	74719892.86	106406309.14	86632147.69	31855722.11	62401486.94	24543926.98	70415221.26	112089543.75	73434595.95	69975841.74	47294222.72
