 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	61461087.26	55709204.96	56544101.12	48181234.29	44855169.86	7875029.05	35421588.51	54576352.15	47843427.90	53900568.23	59151935.13	12029981.67	3917844.49
B	55557136.37	57013415.46	62096986.84	49744030.99	57059038.21	13236443.24	34359201.12	36689681.99	47881740.32	47385802.74	41169737.77	15403210.44	50954542.87
C	36610436.85	34110395.32	35171944.01	35188932.44	38574225.83	10204596.45	18840338.28	31762574.94	33087541.43	34320613.45	45091889.34	14442888.74	43768467.95
D	34920531.63	29730518.78	28006351.95	20362581.79	19325065.86	9951370.62	25089566.21	27453277.58	34970465.01	34048389.00	47207341.90	40184958.72	47331236.48
E	44237504.88	41653071.40	34287330.91	34682877.89	29979836.14	7106821.94	24965867.34	38297094.41	32464972.51	36993884.36	54709113.75	37190284.19	65337218.66
F	43527662.53	46074102.35	33480561.05	37073583.13	21185117.23	9400265.07	35272444.63	35712120.80	39810052.92	36527957.63	47833434.54	39068183.40	11228188.92
G	44538112.74	39027743.34	46994450.57	62852809.42	29884641.16	23231799.35	66566038.47	56876333.54	46855158.38	50762178.06	44049474.45	38908720.43	47070104.75
H	42007581.75	45254894.92	49363530.00	44844271.25	34377248.69	18941555.72	70558918.37	58833643.25	41862218.21	50596088.49	45926885.34	17519771.45	47553223.30
I	59095833.21	55438016.17	71497972.53	53394706.65	39386136.53	18529767.64	53779622.29	61442216.57	59068049.94	71135428.97	30205570.54	39915558.64	46980064.34
J	54030575.48	58914882.02	55552022.10	50829361.98	32887172.93	15331442.72	44907770.58	51627765.91	55289093.29	66962215.46	39242124.51	44859083.41	41726531.92
K	51691264.65	53120858.95	53521767.52	50498320.11	48182015.80	126830077.53	60525782.11	54277987.07	48605331.79	50233444.70	42215653.22	43033257.75	32466686.53
L	40661185.14	45109686.66	45178135.52	46174906.54	76586736.78	126683640.11	44567384.03	42795256.71	53715637.10	54573086.67	56335899.76	47877699.86	5733928.85
M	64157191.03	71247010.52	80648451.98	79245686.00	91321220.37	90277129.35	76109951.43	85835160.52	74056700.07	53944000.71	47895057.35	40477522.33	35419814.81
N	43713675.60	44382542.67	45611356.33	55970602.51	44765217.03	98383288.85	37852476.73	49226523.28	47838561.69	52033521.60	53116314.03	29543216.12	10820721.71
O	39100385.79	46819154.96	45214547.03	44426118.03	42313100.94	39216115.99	33583527.99	51226918.96	45854255.65	43766322.42	53096811.46	34469251.12	16611328.74
P	37263536.33	39565808.82	50164941.71	47678059.25	45255158.70	73925727.41	24714223.44	34526868.50	43178778.14	42281156.66	43456229.44	29030389.88	5629860.13
Q	39207006.61	37401514.60	36885283.83	28631795.73	30061444.11	36507244.03	19294112.64	26143875.45	36341126.27	32968692.97	46749075.56	37990533.45	17100126.40
R	33164636.32	31273013.83	32011099.78	27262976.29	26593127.74	18717921.63	20293427.74	26726557.08	35282177.45	33496896.04	40015845.06	84409674.27	46489202.73
S	32477583.08	37530404.68	43555508.12	45859937.44	32598061.15	15663890.16	44507340.85	46104492.07	48718176.40	46741460.19	16159972.30	10872682.10	17119813.41
T	43705776.36	37702910.85	49986204.05	50713312.84	38681582.45	21850381.90	54583716.66	58043015.65	54060128.81	47666321.25	34681200.97	17933497.93	46669441.51
U	41943769.23	41406878.93	40534002.51	37313665.50	28999475.85	15839551.22	36869504.50	36185749.19	43000976.79	38532631.52	42057411.94	37870063.10	44008397.82
V	48740096.47	52589896.79	48272349.16	38428260.56	34381886.47	14402142.43	23146809.92	34573053.25	43887820.97	38684719.96	41585994.25	23490602.75	42774789.06
W	52624919.54	53801116.84	45189894.60	50380959.65	38053322.78	14522938.22	56227076.91	51423738.26	50127251.92	51572245.49	42835925.70	28391085.05	24012374.57
X	48096048.61	52770368.06	43548345.74	45948725.94	26841280.00	15913753.00	69704220.70	59210509.32	51855318.35	49992954.45	44813058.74	40442087.96	30673589.52
