 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	258008871.85	210184308.28	170481497.55	151247046.13	50687984.93	54111643.21	87838260.39	38092088.14	152432139.4	50936789.38	65727219.11	9741045.32	95866209.8	73134646.56
B	192388885.95	190169784.96	185972064.41	209039346.83	249870570.48	178920793.25	174522289.76	112422542.65	176518861.38	98823162.59	84508148.82	11699646.84	65233400.13	8638804.79
C	125726945.87	159583452.78	149959825.88	164237171.96	248036216.49	285653009.66	309124212.4	46306402.0	99963111.26	90184531.91	84176626.69	73984791.58	103781556.83	12697367.26
D	114537384.7	114923058.84	132267774.82	123147077.84	108666585.74	58398067.77	122030355.97	33893147.7	73723705.07	94450247.09	89425022.55	76136565.51	44796188.65	31951549.73
E	141279079.94	161890500.36	173480826.4	169844749.98	158044459.46	80143572.72	136905603.04	46208840.79	101335875.29	96630043.93	111476509.72	68630855.04	81604942.68	98413635.38
F	172647143.38	151973513.9	172293511.88	153493127.18	256351295.9	39125360.02	94274919.32	52558683.29	104349267.12	106652380.68	107688373.55	26062654.7	51920896.11	104916743.89
G	203242515.54	152446573.3	188679783.26	182022878.19	166226162.5	50364453.97	123604080.86	47088875.53	99877285.92	91206356.5	110455810.36	16340925.81	60004197.84	4700228.38
H	195345920.24	178623552.08	147358143.27	181059094.91	134119205.29	93470667.6	124711031.24	90411467.44	125943914.21	91235936.15	104457370.82	24554494.44	77882527.55	4635356.48
I	213067253.62	155809504.07	133991175.22	141090948.95	43489053.62	58133966.12	86587419.99	56056888.28	120455831.32	95675431.89	113608669.36	41086929.87	104835320.39	4152673.62
J	184203125.89	152427936.59	142162373.43	149805590.19	56681491.15	44602029.05	75301241.63	34296482.05	114189732.36	82521182.78	92871705.97	83081326.15	84182984.47	5269676.61
K	172466651.08	156376167.78	145241549.84	170864492.35	144047232.45	190352012.18	119659166.22	109956358.84	139228597.43	79186871.96	77814215.76	92046838.58	99024239.6	4832255.56
L	156095873.68	182906319.82	142425735.23	108861404.43	140791504.88	210114895.45	324779667.42	212405726.64	166486644.01	82923791.19	83507690.22	89665628.02	8859570.02	3846934.91
M	277753870.92	240542946.33	237190469.31	276137628.63	376670372.24	339185331.77	277446575.27	191108832.19	148640553.19	127220146.74	122030464.38	78013887.88	61015492.62	3141496.69
N	147578596.75	134996513.42	114746150.95	97979593.11	129647971.11	212846510.78	217208578.5	178861232.08	147182302.98	81960941.03	106244496.41	55500687.09	15192643.36	3536701.41
O	156257656.9	119710680.69	129297696.25	120270916.07	93139331.26	126422386.74	138971633.47	187934791.42	129339548.76	75046743.24	82091203.8	48248241.14	126478463.13	5813355.16
P	146554610.45	114662396.6	97213766.18	120646592.16	113183225.95	110490393.31	175121433.9	203128279.27	149285463.47	67268407.3	97081196.49	49190553.7	9177293.1	25799530.89
Q	151502229.5	122740984.48	115053903.52	132010051.03	160249772.32	195679179.87	147655591.53	275617132.05	148702904.16	67948591.9	81977127.54	32209177.51	8643699.0	13905762.19
R	123901176.37	117693572.97	118415864.26	130949685.97	149176852.71	196860620.13	141369376.75	202693361.89	132219572.39	76762882.7	77542207.04	16472383.15	85488722.36	24352209.54
S	121953278.27	114592067.7	129154070.9	144755930.5	94582121.57	115383642.47	98747678.23	87854823.63	110170814.5	93425048.96	105065415.7	18971917.8	12929478.5	29088150.47
T	162630650.11	136904813.98	168043200.86	174579281.28	83306746.15	104599532.84	105874632.59	68111421.88	133433646.45	104427397.31	106409005.45	85195728.2	44928620.69	59643117.7
U	143018250.34	152863574.49	131961265.39	147418255.99	83413448.29	89574792.4	112728845.98	145835352.44	134316814.04	90042878.86	86613538.34	74396883.95	28004322.54	69317083.99
V	172818992.18	165825732.86	132365601.11	134619934.68	102701595.96	119252966.86	76833274.85	62006973.14	112449045.58	83285458.4	88458962.84	110895291.18	59595221.94	43700116.65
W	183498815.25	182470391.2	152377464.17	173361047.7	68392650.2	39125040.8	52596059.65	58399001.4	166836656.24	111033628.52	97149335.93	109233851.73	80169858.41	25929100.04
X	156895939.23	182081030.82	135573033.75	133818829.89	117222996.23	132836709.08	90945858.37	70489490.93	171552498.97	156865392.21	115528315.59	93377940.84	27789941.46	13368021.97
