 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	1144944.39	1091308.08	986309.95	1249103.57	1041649.32	994587.38	892609.55	1156752.66	1120371.02	1250316.09	2808013.95	754694.15	552260.59
B	1308536.20	1050661.74	1199544.16	1335182.03	1154116.93	1441705.97	1158774.97	988428.55	1113202.34	1196026.39	4131820.16	936600.52	1150231.77
C	1642062.51	2266513.67	2406679.14	1814883.56	2681642.30	1561545.80	2028532.79	1212297.09	1298381.68	1172931.46	2866519.31	819133.48	1080092.44
D	1421874.77	1387390.46	1280735.31	1488776.62	3467949.70	2175463.99	1720408.06	1435027.97	1430494.26	1259705.30	3302407.00	1535526.19	1026198.18
E	1224649.54	1312148.94	1333594.40	1190886.28	1523866.33	826853.94	1456636.61	1166242.49	1092262.60	1164692.71	1222254.40	1295871.66	1144922.05
F	1438723.04	1485379.14	1394759.29	1380929.78	2370081.55	878648.72	1359302.80	1218966.02	1070994.88	1162879.68	1020754.27	1327795.87	825224.08
G	1177052.40	1057346.65	1153878.20	1105847.31	1139956.65	944018.32	1096715.29	1039912.07	1023831.54	1111069.37	1073044.78	1231103.14	1068954.69
H	1156918.78	1118856.44	1060210.20	1116004.43	971168.43	965795.93	1004808.73	1013138.95	976056.12	1090500.13	924355.26	1063079.77	1071856.54
I	1089642.57	1042638.14	1085514.10	1155720.33	970921.68	1260271.75	1000885.69	1177378.36	1119738.28	1375996.58	1022742.15	1282145.49	961803.22
J	1053614.73	991768.89	913851.78	1169968.22	746882.43	1164912.13	907565.97	1000265.48	1057160.15	1193253.96	1104790.48	1221492.70	953039.35
K	1179073.11	1290960.86	1147843.93	1200221.28	840017.11	1080656.49	996503.81	1029879.47	1104872.22	1185267.48	961194.64	1361081.35	968993.00
L	1149083.06	1292898.07	1009471.00	1170212.47	890018.81	850269.55	798069.79	905533.50	937173.50	987426.38	917451.86	1130091.45	907894.24
M	1467083.17	1695075.68	1491835.67	1469330.37	1239457.51	1423361.71	1637639.75	1735036.98	2269045.70	1581708.54	1063494.40	1188396.05	2144552.60
N	1188254.36	1280377.30	1036937.28	1197712.79	796676.34	1009195.07	860840.18	986139.40	978694.84	1062721.27	946774.82	1557151.33	1232779.08
O	997902.82	1021344.86	922907.32	1070265.59	888040.40	1112269.35	922773.83	938300.75	935189.15	981191.55	1005733.87	1232941.67	1408321.76
P	964626.14	1016019.50	893303.86	1161753.00	878328.98	1152234.24	873484.51	855792.66	850113.02	944982.47	878634.11	1090747.86	1703860.05
Q	1037388.76	975655.64	895524.49	831927.25	810164.21	1072850.07	979463.52	1058365.72	1024559.56	1077721.37	1075401.32	1355523.78	1644468.39
R	1013191.09	1031971.53	962011.23	807866.90	824562.29	1326124.97	1045867.75	1077982.13	990956.42	1098085.98	840997.96	1599172.91	1202863.86
S	1278371.93	1303404.34	1610710.38	1719534.61	2319758.52	4024889.66	1879393.41	2978323.75	3823640.75	3220162.94	1267361.27	1227764.01	2099220.66
T	1251993.04	1242757.74	1551398.75	1657515.82	1689518.27	2954373.29	1578235.49	2311796.91	4132813.01	2932563.02	1103638.46	6074058.39	2902699.01
U	1738642.11	1727225.88	1591604.00	1554266.61	1340147.87	1609590.14	1445728.84	1446118.49	1538735.35	1486776.02	1014372.46	1667350.66	2255347.39
V	1077986.92	1095624.97	993333.45	1046170.26	928654.97	932733.51	946494.57	945675.04	996118.90	1017765.42	783842.61	1093796.25	2040678.27
W	1103168.90	1094104.82	1063903.74	1141049.37	1545413.32	976126.16	933570.33	1062895.70	1062081.93	1205082.41	947523.95	1103835.37	1468742.08
X	1038156.08	1025513.66	900963.99	910138.42	764508.19	1292390.44	991698.62	1084661.19	1092418.42	1294964.26	966180.79	1423056.53	1786177.71
