stat_code,stat_name,cycle,org_name,implemented
102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",M,,❌
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",M,,❌
102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",M,,❌
102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",M,한국은행,❌
161Y001,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",M,,✅ get_m1_variants(variant='평잔_계절조정')
161Y002,"1.1.2.1.2. M1 상품별 구성내역(평잔, 원계열)",M,,✅ get_m1_variants(variant='평잔_원계열')
161Y003,"1.1.2.1.3. M1 상품별 구성내역(말잔, 계절조정계열)",M,,✅ get_m1_variants(variant='말잔_계절조정')
161Y004,"1.1.2.1.4. M1 상품별 구성내역(말잔, 원계열)",M,,✅ get_money_supply() - M1
161Y005,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)",M,,✅ get_m2_variants(variant='평잔_계절조정')
161Y006,"1.1.3.1.2. M2 상품별 구성내역(평잔, 원계열)",M,,✅ get_m2_variants(variant='평잔_원계열')
161Y007,"1.1.3.1.3. M2 상품별 구성내역(말잔, 계절조정계열)",M,,✅ get_m2_variants(variant='말잔_계절조정')
161Y008,"1.1.3.1.4. M2 상품별 구성내역(말잔, 원계열)",M,,✅ get_money_supply() - M2
161Y009,"1.1.3.2.1. M2 경제주체별 보유현황(평잔, 계절조정계열)",M,,✅ get_m2_by_holder(variant='평잔_계절조정')
161Y010,"1.1.3.2.2. M2 경제주체별 보유현황(평잔, 원계열)",M,,✅ get_m2_by_holder(variant='평잔_원계열')
161Y011,"1.1.3.2.3. M2 경제주체별 보유현황(말잔, 계절조정계열)",M,,❌
161Y012,"1.1.3.2.4. M2 경제주체별 보유현황(말잔, 원계열)",M,,❌
161Y013,1.1.3.3.1. M2 기관별 구성내역(평잔),M,,❌
161Y014,1.1.3.3.2. M2 기관별 구성내역(말잔),M,,❌
171Y003,"1.1.4.1.1. Lf 구성내역(평잔, 계절조정계열)",M,,❌
171Y004,"1.1.4.1.2. Lf 구성내역(평잔, 원계열)",M,,❌
171Y001,"1.1.4.1.3. Lf 상품별 구성내역(말잔, 계절조정계열)",M,,❌
171Y002,"1.1.4.1.4. Lf 상품별 구성내역(말잔, 원계열)",M,,✅ get_money_supply() - Lf
172Y001,"1.1.5.1. L(광의유동성) 구성내역(말잔, 계절조정계열)",M,,❌
172Y002,"1.1.5.2. L(광의유동성) 구성내역(말잔, 원계열)",M,,❌
161Y015,1.1.6.1. 예금취급기관 개관표(말잔),M,,❌
161Y016,1.1.6.2. 중앙은행 개관표(말잔),M,,❌
161Y017,1.1.6.3. 기타예금취급기관 개관표(말잔),M,,❌
104Y014,1.2.1.1.1. 예금은행 총수신(평잔),M,,❌
104Y013,1.2.1.1.2. 예금은행 총수신(말잔),M,,❌
104Y008,"1.2.1.1.3. 예금은행 원화예금(종별, 평잔)",M,,❌
104Y015,"1.2.1.1.4. 예금은행 원화예금(종별, 말잔)",M,한국은행,❌
104Y009,"1.2.1.1.5. 예금은행 원화예금(예금주별,말잔)",M,,❌
104Y010,"1.2.1.1.6. 예금은행 정기예금(기간별, 말잔)",M,,❌
111Y008,1.2.1.2.1. 비은행금융기관 수신(평잔),M,,❌
111Y007,1.2.1.2.2. 비은행금융기관 수신(말잔),M,,❌
104Y016,1.2.2.1. 예금은행 대출금(말잔),M,,✅ get_bank_lending() - 은행 대출
111Y009,1.2.2.2. 비은행금융기관 여신(말잔),M,,❌
141Y002,1.2.3.1. 예금은행 지역별 수신(말잔),M,,❌
141Y006,1.2.3.2. 비은행예금취급기관 지역별 수신(말잔),M,,❌
141Y008,1.2.3.3. 생명보험회사 지역별 수신(말잔),M,한국은행,❌
141Y003,1.2.3.4.1. 예금은행 지역별 대출금(말잔),M,,❌
151Y003,1.2.3.4.2. 예금은행 지역별 가계대출(말잔),M,,❌
141Y004,1.2.3.4.3. 예금은행 지역별 기업대출(말잔),M,,❌
141Y007,1.2.3.5.1. 비은행예금취급기관 지역별 여신(말잔),M,,❌
151Y006,1.2.3.5.2. 비은행예금취급기관 지역별 가계대출(말잔),M,,❌
141Y010,1.2.3.5.3. 비은행예금취급기관 지역별 기업대출(말잔),M,,❌
141Y009,1.2.3.6. 생명보험회사 지역별 여신(말잔),M,한국은행,❌
141Y005,1.2.3.7. 예금은행 지역별 연체율,M,,❌
151Y001,"1.2.4.1.1. 가계신용(업권별, 분기)",Q,,✅ get_household_credit(category='업권별')
151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Q,,✅ get_household_credit(category='용도별')
151Y002,"1.2.4.2.1. 예금취급기관 가계대출(업권별, 월)",M,,✅ get_bank_lending() - 가계대출
151Y005,"1.2.4.2.2. 예금취급기관 가계대출(용도별, 월)",M,,✅ get_household_lending_detail()
131Y016,"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)",Q,,❌
