p_stat_code,stat_code,stat_name,cycle,srch_yn,org_name
*,0000000001,1. 통화/금융,,N,
0000000001,0000000620,1.1. 통화/유동성(신지표),,N,
0000000620,0000000621,1.1.1. 본원통화,,N,
0000000621,0000000622,1.1.1.1. 본원통화 구성내역,,N,
0000000622,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",M,Y,
0000000622,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",M,Y,
0000000622,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",M,Y,
0000000622,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",M,Y,한국은행
0000000620,0000000623,1.1.2. M1(협의통화),,N,
0000000623,0000000624,1.1.2.1. M1(협의통화) 상품별 구성내역,,N,
0000000624,161Y001,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",M,Y,
0000000624,161Y002,"1.1.2.1.2. M1 상품별 구성내역(평잔, 원계열)",M,Y,
0000000624,161Y003,"1.1.2.1.3. M1 상품별 구성내역(말잔, 계절조정계열)",M,Y,
0000000624,161Y004,"1.1.2.1.4. M1 상품별 구성내역(말잔, 원계열)",M,Y,
0000000620,0000000625,1.1.3. M2(광의통화),,N,
0000000625,0000000626,1.1.3.1. M2(광의통화) 상품별 구성내역,,N,
0000000626,161Y005,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)",M,Y,
0000000626,161Y006,"1.1.3.1.2. M2 상품별 구성내역(평잔, 원계열)",M,Y,
0000000626,161Y007,"1.1.3.1.3. M2 상품별 구성내역(말잔, 계절조정계열)",M,Y,
0000000626,161Y008,"1.1.3.1.4. M2 상품별 구성내역(말잔, 원계열)",M,Y,
0000000625,0000000627,1.1.3.2. M2(광의통화) 경제주체별 보유현황,,N,
0000000627,161Y009,"1.1.3.2.1. M2 경제주체별 보유현황(평잔, 계절조정계열)",M,Y,
0000000627,161Y010,"1.1.3.2.2. M2 경제주체별 보유현황(평잔, 원계열)",M,Y,
0000000627,161Y011,"1.1.3.2.3. M2 경제주체별 보유현황(말잔, 계절조정계열)",M,Y,
0000000627,161Y012,"1.1.3.2.4. M2 경제주체별 보유현황(말잔, 원계열)",M,Y,
0000000625,0000000628,1.1.3.3. M2 기관별 구성내역,,N,
0000000628,161Y013,1.1.3.3.1. M2 기관별 구성내역(평잔),M,Y,
0000000628,161Y014,1.1.3.3.2. M2 기관별 구성내역(말잔),M,Y,
0000000620,0000000629,1.1.4. Lf(금융기관 유동성),,N,
0000000629,0000000630,1.1.4.1. Lf(금융기관 유동성) 구성내역,,N,
0000000630,171Y003,"1.1.4.1.1. Lf 구성내역(평잔, 계절조정계열)",M,Y,
0000000630,171Y004,"1.1.4.1.2. Lf 구성내역(평잔, 원계열)",M,Y,
0000000630,171Y001,"1.1.4.1.3. Lf 상품별 구성내역(말잔, 계절조정계열)",M,Y,
0000000630,171Y002,"1.1.4.1.4. Lf 상품별 구성내역(말잔, 원계열)",M,Y,
0000000620,0000000631,1.1.5. L(광의유동성),,N,
0000000631,172Y001,"1.1.5.1. L(광의유동성) 구성내역(말잔, 계절조정계열)",M,Y,
0000000631,172Y002,"1.1.5.2. L(광의유동성) 구성내역(말잔, 원계열)",M,Y,
0000000620,0000000632,1.1.6. 예금취급기관 개관표,,N,
0000000632,161Y015,1.1.6.1. 예금취급기관 개관표(말잔),M,Y,
0000000632,161Y016,1.1.6.2. 중앙은행 개관표(말잔),M,Y,
0000000632,161Y017,1.1.6.3. 기타예금취급기관 개관표(말잔),M,Y,
0000000001,0000000020,1.2. 금융기관 여수신,,N,
0000000020,0000000021,1.2.1. 수신,,N,
0000000021,0000000022,1.2.1.1. 예금은행 수신,,N,
0000000022,104Y014,1.2.1.1.1. 예금은행 총수신(평잔),M,Y,
0000000022,104Y013,1.2.1.1.2. 예금은행 총수신(말잔),M,Y,
0000000022,104Y008,"1.2.1.1.3. 예금은행 원화예금(종별, 평잔)",M,Y,
0000000022,104Y015,"1.2.1.1.4. 예금은행 원화예금(종별, 말잔)",M,Y,한국은행
0000000022,104Y009,"1.2.1.1.5. 예금은행 원화예금(예금주별,말잔)",M,Y,
0000000022,104Y010,"1.2.1.1.6. 예금은행 정기예금(기간별, 말잔)",M,Y,
0000000021,0000000023,1.2.1.2. 비은행금융기관 수신,,N,
0000000023,111Y008,1.2.1.2.1. 비은행금융기관 수신(평잔),M,Y,
0000000023,111Y007,1.2.1.2.2. 비은행금융기관 수신(말잔),M,Y,
0000000020,0000000024,1.2.2. 여신,,N,
0000000024,104Y016,1.2.2.1. 예금은행 대출금(말잔),M,Y,
0000000024,111Y009,1.2.2.2. 비은행금융기관 여신(말잔),M,Y,
0000000020,0000000027,1.2.3. 지역별 여수신,,N,
0000000027,141Y002,1.2.3.1. 예금은행 지역별 수신(말잔),M,Y,
0000000027,141Y006,1.2.3.2. 비은행예금취급기관 지역별 수신(말잔),M,Y,
0000000027,141Y008,1.2.3.3. 생명보험회사 지역별 수신(말잔),M,Y,한국은행
0000000027,0000000031,1.2.3.4. 예금은행 지역별 대출금(말잔),,N,
0000000031,141Y003,1.2.3.4.1. 예금은행 지역별 대출금(말잔),M,Y,
0000000031,151Y003,1.2.3.4.2. 예금은행 지역별 가계대출(말잔),M,Y,
0000000031,141Y004,1.2.3.4.3. 예금은행 지역별 기업대출(말잔),M,Y,
0000000027,0000000032,1.2.3.5. 비은행예금취급기관 지역별 여신(말잔),,N,
0000000032,141Y007,1.2.3.5.1. 비은행예금취급기관 지역별 여신(말잔),M,Y,
0000000032,151Y006,1.2.3.5.2. 비은행예금취급기관 지역별 가계대출(말잔),M,Y,
0000000032,141Y010,1.2.3.5.3. 비은행예금취급기관 지역별 기업대출(말잔),M,Y,
0000000027,141Y009,1.2.3.6. 생명보험회사 지역별 여신(말잔),M,Y,한국은행
0000000027,141Y005,1.2.3.7. 예금은행 지역별 연체율,M,Y,
0000000020,0000000035,1.2.4. 가계신용,,N,
0000000035,0000000036,1.2.4.1. 가계신용(분기),,N,
0000000036,151Y001,"1.2.4.1.1. 가계신용(업권별, 분기)",Q,Y,
0000000036,151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Q,Y,
0000000035,0000000037,1.2.4.2. 예금취급기관 가계대출(월),,N,
0000000037,151Y002,"1.2.4.2.1. 예금취급기관 가계대출(업권별, 월)",M,Y,
0000000037,151Y005,"1.2.4.2.2. 예금취급기관 가계대출(용도별, 월)",M,Y,
0000000020,0000000038,1.2.5. 산업별대출금,,N,
0000000038,0000000039,1.2.5.1. 예금취급기관 산업별대출금,,N,
0000000039,131Y016,"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)",Q,Y,
0000000039,131Y017,"1.2.5.1.2. 산업별대출금(예금취급기관, 용도별)",Q,Y,
0000000038,0000000040,1.2.5.2. 예금은행 산업별대출금,,N,
0000000040,131Y013,"1.2.5.2.1. 산업별대출금(예금은행, 전산업)",Q,Y,
0000000040,131Y011,"1.2.5.2.2. 산업별대출금(예금은행, 용도별)",Q,Y,
0000000040,131Y010,"1.2.5.2.3. 산업별대출금(예금은행, 기업형태별)",Q,Y,한국은행
0000000040,131Y018,"1.2.5.2.4. 산업별대출금(예금은행, 기업규모별)",Q,Y,
0000000040,132Y001,"1.2.5.2.5. 산업별대출금(예금은행, 지역별, 전산업)",Q,Y,
0000000040,132Y003,"1.2.5.2.6. 산업별대출금(예금은행, 지역별, 용도별)",Q,Y,
