 	1	2	3	4	5	6	7	8	9	10
A	13183599.39	15821933.97	14595315.48	4734733.0	13595113.14	9689489.38	7976632.81	1213487.52	856170.3	1905581.75
B	2467991.03	2660764.24	2640789.97	2054409.99	2306405.98	2153572.73	2089360.35	2252288.42	2860192.14	11283676.27
C	26083255.68	24638024.17	22415832.84	8251471.62	15079528.56	14512395.27	17266723.25	22458831.87	20154703.32	12773675.17
D	28674511.93	27334997.67	26394058.09	12860957.92	8418740.37	9977976.02	30880424.95	26566316.48	21155533.54	11487772.72
E	22960198.34	26651210.67	24700157.88	7047019.94	17669002.33	2947452.14	18885194.04	22092114.09	21759295.88	16693118.13
F	26504859.37	29477512.92	22060988.49	10448214.35	17212268.01	3360004.75	22962456.0	21348197.03	24461621.92	16315766.19
G	23823232.57	22450735.01	21316455.25	12180116.77	16279856.04	3484553.94	20370091.59	14235576.13	20319994.71	13522283.12
H	22470358.45	22153849.5	25369399.23	13190355.85	29148587.44	4546919.59	21975337.87	16006693.46	22848415.48	10745920.17
I	20770032.93	19408669.88	20092717.3	10528537.25	19574369.31	5079397.53	25103652.75	15238709.01	23176750.98	11384114.31
J	22959843.39	22660698.59	17381816.67	9602591.78	19452667.36	5152176.97	26151662.75	13147064.34	21762013.12	14038861.64
K	27932744.66	22182417.43	21713213.12	11919882.87	27934899.78	5588752.62	25722605.6	21623388.01	30480592.71	16293353.71
L	22743380.75	22307207.82	17397825.92	9098277.56	14265523.18	5072920.78	18466962.17	21967552.3	27683484.78	17456222.38
M	24431161.38	19577218.11	17993610.89	11034610.51	19240480.06	4914938.48	24453580.89	23091982.98	29399781.89	20442926.16
N	23509994.03	18074160.66	17028343.19	12802408.2	19680327.22	6602320.03	19313675.87	20579855.96	33925611.64	19205150.27
O	23438423.07	25041085.08	23783187.88	25454745.19	38494342.57	6412366.32	22174746.04	19192894.16	28769564.89	16196733.86
P	26879170.6	23148223.2	26149900.76	30335038.78	31667179.02	8287463.59	24197511.8	22693471.5	30228165.73	15605414.98
Q	21919827.66	20875780.39	25063604.24	24147680.47	15610186.84	7483143.71	26892950.37	25061142.73	27837982.38	15584604.54
R	20902154.15	21134145.11	22948524.25	24150681.65	17290727.0	7118126.91	28817184.46	28207483.15	26483394.23	16194637.06
S	43972740.85	47210523.27	55522048.68	48383487.05	43720216.04	42778314.38	48650787.7	38620621.34	39165504.6	26486834.84
T	39661680.89	49161891.64	54910808.25	48090634.77	38343944.19	44409616.35	35973229.47	39750639.91	36607931.64	22712673.53
U	31044098.89	30489934.38	34477469.44	35074172.93	24882598.3	13489359.72	31109780.03	28739392.34	38983512.77	22189010.37
V	27897290.75	26813587.09	30326918.87	19864992.01	28263671.86	40668968.13	26513106.38	30472054.01	24872814.78	14719258.82
W	30378499.34	28559836.1	36899373.97	15207610.78	28684137.85	20711826.1	26662274.19	24359352.78	31535394.69	18111479.92
X	34041121.01	30372824.89	38817052.09	107203208.3	32199430.8	281237090.54	17761216.44	43874029.72	26794793.26	25639147.4
