 	1	2	3	4	5	6	7	8	9	10
A	115340941.39	141879241.58	72979091.79	58098277.3	80582793.77	17488993.7	160107945.88	597592747.4	94518341.67	11995613.78
B	145182956.34	179470448.35	177814572.4	107161575.29	149600311.92	26009628.24	142113921.07	49650425.26	80071025.91	17129446.98
C	153538080.51	146974493.67	151187802.51	157442832.35	94389297.06	132197087.93	75872952.05	97793201.12	93692591.26	10006100.61
D	165011330.7	123314435.45	136074026.14	88673942.54	45991234.12	72776199.81	119939093.68	116920971.44	69398757.1	11022257.26
E	170714243.37	168822599.59	118983502.69	67733996.51	104330478.52	18212161.96	68551941.53	23612995.49	67130292.05	10264931.93
F	186540996.97	158654207.38	92899031.93	72900956.54	133546248.7	18188077.05	76899723.94	24935419.49	83459909.92	12146092.02
G	139027755.22	139086898.37	122134613.37	93119871.25	124406069.78	24019179.87	135533984.19	46750346.02	120379011.35	17241296.66
H	193325533.89	184996119.12	158746577.93	105601314.03	168978608.76	29867023.79	185155492.89	59359668.47	132414323.11	26377576.22
I	180947072.67	129860042.1	118073683.69	66152898.7	160321060.23	29570273.22	244627880.99	132791107.82	106536828.93	20310955.38
J	200834263.03	159934575.31	112633469.29	77184461.14	124534085.39	26278996.1	240840328.85	766269251.77	183465092.83	89707362.09
K	200797080.04	189001552.83	173982993.84	117403967.23	108339410.17	21966371.01	160771998.77	77752043.87	117622452.29	23028161.55
L	194060512.73	219999841.32	161510807.99	114894782.2	165196065.68	19512792.53	83982840.25	38280282.02	150074600.08	28085147.65
M	202631992.36	172734319.88	137817478.05	97490738.23	113456403.46	19725538.88	103213872.02	35034503.2	106177802.79	29556738.56
N	172095247.74	169751602.6	124541779.81	125134935.66	135780361.35	21831235.87	122871673.04	39109768.99	95000218.56	17363047.65
O	136748142.58	127549251.77	120090640.31	122510236.67	125252809.51	24380118.85	137741614.41	36146348.53	148015663.12	29004418.2
P	134535037.89	142751360.1	118138573.44	122682282.15	125287106.24	22958906.4	119180303.31	31939741.24	127371830.88	23855450.69
Q	117002501.9	142718617.6	117725352.95	77704253.76	52730697.87	24487603.7	98402952.96	29040854.96	104492830.78	23136818.93
R	171324655.16	142093633.05	139413977.2	86234256.34	79319169.91	30867568.55	136596834.39	34987266.77	110938617.02	29796029.85
S	229203766.15	243781856.92	167652513.89	132635838.08	141491752.96	157140773.82	150389431.55	124371779.14	120989905.58	13610479.41
T	325110308.49	283741827.7	177435890.5	159828214.0	164646121.34	233521895.29	167619448.3	202303310.8	177862841.7	38382733.75
U	255054098.06	229668576.71	162072949.74	134375752.19	136135263.56	48769991.18	137053397.33	67444389.64	155859826.69	16319690.43
V	176888732.97	160369094.97	142085897.65	84584856.75	116702189.71	25238946.11	94237357.01	40774927.2	65726697.11	27092059.68
W	140841175.28	161863310.08	214575482.53	86159322.62	170964238.95	55212525.43	83616434.58	44397068.55	128068422.84	13743956.66
X	188487472.14	92300865.18	107862489.17	125890421.39	86298265.57	604761558.18	48331310.11	55856291.83	83024217.5	27143816.45
