 	1	2	3	4	5	6	7	8	9	10	11
A	5892437.67	6461998.59	3160246.54	1801465.00	5411102.44	2769071.50	4330052.86	4179815.23	5279427.09	1874547.57	1237262.43
B	5252408.49	6463295.17	3919498.13	2189783.52	7098377.39	2392649.31	4693950.31	3091666.14	4513232.41	2842708.14	1205511.12
C	4964683.27	4502082.33	3193976.71	2048859.12	3396410.00	2327741.99	3004403.43	3041230.80	4239141.24	2640920.99	1224270.53
D	5050170.20	4539252.54	2772769.84	2382321.00	2078086.70	2003690.53	3087855.51	2825921.62	3766742.79	1659620.54	1224459.95
E	4232460.28	5059630.25	2640722.42	1700983.86	3275240.44	1513846.53	2533955.65	3042343.03	3739769.63	3004244.43	1265161.89
F	4358429.05	4417509.15	3270416.71	1712247.99	3085274.64	1529567.75	3526470.07	3386049.26	3865387.17	2239341.41	1255866.70
G	5494680.98	5013817.65	3548722.25	3134382.82	4713344.03	2488128.81	4339067.27	4012431.36	4347492.93	4961995.40	1345779.25
H	5963089.18	5125130.99	4386937.27	2972050.33	5541240.09	2511474.98	3961406.80	4482479.60	4195603.78	4864410.42	1381253.95
I	10855440.26	12059919.33	57443616.17	12831319.03	8124441.52	4138356.11	4455860.35	3687230.97	3476513.88	3290906.08	1263761.83
J	6618183.26	6311950.26	5244562.40	3479918.39	7270717.68	3334360.75	3732781.04	3184193.92	3903912.61	1994102.50	1233937.97
K	7522331.19	5785998.75	4782150.96	2878506.38	6277953.30	2674209.58	6748097.89	6981837.34	5205146.88	6606748.51	1317963.86
L	5110338.89	5374622.40	3529636.87	2373435.69	3927106.11	2851235.19	5169348.53	5214918.49	6006813.48	2951835.00	1244334.70
M	7068363.62	5774944.34	3154588.89	2216511.36	4521314.05	2282983.09	5837174.21	4460385.05	4753179.16	3567391.42	1269084.17
N	6622417.07	4682004.46	2960173.68	2208389.21	4085599.08	2945801.68	7789600.43	7182409.30	9596545.44	7574853.56	1600911.72
O	5763260.48	5548665.87	3240570.19	3218277.37	6696400.07	2926464.18	7083003.78	6289143.82	6011973.20	5605903.19	1622536.25
P	5775841.96	5386083.71	3318706.03	3835151.48	4925347.55	2446995.52	8813551.61	6932415.91	5059970.32	2689861.46	1322650.34
Q	6279510.75	5339987.72	2748421.03	2957046.50	4030070.62	2578330.94	7671976.40	4867957.31	4912576.71	3122734.09	1346693.61
R	4810372.27	4176087.65	2598605.36	3934858.12	5031948.65	2835941.38	6993077.50	3869174.70	4188594.74	1995456.84	1306888.40
S	7204025.17	6752404.54	3658253.26	7029759.92	6753586.84	5943970.01	8077363.04	4498224.80	3983718.20	2034541.98	1330572.32
T	5977058.20	7322030.93	5083803.50	12133927.22	8651622.53	6324072.91	8682180.89	5034096.51	4215594.67	3724168.39	1524702.77
U	6384371.55	6661200.34	6206093.46	15146411.76	7032186.12	4960474.08	6873765.07	6511541.05	7586930.10	3103978.58	1771126.95
V	6035570.96	5691580.91	6133519.72	7969835.63	7038171.06	2933131.19	4697176.55	3865147.35	3988512.89	2613583.59	1628706.85
W	6899899.64	6076228.37	7691779.64	4036838.75	5456440.53	3653858.42	5637388.71	5098377.08	5311877.37	1997405.45	1432603.47
X	7260981.87	5990870.95	4002039.92	21615890.83	10353705.10	46185143.72	4411108.46	9884143.28	4236941.40	2913411.10	1509788.41
