 	1	2	3	4	5	6	7	8	9	10	11	12
A	61679679.77	79443994.69	27685747.65	13124145.07	58014184.81	24546317.91	28402253.44	36574294.00	36299789.05	3214170.39	986289.72	895621.81
B	59807028.26	63874416.68	19206221.50	19448136.17	47913853.32	55124871.18	41680076.25	29526152.79	38755933.23	13798217.76	1336789.43	902003.38
C	17952593.64	18649699.94	9571215.00	6315415.78	19689155.59	16182513.75	20529098.88	23402880.19	30402122.65	53655764.57	3053194.71	938220.73
D	16446717.42	15709709.00	8827055.18	6647946.24	7695446.66	14523794.81	14789321.52	19605737.11	34702284.37	26108015.62	2170132.26	929193.51
E	15476114.35	19044939.68	5386254.54	3617976.79	11555336.93	8909598.82	14292708.65	20394496.34	26995708.40	31301619.81	1880982.82	915053.69
F	14817377.81	17507714.95	5027853.09	4386763.78	14069525.22	10748687.48	25522283.65	21369112.00	24999056.64	7444450.82	1336662.45	955099.94
G	22820268.66	21091780.55	10333283.93	8843746.71	33038937.11	14454373.73	20889867.18	22854127.88	23775347.10	52370817.67	2153645.67	972866.97
H	19991109.53	24680914.33	21817542.44	16644933.43	23472708.78	16829244.49	22838112.17	20804368.04	22895342.88	52420963.75	2553121.91	1015529.36
I	52301941.27	60984280.27	295217871.60	273739167.53	43403965.57	17013375.88	16279841.35	21468281.57	20758475.61	48482945.36	2438177.84	1033550.84
J	47601554.00	48645844.56	88219670.55	114271577.12	45442027.95	17283064.56	13661026.32	18295108.80	16906608.70	47738274.34	2255178.71	1092815.22
K	29615896.76	26864228.45	38502467.62	15897491.15	31928806.46	14810027.68	34873607.38	27174393.62	24064277.48	61619109.47	2483081.06	1125174.75
L	28790743.17	19412161.55	10980351.68	6158152.50	19124793.83	20690231.39	18016905.11	23806189.78	21370515.73	18535746.16	1755049.63	1159913.34
M	22768660.02	19380877.01	12618515.10	5876628.45	25685182.83	15764271.42	19735387.11	20697612.76	15652102.07	29816097.68	2104166.44	1188947.85
N	25411432.33	16014388.11	6662765.13	5628497.12	17593524.84	21637126.79	21128157.39	20590566.09	17386044.68	85031136.75	3980615.69	1187064.31
O	19088303.90	21040803.61	6514874.48	5853251.63	26489419.68	19500320.71	15355130.94	15947863.01	19194228.43	53869138.32	2765777.28	1183175.76
P	18239972.25	18882928.54	5136914.76	6697018.82	21577059.53	22955739.79	14309086.12	18949143.34	18920405.27	34887765.33	3128281.52	1170408.39
Q	17135466.68	15230078.43	5156698.45	4347750.82	8229905.17	21740449.99	13873024.22	12892413.87	19463377.88	46753319.65	2569610.41	1187818.73
R	18997757.64	15881062.23	6061039.92	4584288.10	11552201.48	21668726.66	18956666.52	14342849.20	16656687.00	9932223.74	1731191.89	1157917.20
S	18578407.59	20956955.66	12778324.62	12969779.36	17464792.50	16133261.26	18048850.83	14402860.68	18289475.79	13058841.80	1821281.02	1131775.91
T	22741496.98	22562775.33	22085879.68	34415118.83	29994505.13	27343938.09	37394724.45	30983799.86	22524580.98	37700959.18	2163998.59	1137883.07
U	29766893.06	34477941.22	22620900.71	11087605.89	27498600.34	28349993.45	40562753.49	32913143.93	26569955.30	22711869.40	2317548.55	1129404.31
V	27674166.90	27902274.19	19684301.72	11021506.78	23826418.52	15092784.17	26307536.32	19500548.30	18590593.01	40002553.87	2311790.85	1130408.63
W	30253151.81	31247809.51	17042730.09	9096423.45	31197364.71	13205686.31	21751202.89	21793735.00	23491581.99	19247066.46	2385863.92	1112872.96
X	22918279.85	23673039.46	21335599.51	5832160.83	31352894.05	4781748.33	20520110.77	29489089.92	32411724.76	45193570.01	2578724.10	1087686.74
