 	1	2	3	4	5	6	7	8	9	10
A	33021883.29	16817166.68	36933806.1	4991627.81	914612.11	1116595.49	856526.44	1130056.39	1850597.31	3911471.77
B	5296589.62	7284510.72	4890234.8	5730839.39	1182572.17	1124552.46	1054693.92	1281607.06	3995566.11	26480448.92
C	9612513.49	11187332.53	10748517.26	11026814.22	16594375.96	10453109.8	10326407.29	14804211.86	14360715.53	30497915.17
D	6242507.79	8473675.07	9276406.81	7855967.61	8016990.22	16967037.57	12131387.86	13818841.51	23744054.34	26590879.45
E	6483887.82	12404478.08	8022545.07	7021123.63	13647572.78	19271334.92	9997755.33	16836701.77	15698503.81	32853202.45
F	9208799.91	11636288.06	8540309.94	7214159.47	10536533.63	12262356.05	11496835.92	19603081.96	16538286.98	39619853.01
G	8088502.67	10605424.07	8796434.92	13881044.68	20025744.29	16184341.02	18351610.74	16601085.5	16446261.45	49348322.6
H	8623949.7	11701069.96	10186300.65	12125987.64	19978248.5	17784444.45	13579885.0	15889191.18	16091088.76	43089415.74
I	22529887.47	17106386.01	69297567.88	23792777.03	13757738.97	12744989.66	16825648.03	20377434.54	11177141.08	67067896.98
J	16031758.92	13456315.72	19475181.0	12847053.12	24391323.26	12796830.46	14378624.46	16572051.12	15390635.16	50508995.46
K	12260681.45	11928509.06	11718878.24	32957504.71	14020096.75	10824417.71	21474131.36	16058736.39	14495786.89	35055984.25
L	8949684.04	8438630.36	6833935.58	10241902.46	7247524.77	7380278.71	11436611.35	12415195.39	13211013.17	30633534.21
M	6404848.61	8098915.96	4861859.7	13449485.85	12689857.47	8461749.61	9607690.19	11603847.55	11234834.43	33613080.16
N	6452190.65	6748868.93	4672233.7	8616966.17	8331903.16	6254355.08	7979904.97	8981986.45	10628113.44	28397688.86
O	5022854.16	10799217.46	4788117.54	6407110.44	9766550.29	11214288.64	7554085.89	9769292.81	11697964.33	34449863.29
P	4839458.81	6171041.85	3672559.81	5354648.19	9494743.0	7626637.07	7273514.92	7824737.58	11630994.68	30099559.93
Q	4959065.72	6837613.31	2965332.02	4833852.57	6215595.89	9543905.45	5819384.11	8024034.69	10286378.96	27799930.76
R	6646342.31	7146166.63	4421102.68	5159139.12	9545933.87	11053207.51	8163625.49	9205650.75	12140972.25	33170453.16
S	10919780.04	11152565.47	8017982.66	11914413.02	18068806.32	19539639.17	13370134.99	12739957.32	23665358.0	69265898.39
T	27746735.28	18116189.44	16673499.39	19885551.22	25907049.04	24883239.6	23462931.38	20330121.79	32604700.57	89276251.65
U	12543863.04	14821357.98	9293099.19	11363332.43	10888941.44	16820139.44	13850186.27	16517658.63	19745184.53	46033896.54
V	10774570.59	10710021.82	8046564.29	7602221.67	13037978.4	14331171.37	10999821.68	9806264.79	13495171.82	44830264.49
W	11678975.88	15731712.82	10081728.0	8442137.28	11227362.12	43659602.27	10348838.08	16119005.89	19432668.5	62265788.51
X	9312218.76	15477065.5	15833234.52	12422811.97	29006696.37	5559053.53	12905713.71	11045010.01	20776110.13	63221044.2
