 	1	2	3	4	5	6	7	8	9	10
A	4558576.84	4390622.47	5408852.53	481568.45	206923.76	217880.01	236405.35	275795.07	326286.8	1204002.35
B	644080.95	731743.62	599935.07	537448.91	359075.77	284218.5	274520.58	306857.57	493873.1	4670514.42
C	2509483.58	3530190.02	2961732.79	2520611.33	7006717.0	1862345.88	2108881.17	2353263.16	2910035.36	4347239.09
D	3754158.77	5736763.9	3681111.26	4077410.09	3985068.75	3479343.12	4482873.12	2774920.87	4775229.28	4003826.25
E	3108835.42	3745337.42	2132884.35	2554177.05	3755989.12	1596635.8	2600102.19	1944625.9	3277768.58	4873787.5
F	3127897.07	4220181.77	2147593.35	3551893.78	5641486.79	1605680.58	1881224.69	2057030.75	4258427.13	4568363.28
G	3389612.74	5423342.07	3259665.21	5154212.68	4822833.57	2221927.52	3362014.04	3323107.75	5006776.6	4509095.95
H	3376565.01	3884845.26	3286814.51	4863069.12	4058896.72	2983809.45	4259352.88	2837124.74	4931529.6	3912097.95
I	4691912.36	5278323.81	10543515.2	10198525.36	4142054.08	2374584.85	6572865.29	6420328.59	8349034.37	6587595.82
J	4057835.25	4224432.07	5123544.27	4354289.7	3963806.4	2207560.4	6987283.1	4194279.46	6887341.2	6050642.65
K	4574151.56	5825733.81	4717517.35	9151089.33	6661668.9	3870086.03	7598753.87	4901150.08	6480087.48	5015388.06
L	6592763.61	12838275.62	9275926.31	12290704.23	6820923.66	16269428.88	5480710.08	15895787.1	10678352.4	6009114.32
M	6599831.39	7693467.63	5495916.93	8446002.56	6440951.98	7327848.12	8903099.04	12059957.3	7817174.81	5213419.77
N	6692461.88	6573357.77	6072240.07	6627779.17	6767511.34	13933287.25	9341588.2	20231071.16	6981761.83	4927279.98
O	5447334.05	7018095.04	6270596.86	7010583.01	9020223.26	8396528.49	6051066.43	9435289.9	5631705.18	4859766.06
P	5321627.14	6308946.35	8315913.93	6797165.05	7942028.38	8466871.49	6322471.23	7494407.11	5708463.27	4374526.69
Q	5261445.04	6424913.36	6636113.02	5097591.02	5759942.15	16539266.5	10593442.14	8724034.13	5681195.75	4281178.38
R	4257825.07	5854497.39	4154078.24	3797819.74	3884211.12	9526113.85	6138035.27	5641386.39	3716241.55	3874436.3
S	7301982.36	7030680.43	6695810.2	11031494.6	4797259.97	6034098.6	10415097.34	4301855.4	5222789.4	6055786.27
T	7497392.83	8934652.28	5739994.29	9527095.18	5226054.62	5522876.19	6979648.53	4330266.09	3630594.56	5225503.22
U	5979311.22	7008174.8	9647385.86	6844965.8	5477262.64	5481538.76	4888824.51	6496748.58	5844795.72	5073641.89
V	4667097.08	4153730.58	4634307.25	3507068.87	3087393.27	2089646.35	1882873.86	3088787.73	3895911.36	4368094.75
W	4146440.91	4163913.1	3709585.32	5229031.19	3182151.78	1904562.01	2237882.25	3358135.78	4592923.33	4752270.27
X	3627324.52	3568940.84	2799367.62	2163897.88	2038220.25	1001706.35	1615895.44	1849761.54	5121849.87	5858122.89
