 	1	2	3	4	5	6	7	8	9	10	11	12
A	33104631.79	2687438.82	22641190.80	2612557.64	1545844.54	2061277.95	18320334.61	9992241.03	1620738.48	3409886.24	1729980.52	8877154.79
B	12199739.78	3011805.04	9596506.84	4267162.61	16589143.84	2609882.47	12679544.90	8325235.02	2092605.19	3745368.05	2126914.31	8178322.28
C	12340351.44	12806518.10	8300284.33	6796248.84	26982306.82	17385671.05	15245264.63	18360916.85	24317002.98	37530396.61	8570575.75	2662885.96
D	11070318.80	11389174.52	8913490.56	7992334.41	6958688.10	15099406.39	54924163.46	13407186.28	51534384.52	40461124.92	25454763.42	3603727.35
E	9541127.50	11469473.81	8054853.53	25758189.44	10917374.75	15535662.53	25216451.28	8560438.87	26684551.14	26497471.63	22861283.85	3981828.72
F	10341044.76	9724757.57	9184022.41	12495190.27	8423586.84	3292025.73	17613622.61	9165117.43	25525461.70	26220891.84	15731800.80	3144861.08
G	11532321.77	10668756.77	8098118.71	7509068.25	13765684.69	5485617.34	10238786.88	13237287.94	14586014.96	23236925.84	19077777.41	4680455.00
H	9701591.36	12689142.88	10942771.86	11855658.15	16545475.67	12374563.07	10787431.05	10756766.77	15860602.65	22222199.05	11797749.74	2289508.68
I	27643606.68	33809403.48	151951816.34	81349637.52	29596890.55	9074304.87	11478515.46	72094664.08	13801014.23	34173781.69	8942266.76	3959997.50
J	24074957.51	21673075.94	36013184.69	15255538.79	26967208.70	7847429.40	10463484.78	30906467.28	12682037.64	23737936.77	51875441.11	24221539.03
K	11570118.14	10774569.58	10721888.52	7737233.30	10483089.27	6622473.12	10042310.10	11859953.44	11497741.70	22818350.32	15762441.50	37740474.26
L	6700696.22	5835797.61	3747732.97	3149474.70	6021292.75	3507286.68	4957254.97	4252959.46	7747523.82	24267666.94	19932702.89	52682595.29
M	6772164.21	6926144.92	3939318.13	3824958.59	7004088.67	4344768.53	4949442.10	4379513.13	8268082.28	20528450.09	28980821.85	55433777.99
N	10255071.84	6509393.22	3809300.50	3432357.38	4072573.48	3054723.40	5544352.29	4973710.41	9075269.73	25726755.97	37892468.02	51765357.80
O	5962206.99	8412218.07	4744200.92	4719651.17	7919843.43	10315586.27	6696313.10	4622961.76	9449901.33	24250075.67	26696296.92	18109950.92
P	5275474.14	5770793.87	3575905.02	3821880.09	5374802.97	5117807.56	5982940.40	5523351.87	7977859.61	21427530.01	17892268.17	13754858.83
Q	4549887.66	5240258.10	3005531.01	2290866.52	2504323.49	4586552.40	3723876.87	3425606.19	6069668.40	15168863.99	51458373.11	9478942.32
R	6660078.77	6192036.26	3788636.32	2872817.55	6005072.72	9507751.87	5115334.45	4488539.76	8595232.83	16540328.16	15236156.02	12612776.75
S	6590747.98	11380343.97	7075720.05	9425176.07	11620254.67	11908340.39	8172958.45	8904654.48	13720166.67	28677325.47	14362213.10	11775899.47
T	11968449.50	14381073.67	11640759.82	22225380.83	19618208.51	19281697.02	20570444.12	13288575.92	19806879.48	39070947.47	47912121.04	26015174.63
U	12459237.48	10467301.03	7741173.72	13763108.82	10947270.07	11079101.39	12340863.89	7996311.76	13560649.33	21677014.42	17822018.43	11395140.93
V	12631325.45	14218572.98	9772096.46	27884925.46	14989628.56	6354442.40	14631493.75	7774806.47	10873467.90	24484711.63	40451652.77	11257221.86
W	13607069.89	16898697.82	10512752.32	21665845.45	22945427.24	9694328.50	13811643.13	12649612.03	12226675.15	26774920.01	30042290.07	19798466.19
X	10767399.51	15364342.86	8953789.60	8861444.98	25903383.58	84366536.35	18655816.22	28193283.92	9322195.29	29760032.61	36868340.41	20164949.64
