citation_num,web,mcp_m,mcp_u
1,CM,PM,PM
2,IM,PM,PM
3,NF,PM,PM
4,NF,WP,WP
5,IM,PM,PM
6,WP,PM,PM
7,IM,PM,PM
8,PM,PM,PM
9,WP,PM,PM
10,WP,CM,WP
11,IM,PM,PM
12,IA,PM,PM
13,WP,WP,WP
14,PM,PM,PM
15,NF,PM,PM
16,WP,PM,PM
17,IA,PM,PM
18,CM,PM,PM
19,NF,PM,PM
20,WP,PM,PM
21,WP,WP,WP
22,PM,PM,PM
23,NF,PM,PM
24,IM,PM,PM
25,IM,PM,PM
26,CM,PM,PM
27,NF,PM,PM
28,NF,PM,PM
29,IA,PM,PM
30,IM,PM,PM
31,NF,PM,PM
32,IA,PM,PM
33,IA,PM,PM
34,CM,PM,PM
35,IA,PM,PM
36,PM,WP,WP
37,WP,PM,PM
38,PM,CM,IM
39,WP,PM,PM
40,CM,CM,PM
41,WP,PM,PM
42,PM,PM,PM
43,WP,PM,PM
44,PM,PM,PM
45,WP,WP,WP
46,PM,IM,PM
47,WP,PM,PM
48,WP,WP,WP
49,NF,PM,PM
50,NF,PM,PM
51,NF,PM,PM
52,PM,PM,PM
53,PM,PM,PM
54,NF,PM,PM
55,NF,PM,PM
56,NF,WP,WP
57,PM,PM,PM
58,NF,PM,PM
59,CM,PM,PM
60,NF,CM,WP
61,CM,PM,PM
62,NF,PM,PM
63,IM,PM,PM
64,NF,PM,PM
65,PM,PM,PM
66,CM,PM,PM
67,WP,PM,PM
68,CM,CM,PM
69,PM,PM,PM
70,NF,WP,WP
71,IM,PM,PM
72,PM,PM,PM
73,WP,PM,PM
74,WP,WP,PM
75,PM,PM,PM
76,WP,WP,WP
77,CM,WP,PM
78,WP,WP,WP
79,WP,WP,WP
80,WP,WP,WP
81,IA,PM,PM
82,CM,PM,PM
83,WP,WP,WP
84,IA,PM,PM
85,IA,PM,PM
86,PM,PM,PM
87,CM,PM,PM
88,PM,PM,PM
89,NF,WP,WP
90,PM,PM,PM
91,NF,PM,PM
92,NF,PM,PM
93,WP,WP,PM
94,PM,PM,PM
95,WP,WP,PM
96,PM,PM,PM
97,PM,PM,PM
98,CM,PM,PM
99,PM,PM,PM
100,PM,PM,PM
101,PM,PM,PM
102,CM,WP,WP
103,WP,WP,WP
104,PM,PM,PM
