citation_number,gt_key,control_key,control_cat,v2_key,v2_cat,v3_key,v3_cat
1,DBLP:journals/algorithms/HammadZOG25,Grassi2025,IM,Hammad2025,PM,Grassi2025,PM
2,DBLP:conf/acmrep/ZhengS24,Zheng2024,IM,Zheng2024,PM,Stodden2024,PM
3,DBLP:journals/algorithms/BoiangiuVSTV25,,NF,Boiangiu2025,PM,Voncila2025,PM
4,DBLP:journals/access/VillegasChGS24a,,NF,Villegas2024,WP,SanchezViteri2024,WP
5,DBLP:journals/cluster/ChenLL25,Chen2025a,PM,Chen2025,PM,Li2025,PM
6,DBLP:journals/algorithms/Dronyuk25,Dronyuk2025a,WP,Dronyuk2025,PM,Dronyuk2025,PM
7,DBLP:conf/ei-mlsi/GuoSBGVLAL22,Levine2022,IA,Guo2022,PM,Levine2022,PM
8,DBLP:journals/algorithms/DabekMMVC25,,NF,Dabek2025,PM,Cinquemani2025,PM
9,DBLP:conf/iccai/TangZ22,,NF,Tang2022,PM,Tang2022,PM
10,DBLP:conf/iscas/0002YCC25,,NF,ChenQuantum2025,WP,Chen2025,WP
11,DBLP:journals/algorithms/FengL25,Feng2025,IA,Feng2025,PM,LeoreanuFotea2025,PM
12,DBLP:journals/algorithms/ZuoFLLZZ25,Zhang2025,IM,,NF,Zuo2025,PM
13,DBLP:conf/assets/DuvalVSLW23,Waern2023a,IM,,NF,,NF
14,DBLP:journals/jais/PumplunPGB23,Pumplun2023,IM,Pumplun2023,PM,Buxmann2023,PM
15,DBLP:conf/bigdataconf/ZhengSCKPSMFK24,,NF,,NF,,NF
16,DBLP:journals/algorithms/LuqueHernandezAAG25,GarciaSanchez2025a,WP,MoranteGonzalez2025,WP,GarciaSanchez2025,PM
17,DBLP:journals/algorithms/KarousosPVV25,Thompson2025,IM,Karousos2025,PM,,NF
18,DBLP:journals/algorithms/MariettouKT25,,NF,Mariettou2025,PM,Triantafillou2025,PM
19,DBLP:conf/aaaiss/NirenburgKM23,McShane2023,IM,Nirenburg2023,PM,McShane2023,PM
20,DBLP:journals/cor/UzunogluGT25,Tuma2025,WP,Uzunoglu2025,PM,Tuma2025,PM
21,DBLP:journals/access/GhoshC25,Chaki2025,WP,Daoui2025,WP,Chaki2025,WP
22,DBLP:journals/isj/GhasemaghaeiK25,Ghasemaghaei2024,CM,Ghasemaghaei2025,IM,Ghasemaghaei2025,PM
23,DBLP:journals/access/YeapETY25,,NF,,NF,Yap2025,WP
24,DBLP:conf/icmlt/JonesRM22,Mohd2022,IM,Jones2022,PM,Mohd2022,PM
25,DBLP:journals/almob/CicherskiLD25,Dojer2025,IM,Cicherski2025,PM,Dojer2025,PM
26,DBLP:journals/algorithms/ZhaoTMSL25,,NF,Zhao2025,PM,Lei2025,PM
27,DBLP:journals/eaai/XieTMH25,,NF,Xie2025,PM,Hei2025,PM
28,DBLP:journals/algorithms/Wallace23,,NF,Wallace2023,IM,Wallace2023,PM
29,DBLP:journals/ir/HuXWYZG25,,NF,Hu2025,PM,Gan2025b,WP
30,DBLP:journals/ijhci/HuW24,,NF,HuWang2024,PM,Wang2024,PM
31,DBLP:conf/IEEEscc/AkterSIHKCV23,Voicu2023,IA,Akter2023,PM,Voicu2023b,WP
32,DBLP:journals/algorithms/LoudikiK25,Kchikech2025,IA,Loudiki2025,PM,Kchikech2025,PM
33,DBLP:journals/algorithms/IslamRB25,Islam2025,IA,Islam2025,PM,Islam2025,PM
34,DBLP:journals/algorithms/NassihB25,Nassih2025,IA,Nassih2025,PM,Nassih2025,PM
35,DBLP:journals/algorithms/MaSXW25,Wang2025,IA,MaWang2025,PM,Wang2025,PM
36,DBLP:journals/ijmms/VicenteMFC25,,NF,Natali2025,WP,Cabitza2025,WP
37,DBLP:journals/algorithms/ZhangFFSH25,Hsu2025,PM,Hsu2025,PM,Hsu2025,PM
38,DBLP:conf/ukci/NaikN23a,Naik2023,IM,Naik2023,WP,Naik2023,WP
39,DBLP:conf/icarm/Ji0HCYZWGS24,,NF,Ji2024,PM,Sun2024,PM
40,DBLP:journals/algorithms/ShaoZLFJ25,,NF,Shao2025,PM,,NF
41,DBLP:journals/algorithms/CarcangiuM25,,NF,Carcangiu2025,PM,Carcangiu2025,PM
42,DBLP:journals/algorithms/SittijukPT25,Tamee2025,PM,Tamee2025,PM,Tamee2025,PM
43,DBLP:journals/algorithms/ZhabinetsTLNMK25,Kameyama2025,WP,Zhabinets2025,PM,Kameyama2025,PM
44,DBLP:journals/ijmi/BelstiMDMSET23,,NF,Belsti2023,PM,Teede2023,PM
45,DBLP:conf/isdfs/OzpolatK23,Karabatak2023,WP,Karabatak2023,WP,Karabatak2023,PM
46,DBLP:conf/iui/ChiangY22,,NF,Yin2022,PM,Yin2022,PM
47,DBLP:journals/anor/JiangJCC22,,NF,Chen2022,PM,Chen2022,PM
48,DBLP:journals/algorithms/HamdiKMB25,,NF,Hamdi2025,PM,Belhaouari2025,PM
49,DBLP:journals/idt/SivalingamK25,Kumar2025,IM,Kumar2025,PM,Kumar2025,PM
50,DBLP:journals/aghcs/RajasekarKSPZZ22,,NF,Rajasekar2022,PM,Zogic2022,PM
51,DBLP:journals/jcc/RovenchakD24,Druchok2024,IM,Druchok2024,PM,Druchok2024,PM
52,DBLP:journals/algorithms/ZhaoJ25,Jin2025,PM,Jin2025,PM,Jin2025,PM
53,DBLP:conf/sigcse/MikeR21,RosenbergKima2021,PM,RosenbergKima2021,PM,Rosenberg2021,PM
54,DBLP:journals/gandc/YangTLWGZMX24,,NF,Yang2024,PM,Yang2024,PM
55,DBLP:journals/iet-qtc/DharaAR25,,NF,Dhara2025,PM,Roy2025,PM
56,DBLP:conf/educon/AlatawiBKC25,,NF,Carrion2025,WP,Carrion2025,PM
57,DBLP:journals/algorithms/AzizA22,Aziz2022,IA,Aziz2022,PM,Aziz2022,PM
58,DBLP:conf/kes/Mosqueira-ReyAB21,,NF,BaamondeLozano2021,PM,Baamonde2021,PM
59,DBLP:journals/ton/WangLS23,Shen2023,PM,Wang2023,PM,Shen2023,PM
60,DBLP:journals/algorithmica/OprisLS25,,NF,Opris2025,PM,Opris2025,PM
61,DBLP:journals/software/RaatikainenSRS25,Stirbu2025,PM,Stirbu2025,PM,Stirbu2025,PM
62,DBLP:journals/nca/YaghoubiYKV24,,NF,Vakili2024,WP,Vakili2024,PM
63,DBLP:journals/tmlr/KilianYK23,,NF,Kilian2023,PM,Kelava2023,PM
64,DBLP:journals/algorithms/PanZXPGLLMZL25,Li2025,IA,Li2025,PM,Li2025,PM
65,DBLP:journals/fdata/QayyumIUIQEA20,Qayyum2020,PM,Qayyum2020,PM,Qayyum2020,PM
66,DBLP:conf/cmsc/LehnerL24,Landman2025,CM,Landman2024,PM,Landman2024,PM
67,DBLP:journals/ires/GaohuiWL25,Cao2025,IM,Gaohui2025,PM,Gaohui2025,PM
68,DBLP:journals/tosem/NoeiLZ25,Zou2025,IM,Zou2025,PM,Zou2025,PM
69,DBLP:journals/jamia/SoleyRSXFT25,,NF,Taylor2025,PM,Taylor2025,PM
70,DBLP:journals/dmaa/OzgurUTK25,,NF,Ozgur2025,PM,Kaymak2025,WP
71,DBLP:journals/eaai/ChengW25,,NF,Cheng2025,PM,Waele2025,PM
72,DBLP:journals/access/CapogrossoCCFC24,Capogrosso2024,WP,Capogrosso2024,PM,Capogrosso2024,PM
73,DBLP:journals/algorithms/IfrimO25,,NF,Ifrim2025,PM,Oncioiu2025,PM
74,DBLP:conf/aaaiss/KursuncuGS20,,NF,Gaur2020,WP,Sheth2020,PM
75,DBLP:journals/algorithms/WernerHGV22,Werner2022,IM,Werner2022,PM,Vietor2022,PM
76,DBLP:conf/fat/Benbouzid23,,NF,Touafek2023,WP,Benbouzid2023,WP
77,DBLP:journals/integration/YinLLSDCWLM25,,NF,Zhao2025,WP,Meng2025,WP
78,DBLP:conf/aaaiss/000321,Schmid2021,IM,Schmid2021,PM,Schmid2021,PM
79,DBLP:journals/mta/SakshiK24,,NF,Sakshi2024,PM,Kukreja2024,PM
80,DBLP:journals/ijcisys/MaazalahiH25,,NF,Faraji2025,WP,Hosseini2025a,WP
81,DBLP:journals/eninf/WangJSDL25,Lu2025,WP,Wang2025,PM,Lu2025,PM
82,DBLP:journals/cais/KuhlHBSS21,Kuhl2021,IM,Kuhl2021,PM,Satzger2021,PM
83,DBLP:journals/computing/GhasemiT25,Tejani2025,WP,Bhardwaj2025,WP,Tejani2025,WP
84,DBLP:journals/algorithms/BoschIVS25,TotalOuter2025,IA,Bosch2025,PM,Bosch2025,PM
85,DBLP:journals/algorithms/LiLC25,Cai2025,IA,Li2025,PM,Cai2025,PM
86,DBLP:journals/comsur/OlowononiRL21,Olowononi2021,IM,Olowononi2021,PM,Liu2021,PM
87,DBLP:journals/jss/NtentosWZ25,Warnett2024,WP,Ntentos2025,PM,Zdun2025,PM
88,DBLP:journals/bib/ShenHWZZWYXCH21,,NF,Shen2021,PM,Hou2021,PM
89,DBLP:conf/igarss/GuigalBCVBMM24,Ngom2024,WP,Mallet2024,WP,Mallet2024,PM
90,DBLP:journals/algorithms/PantLR25,Pant2025,IM,Pant2025,PM,Pant2025,PM
91,DBLP:journals/idt/LichodeK25,Lichode2025,IM,Lichode2025,PM,Karmore2025,PM
92,DBLP:journals/access/EssaCH23,,NF,Essa2023,PM,HumanHendricks2023,PM
93,DBLP:journals/cor/LiuHWGZZ25,,NF,Liu2025,PM,Zhang2025,PM
94,DBLP:journals/access/TrojovskaDT22,Trojovsky2022,PM,Trojovska2022,PM,Trojovsky2022,PM
