citation_number,gt_key,control_key,category,reason
1,DBLP:journals/algorithms/HammadZOG25,Grassi2025,IM,missing volume number pages DOI URL
2,DBLP:conf/acmrep/ZhengS24,Zheng2024,IM,missing publisher URL DOI detailed booktitle
3,DBLP:journals/algorithms/BoiangiuVSTV25,,NF,entry not found
4,DBLP:journals/access/VillegasChGS24a,,NF,entry not found
5,DBLP:journals/cluster/ChenLL25,Chen2025a,CM,different DOI (s10878 vs s10586)
6,DBLP:journals/algorithms/Dronyuk25,Dronyuk2025a,WP,different title and journal
7,DBLP:conf/ei-mlsi/GuoSBGVLAL22,Levine2022,IA,3 of 8 authors only
8,DBLP:journals/algorithms/DabekMMVC25,,NF,entry not found
9,DBLP:conf/iccai/TangZ22,,NF,entry not found
10,DBLP:conf/iscas/0002YCC25,,NF,entry not found
11,DBLP:journals/algorithms/FengL25,Feng2025,IM,abbreviated author names missing number URL DOI
12,DBLP:journals/algorithms/ZuoFLLZZ25,Zhang2025,IA,authors missing (no author field)
13,DBLP:conf/assets/DuvalVSLW23,Waern2023a,IM,missing publisher URL DOI detailed booktitle
14,DBLP:journals/jais/PumplunPGB23,Pumplun2023,IM,missing number pages URL
15,DBLP:conf/bigdataconf/ZhengSCKPSMFK24,,NF,entry not found
16,DBLP:journals/algorithms/LuqueHernandezAAG25,GarciaSanchez2025a,WP,different title
17,DBLP:journals/algorithms/KarousosPVV25,Thompson2025,IA,authors missing (Author Unknown)
18,DBLP:journals/algorithms/MariettouKT25,,NF,entry not found
19,DBLP:conf/aaaiss/NirenburgKM23,McShane2023,IM,missing editor series volume publisher URL DOI
20,DBLP:journals/cor/UzunogluGT25,Tuma2025,WP,different title and venue type
21,DBLP:journals/access/GhoshC25,Chaki2025,WP,different title and venue type
22,DBLP:journals/isj/GhasemaghaeiK25,Ghasemaghaei2024,IA,authors truncated (and others)
23,DBLP:journals/access/YeapETY25,,NF,entry not found
24,DBLP:conf/icmlt/JonesRM22,Mohd2022,IM,truncated title missing pages publisher URL
25,DBLP:journals/almob/CicherskiLD25,Dojer2025,IM,missing pages URL DOI
26,DBLP:journals/algorithms/ZhaoTMSL25,,NF,entry not found
27,DBLP:journals/eaai/XieTMH25,,NF,entry not found
28,DBLP:journals/algorithms/Wallace23,,NF,entry not found
29,DBLP:journals/ir/HuXWYZG25,,NF,entry not found
30,DBLP:journals/ijhci/HuW24,,NF,entry not found
31,DBLP:conf/IEEEscc/AkterSIHKCV23,Voicu2023,IA,3 of 7 authors only missing booktitle
32,DBLP:journals/algorithms/LoudikiK25,Kchikech2025,IA,authors truncated (and others)
33,DBLP:journals/algorithms/IslamRB25,Islam2025,IM,abbreviated author names missing DOI URL
34,DBLP:journals/algorithms/NassihB25,Nassih2025,IM,abbreviated author names missing DOI URL
35,DBLP:journals/algorithms/MaSXW25,Wang2025,IM,abbreviated author names missing DOI URL
36,DBLP:journals/ijmms/VicenteMFC25,,NF,entry not found
37,DBLP:journals/algorithms/ZhangFFSH25,Hsu2025,IM,author name abbreviations
38,DBLP:conf/ukci/NaikN23a,Naik2023,CM,wrong pages (545-557 vs 18-28)
39,DBLP:conf/icarm/Ji0HCYZWGS24,,NF,entry not found
40,DBLP:journals/algorithms/ShaoZLFJ25,,NF,entry not found
41,DBLP:journals/algorithms/CarcangiuM25,,NF,entry not found
42,DBLP:journals/algorithms/SittijukPT25,Tamee2025,IM,author name abbreviations
43,DBLP:journals/algorithms/ZhabinetsTLNMK25,Kameyama2025,WP,different paper
44,DBLP:journals/ijmi/BelstiMDMSET23,,NF,entry not found
45,DBLP:conf/isdfs/OzpolatK23,Karabatak2023,WP,different paper
46,DBLP:conf/iui/ChiangY22,,NF,entry not found
47,DBLP:journals/anor/JiangJCC22,,NF,entry not found
48,DBLP:journals/algorithms/HamdiKMB25,,NF,entry not found
49,DBLP:journals/idt/SivalingamK25,Kumar2025,CM,wrong journal name (J Supercomputing vs IDT)
50,DBLP:journals/aghcs/RajasekarKSPZZ22,,NF,entry not found
51,DBLP:journals/jcc/RovenchakD24,Druchok2024,IM,journal abbreviation missing journal number
52,DBLP:journals/algorithms/ZhaoJ25,Jin2025,IM,author name abbreviations
53,DBLP:conf/sigcse/MikeR21,RosenbergKima2021,IM,missing publisher editor DOI URL
54,DBLP:journals/gandc/YangTLWGZMX24,,NF,entry not found
55,DBLP:journals/iet-qtc/DharaAR25,,NF,entry not found
56,DBLP:conf/educon/AlatawiBKC25,,NF,entry not found
57,DBLP:journals/algorithms/AzizA22,Aziz2022,IA,authors truncated (and others)
58,DBLP:conf/kes/Mosqueira-ReyAB21,,NF,entry not found
59,DBLP:journals/ton/WangLS23,Shen2023,IM,journal abbreviation missing DOI URL
60,DBLP:journals/algorithmica/OprisLS25,,NF,entry not found
61,DBLP:journals/software/RaatikainenSRS25,Stirbu2025,IM,journal abbreviation missing DOI URL
62,DBLP:journals/nca/YaghoubiYKV24,,NF,entry not found
63,DBLP:journals/tmlr/KilianYK23,,NF,entry not found
64,DBLP:journals/algorithms/PanZXPGLLMZL25,Li2025,IA,authors listed as Author Unknown
65,DBLP:journals/fdata/QayyumIUIQEA20,Qayyum2020,IM,slight journal name difference missing URL
66,DBLP:conf/cmsc/LehnerL24,Landman2025,CM,wrong year (2025 vs 2024)
67,DBLP:journals/ires/GaohuiWL25,Cao2025,CM,wrong journal number (CoLIS vs 2)
68,DBLP:journals/tosem/NoeiLZ25,Zou2025,IM,journal abbreviation missing pages DOI URL
69,DBLP:journals/jamia/SoleyRSXFT25,,NF,entry not found
70,DBLP:journals/dmaa/OzgurUTK25,,NF,entry not found
71,DBLP:journals/eaai/ChengW25,,NF,entry not found
72,DBLP:journals/access/CapogrossoCCFC24,Capogrosso2024,WP,different DOI different author list
73,DBLP:journals/algorithms/IfrimO25,,NF,entry not found
74,DBLP:conf/aaaiss/KursuncuGS20,,NF,entry not found
75,DBLP:journals/algorithms/WernerHGV22,Werner2022,PM,all core fields match
76,DBLP:conf/fat/Benbouzid23,,NF,entry not found
77,DBLP:journals/integration/YinLLSDCWLM25,,NF,entry not found
78,DBLP:conf/aaaiss/000321,Schmid2021,PM,all core fields match
79,DBLP:journals/mta/SakshiK24,,NF,entry not found
80,DBLP:journals/ijcisys/MaazalahiH25,,NF,entry not found
