origin_country,destination_country,export_value,origin_continent,destination_continent
AGO,NAM,1527.0,Africa,Africa
AGO,SAU,244.0,Africa,Asia
ARE,BEL,1668.0,Asia,Europe
ARE,DEU,2819.0,Asia,Europe
ARE,GBR,51608.0,Asia,Europe
ARE,IND,251860.0,Asia,Asia
ARE,MDV,1541.0,Asia,Asia
ARE,NLD,15328.0,Asia,Europe
ARE,OMN,1508.0,Asia,Asia
ARE,RUS,388258.0,Asia,Europe
ARE,SAU,37600.0,Asia,Asia
ARE,TTO,1939.0,Asia,North America
ARE,TWN,247284.0,Asia,Asia
ARE,ZAF,65803.0,Asia,Africa
AUS,CHN,3866.0,Oceania,Asia
AUS,DEU,3798.0,Oceania,Europe
AUS,EST,10552.0,Oceania,Europe
AUS,IDN,22044.0,Oceania,Asia
AUS,LKA,39804.0,Oceania,Asia
AUS,NZL,4408.0,Oceania,Oceania
AUS,TWN,2438525.0,Oceania,Asia
AUS,USA,22124.0,Oceania,North America
AUT,ARE,11178.0,Europe,Asia
AUT,BEL,10663.0,Europe,Europe
AUT,BGD,8997.0,Europe,Asia
AUT,BGR,36114.0,Europe,Europe
AUT,BRA,1574.0,Europe,South America
AUT,CHE,16674.0,Europe,Europe
AUT,CHN,31461.0,Europe,Asia
AUT,CZE,17019.0,Europe,Europe
AUT,DEU,1456400.0,Europe,Europe
AUT,ESP,241965.0,Europe,Europe
AUT,FIN,3299.0,Europe,Europe
AUT,FRA,57702.0,Europe,Europe
AUT,GBR,239776.0,Europe,Europe
AUT,HUN,144943.0,Europe,Europe
AUT,IND,1753321.0,Europe,Asia
AUT,IRL,62750.0,Europe,Europe
AUT,ITA,19503.0,Europe,Europe
AUT,JPN,5873.0,Europe,Asia
AUT,KOR,10918.0,Europe,Asia
AUT,MOZ,1235.0,Europe,Africa
AUT,NLD,56000.0,Europe,Europe
AUT,NOR,26058.0,Europe,Europe
AUT,NZL,11393.0,Europe,Oceania
AUT,RUS,6998.0,Europe,Europe
AUT,SWE,18965.0,Europe,Europe
AUT,THA,2824.0,Europe,Asia
AUT,TWN,1816.0,Europe,Asia
AUT,USA,131195.0,Europe,North America
BEL,AUS,1181334.0,Europe,Oceania
BEL,AUT,156458.0,Europe,Europe
BEL,BLR,4375.0,Europe,Europe
BEL,CAN,964.0,Europe,North America
BEL,CHE,260138.0,Europe,Europe
