file	num_segments	speech_seconds	num_words	video_seconds
Kino1-2A.1.mpg	49	1.12	101	1516
Kino100.1.mpg	4	275.28	6	705
Kino101.1.mpg	32	0.32	67	803
Kino102.1.mpg	12	1.52	79	654
Kino103.1.mpg	1	0.00	2	756
Kino104.1.mpg	35	47.84	542	575
Kino105.1.mpg	3	0.08	4	854
Kino106.1.mpg	2	67.68	4	876
Kino107.1.mpg	5	1.88	7	662
Kino108.1.mpg	14	77.00	20	680
Kino109.1.mpg	1	9.52	3	469
Kino10A.1.mpg	4	95.60	35	662
Kino10B.1.mpg	3	14.96	22	675
Kino10C.1.mpg	4	0.32	14	550
Kino110.1 Tecknad reklamfilm 1926.mpg	10	98.44	49	624
Kino112.1.mpg	18	12.80	315	539
Kino114.1.mpg	1	21.24	2	798
Kino115.1.mpg	9	108.72	47	559
Kino116.1.mpg	6	0.40	10	820
Kino117.1.mpg	26	35.76	123	955
Kino118.1.mpg	20	74.28	37	936
Kino119.1.mpg	26	47.88	46	765
Kino11A.1.mpg	12	78.32	17	487
Kino11B.1.mpg	2	0.00	3	764
Kino11C.1.mpg	2	0.00	2	697
Kino12.1.mpg	5	2.24	60	544
Kino120.1.mpg	7	10.92	14	786
Kino121.1.mpg	11	13.76	66	780
Kino122.1.mpg	8	0.60	11	669
Kino124.1.mpg	11	1.04	20	679
Kino125.1.mpg	4	0.28	5	607
Kino126.1.mpg	9	5.52	13	609
Kino127.1.mpg	5	177.12	8	657
Kino128.1.mpg	34	32.04	373	807
Kino129B.1.mpg	1	0.00	1	986
Kino131A-B.1.mpg	32	442.52	183	1546
Kino131A.1.mpg	19	215.68	119	861
Kino132.1.mpg	15	12.40	235	758
Kino133.1.mpg	1	4.28	1	430
Kino134.1.mpg	12	1.36	85	823
Kino136.1.mpg	2	15.72	5	430
Kino139.1.mpg	42	67.44	427	855
Kino13C.1.mpg	2	0.00	4	578
Kino140.1.mpg	8	1.56	25	926
Kino141.1.mpg	1	2.04	6	327
Kino142A.1.mpg	1	13.40	5	791
Kino142B.1.mpg	1	24.80	5	676
Kino143A.1.mpg	10	11.36	133	612
Kino143B.1.mpg	17	10.84	214	836
Kino143C.1.mpg	20	63.56	328	846
Kino143D.1.mpg	3	0.44	6	271
Kino143E.1.mpg	1	0.00	1	703
Kino143F.1.mpg	5	0.16	39	626
Kino144A-E.1.mpg	138	38.00	2446	5245
Kino145.1.mpg	40	44.20	662	855
Kino147A.1.mpg	40	44.20	647	855
Kino147B.1.mpg	15	5.24	32	581
Kino148.1.mpg	12	0.12	22	783
Kino15.1.mpg	26	31.04	298	627
Kino150.1.mpg	16	60.80	39	749
Kino151.1.mpg	3	0.04	5	740
Kino152.1.mpg	14	0.24	23	973
Kino153B.1.mpg	19	23.08	38	851
Kino154.1.mpg	2	0.68	2	115
Kino155A.1.mpg	14	22.52	44	620
Kino155B.1.mpg	32	3.60	85	585
Kino156.1.mpg	5	0.16	13	794
Kino157.1.mpg	10	0.44	18	1124
Kino158.1.mpg	19	11.80	133	929
Kino159.1.mpg	5	2.24	42	654
Kino16.1.mpg	3	8.92	4	602
Kino162A.1.mpg	15	0.08	29	715
Kino162B.1.mpg	11	494.20	19	563
