adapter_type,spark_type,spark_version,is_complex,cast_expression,notes
STRING,StringType,all,false,,Variable-length string
VARCHAR,StringType,all,false,,Variable-length string (alias)
CHAR,StringType,all,false,,Fixed-length string
BINARY,BinaryType,all,false,,Binary data
TINYINT,ByteType,all,false,,8-bit signed integer
BYTE,ByteType,all,false,,Alias for TINYINT
SMALLINT,ShortType,all,false,,16-bit signed integer
SHORT,ShortType,all,false,,Alias for SMALLINT
INT,IntegerType,all,false,,32-bit signed integer
INTEGER,IntegerType,all,false,,Alias for INT
BIGINT,LongType,all,false,,64-bit signed integer
LONG,LongType,all,false,,Alias for BIGINT
FLOAT,FloatType,all,false,,32-bit floating point
REAL,FloatType,all,false,,Alias for FLOAT
DOUBLE,DoubleType,all,false,,64-bit floating point
DECIMAL,DecimalType,all,false,,Exact numeric with precision
DEC,DecimalType,all,false,,Alias for DECIMAL
NUMERIC,DecimalType,all,false,,Alias for DECIMAL
BOOLEAN,BooleanType,all,false,,True/false value
DATE,DateType,all,false,,Calendar date
TIMESTAMP,TimestampType,all,false,,Timestamp without timezone
TIMESTAMP_NTZ,TimestampType,all,false,,Timestamp no timezone (explicit)
TIMESTAMP_LTZ,TimestampType,all,false,,Timestamp with local timezone
INTERVAL,StringType,all,false,,Time interval
ARRAY,ArrayType,all,true,,Array of elements
MAP,MapType,all,true,TO_JSON({}),Key-value pairs
STRUCT,StringType,all,true,TO_JSON({}),Structured record
VARIANT,StringType,all,true,TO_JSON({}),Semi-structured (Unity Catalog)
OBJECT,StringType,all,true,TO_JSON({}),Object type (Unity Catalog)
