index,key,title,year,venue,type
1,journals/algorithms/HammadZOG25,Fractional Discrete Computer Virus System: Chaos and Complexity Algorithms.,2025,Algorithms,Journal Articles
2,conf/acmrep/ZhengS24,The Idealized Machine Learning Pipeline (IMLP) for Advancing Reproducibility in Machine Learning.,2024,ACM-REP,Conference and Workshop Papers
3,journals/algorithms/BoiangiuVSTV25,A Novel Connected-Components Algorithm for 2D Binarized Images.,2025,Algorithms,Journal Articles
4,journals/access/VillegasChGS24a,Personalization of Learning: Machine Learning Models for Adapting Educational Content to Individual Learning Styles.,2024,IEEE Access,Journal Articles
5,journals/cluster/ChenLL25,3-Path Vertex Cover Problem based on the Variable Neighborhood Search algorithm and the Artificial Bee Colony algorithm.,2025,Clust. Comput.,Journal Articles
6,journals/algorithms/Dronyuk25,Algorithms for Calculating Generalized Trigonometric Functions.,2025,Algorithms,Journal Articles
7,conf/ei-mlsi/GuoSBGVLAL22,Advantage of Machine Learning over Maximum Likelihood in Limited-Angle Low-Photon X-Ray Tomography.,2022,Machine Learning for Scientific Imaging,Conference and Workshop Papers
8,journals/algorithms/DabekMMVC25,Advancements in Non-Destructive Detection of Biochemical Traits in Plants Through Spectral Imaging-Based Algorithms: A Systematic Review.,2025,Algorithms,Journal Articles
9,conf/iccai/TangZ22,An Adaptive Feature Recognition Algorithm and Its Hardware Accelerator for Arc Fault Recognition: The hardware accelerator of the algorithm is improved from the discrete wavelet transform algorithm and is used for power grid arc fault detection.,2022,ICCAI,Conference and Workshop Papers
10,conf/iscas/0002YCC25,Quantum Machine Learning: An Interplay Between Quantum Computing and Machine Learning.,2025,ISCAS,Conference and Workshop Papers
11,journals/algorithms/FengL25,Algorithm for Determining the Strong Fuzzy Grade of a Hypergroup.,2025,Algorithms,Journal Articles
12,journals/algorithms/ZuoFLLZZ25,Parallel CUDA-Based Optimization of the Intersection Calculation Process in the Greiner-Hormann Algorithm.,2025,Algorithms,Journal Articles
