index,key,title,year,type,author
1,journals/algorithms/HammadZOG25,"Fractional Discrete Computer Virus System: Chaos and Complexity Algorithms",2025,Journal Articles,"Ma'mon Abu Hammad and
                  Imane Zouak and
                  Adel Ouannas and
                  Giuseppe Grassi"
2,conf/acmrep/ZhengS24,"The Idealized Machine Learning Pipeline {(IMLP)",2024,Conference and Workshop Papers,"Yantong Zheng and
                  Victoria Stodden"
3,journals/algorithms/BoiangiuVSTV25,"A Novel Connected-Components Algorithm for 2D Binarized Images",2025,Journal Articles,"Costin{-"
4,journals/access/VillegasChGS24a,"Personalization of Learning: Machine Learning Models for Adapting
                  Educational Content to Individual Learning Styles",2024,Journal Articles,"William Eduardo Villegas{-"
5,journals/cluster/ChenLL25,"3-Path Vertex Cover Problem based on the Variable Neighborhood Search
                  algorithm and the Artificial Bee Colony algorithm",2025,Journal Articles,"Jingrong Chen and
                  Yange Li and
                  Xue Li"
6,journals/algorithms/Dronyuk25,"Algorithms for Calculating Generalized Trigonometric Functions",2025,Journal Articles,"Ivanna Dronyuk"
7,conf/ei-mlsi/GuoSBGVLAL22,"Advantage of Machine Learning over Maximum Likelihood in Limited-Angle
                  Low-Photon X-Ray Tomography",2022,Conference and Workshop Papers,"Zhen Guo and
                  Jung Ki Song and
                  George Barbastathis and
                  Michael E. Glinsky and
                  Courtenay T. Vaughan and
                  Kurt W. Larson and
                  Bradley K. Alpert and
                  Zachary H. Levine"
8,journals/algorithms/DabekMMVC25,"Advancements in Non-Destructive Detection of Biochemical Traits in
                  Plants Through Spectral Imaging-Based Algorithms: {A",2025,Journal Articles,"Aleksander Dabek and
                  Lorenzo Mantovani and
                  Susanna Mirabella and
                  Michele Vignati and
                  Simone Cinquemani"
9,conf/iccai/TangZ22,"An Adaptive Feature Recognition Algorithm and Its Hardware Accelerator
                  for Arc Fault Recognition: The hardware accelerator of the algorithm
                  is improved from the discrete wavelet transform algorithm and is used
                  for power grid arc fault detection",2022,Conference and Workshop Papers,"Junfei Tang and
                  Luming Zhang"
10,conf/iscas/0002YCC25,"Quantum Machine Learning: An Interplay Between Quantum Computing and
                  Machine Learning",2025,Conference and Workshop Papers,"Jun Qi and
                  Chao{-"
11,journals/algorithms/FengL25,"Algorithm for Determining the Strong Fuzzy Grade of a Hypergroup",2025,Journal Articles,"Yuming Feng and
                  Violeta Leoreanu{-"
12,journals/algorithms/ZuoFLLZZ25,"Parallel CUDA-Based Optimization of the Intersection Calculation Process
                  in the Greiner-Hormann Algorithm",2025,Journal Articles,"Jiwei Zuo and
                  Junfu Fan and
                  Kuan Li and
                  Qingyun Liu and
                  Yuke Zhou and
                  Yi Zhang"
13,conf/assets/DuvalVSLW23,"Reimagining Machine Learning's Role in Assistive Technology by Co-Designing
                  Exergames with Children Using a Participatory Machine Learning Design
                  Probe",2023,Conference and Workshop Papers,"Jared Duval and
                  Laia Turmo Vidal and
                  Elena M{\'{a"
14,journals/jais/PumplunPGB23,"Bringing Machine Learning Systems into Clinical Practice: {A",2023,Journal Articles,"Luisa Pumplun and
                  Felix Peters and
                  Joshua F. Gawlitza and
                  Peter Buxmann"
15,conf/bigdataconf/ZhengSCKPSMFK24,"Model and Data Management for Machine Learning {(M2ML):",2024,Conference and Workshop Papers,"Weijian Zheng and
                  Hemant Sharma and
                  Ryan Chard and
                  Peter Kenesei and
                  Jun{-"
16,journals/algorithms/LuqueHernandezAAG25,"A Comparison of Energy Consumption and Quality of Solutions in Evolutionary
                  Algorithms",2025,Journal Articles,"Francisco Javier Luque{-"
17,journals/algorithms/KarousosPVV25,"Assigning Candidate Tutors to Modules: {A",2025,Journal Articles,"Nikos Karousos and
                  Despoina Pantazi and
                  George Vorvilas and
                  Vassilios S. Verykios"
18,journals/algorithms/MariettouKT25,"Artificial Intelligence and Algorithmic Approaches of Health Security
                  Systems: {A",2025,Journal Articles,"Savina Mariettou and
                  Constantinos Koutsojannis and
                  Vassilios Triantafillou"
19,conf/aaaiss/NirenburgKM23,"Hybrid Machine Learning/Knowledge Base Systems Learning through Natural
                  Language Dialogue with Deep Learning Models",2023,Conference and Workshop Papers,"Sergei Nirenburg and
                  Nikhil Krishnaswamy and
                  Marjorie McShane"
20,journals/cor/UzunogluGT25,"Machine Learning based Algorithm Selection and Genetic Algorithms
                  for serial-batch scheduling",2025,Journal Articles,"Aykut Uzunoglu and
                  Christian Gahm and
                  Axel Tuma"
21,journals/access/GhoshC25,"Fuzzy Enhanced Kidney Tumor Detection: Integrating Machine Learning
                  Operations for a Fusion of Twin Transferable Network and Weighted
                  Ensemble Machine Learning Classifier",2025,Journal Articles,"Ananya Ghosh and
                  Jyotismita Chaki"
22,journals/isj/GhasemaghaeiK25,"Ethics in the Age of Algorithms: Unravelling the Impact of Algorithmic
                  Unfairness on Data Analytics Recommendation Acceptance",2025,Journal Articles,"Maryam Ghasemaghaei and
                  Nima Kordzadeh"
23,journals/access/YeapETY25,"Neighboring Predictive Gradient Spatio-Temporal Sequencing Algorithm:
                  An Object Sequencing Algorithm for Logical Ordering of Sparse Object
                  Detections",2025,Journal Articles,"Herrick Han Lin Yeap and
                  Kok Seng Eu and
                  Tee Hean Tan and
                  Kian Meng Yap"
24,conf/icmlt/JonesRM22,"Machine Learning in Textual Criticism: An examination of the performance
                  of supervised machine learning algorithms in reconstructing the text
                  of the Greek New Testament",2022,Conference and Workshop Papers,"Mason Jones and
                  Francesco Romano and
                  Abidalrahman Mohd"
25,journals/almob/CicherskiLD25,"AlfaPang: alignment free algorithm for pangenome graph construction",2025,Journal Articles,"Adam Cicherski and
                  Anna Lisiecka and
                  Norbert Dojer"
26,journals/algorithms/ZhaoTMSL25,"An Adaptive Rapidly-Exploring Random Trees Algorithm Based on Cross-Entropy
                  Optimization",2025,Journal Articles,"Duo Zhao and
                  Qichao Tang and
                  Lei Ma and
                  Yongkui Sun and
                  Jieyu Lei"
27,journals/eaai/XieTMH25,"Multi-objective decision-making method for road network-level maintenance
                  plans based on Hadamard product and non-dominated sorting genetic
                  Algorithm-III algorithm",2025,Journal Articles,"Zhiwei Xie and
                  Zheng Tong and
                  Tao Ma and
                  Tianqing Hei"
28,journals/algorithms/Wallace23,"Testing a New ""Decrypted"" Algorithm for Plantower Sensors Measuring
                  {PM2.5:",2023,Journal Articles,"Lance Wallace"
29,journals/ir/HuXWYZG25,"Framework design and empirical analysis of intelligent scheduling
                  system for high-altitude photovoltaic power generation based on mixed
                  optimization of long-nosed raccoon optimization algorithm and black
                  winged kite optimization algorithm {(COA-BKA)",2025,Journal Articles,"Heng Hu and
                  Xiaoming Xiong and
                  Shuang Wang and
                  Taidong Yan and
                  Yuancheng Zhang and
                  Shuang Gan"
30,journals/ijhci/HuW24,"Familiarity Breeds Trust? The Relationship between Dating App Use
                  and Trust in Dating Algorithms via Algorithm Awareness and Critical
                  Algorithm Perceptions",2024,Journal Articles,"Junwen Hu and
                  Rui Wang"
31,conf/IEEEscc/AkterSIHKCV23,"Exploring the Vulnerabilities of Machine Learning and Quantum Machine
                  Learning to Adversarial Attacks Using a Malware Dataset: {A",2023,Conference and Workshop Papers,"Mst. Shapna Akter and
                  Hossain Shahriar and
                  Iysa Iqbal and
                  Md Faruque Hossain and
                  M. A. Karim and
                  Victor Clincy and
                  Razvan Voicu"
32,journals/algorithms/LoudikiK25,"A New Algorithm for Computing the Distance and the Diameter in Circulant
                  Graphs",2025,Journal Articles,"Laila Loudiki and
                  Mustapha Kchikech"
33,journals/algorithms/IslamRB25,"Marine Predators Algorithm-Based Robust Composite Controller for Enhanced
                  Power Sharing and Real-Time Voltage Stability in {DC-AC",2025,Journal Articles,"Md Saiful Islam and
                  Tushar Kanti Roy and
                  Israt Jahan Bushra"
34,journals/algorithms/NassihB25,"Breast Cancer Classification Using an Adapted Bump-Hunting Algorithm",2025,Journal Articles,"Rym Nassih and
                  Abdelaziz Berrado"
35,journals/algorithms/MaSXW25,"A Linear Regression Prediction-Based Dynamic Multi-Objective Evolutionary
                  Algorithm with Correlations of Pareto Front Points",2025,Journal Articles,"Junxia Ma and
                  Yongxuan Sang and
                  Yaoli Xu and
                  Bo Wang"
36,journals/ijmms/VicenteMFC25,"Machine learning systems as mentors in human learning: {A",2025,Journal Articles,"Lucia Vicente and
                  Helena Matute and
                  Caterina Fregosi and
                  Federico Cabitza"
37,journals/algorithms/ZhangFFSH25,"A Hair Drawing Evaluation Algorithm for Exactness Assessment Method
                  in Portrait Drawing Learning Assistant System",2025,Journal Articles,"Yue Zhang and
                  Nobuo Funabiki and
                  Erita Cicilia Febrianti and
                  Amang Sudarsono and
                  Chen{-"
38,conf/ukci/NaikN23a,"The Changing Landscape of Machine Learning: {A",2023,Conference and Workshop Papers,"Dishita Naik and
                  Nitin Naik"
39,conf/icarm/Ji0HCYZWGS24,"Hybrid Algorithm Research Based on Improved Genetic Algorithm and
                  Auction Algorithm for AUVs Task Allocation",2024,Conference and Workshop Papers,"Guanfeng Ji and
                  Zhuo Zhang and
                  Guan Huang and
                  Rongxin Cui and
                  Weisheng Yan and
                  Shouxu Zhang and
                  Yintao Wang and
                  Xinxin Guo and
                  Qi Sun"
40,journals/algorithms/ShaoZLFJ25,"SA-Net: Leveraging Spatial Correlations Spatial-Aware Net for Multi-Perspective
                  Robust Estimation Algorithm",2025,Journal Articles,"Yuxiang Shao and
                  Longyang Zhou and
                  Xiang Li and
                  Chunsheng Feng and
                  Xinyu Jin"
41,journals/algorithms/CarcangiuM25,"A Training Algorithm for Locally Recurrent Neural Networks Based on
                  the Explicit Gradient of the Loss Function",2025,Journal Articles,"Sara Carcangiu and
                  Augusto Montisci"
42,journals/algorithms/SittijukPT25,"Robust Client Selection Strategy Using an Improved Federated Random
                  High Local Performance Algorithm to Address High Non-IID Challenges",2025,Journal Articles,"Pramote Sittijuk and
                  Narin Petrot and
                  Kreangsak Tamee"
43,journals/algorithms/ZhabinetsTLNMK25,"Synthetic Data-Based Algorithm Selection for Medical Image Classification
                  Under Limited Data Availability",2025,Journal Articles,"Maxim Zhabinets and
                  Benjamin Tyler and
                  Martin Lukac and
                  Shinobu Nagayama and
                  Ferdinand Moln{\'{a"
44,journals/ijmi/BelstiMDMSET23,"Comparison of machine learning and conventional logistic regression-based
                  prediction models for gestational diabetes in an ethnically diverse
                  population; the Monash {GDM",2023,Journal Articles,"Yitayeh Belsti and
                  Lisa Moran and
                  Lan Du and
                  Aya Mousa and
                  Kushan De Silva and
                  Joanne Enticott and
                  Helena Teede"
45,conf/isdfs/OzpolatK23,"Exploring the Potential of Quantum-Based Machine Learning: {A",2023,Conference and Workshop Papers,"Zeynep Ozpolat and
                  Murat Karabatak"
46,conf/iui/ChiangY22,"Exploring the Effects of Machine Learning Literacy Interventions on
                  Laypeople's Reliance on Machine Learning Models",2022,Conference and Workshop Papers,"Chun{-"
47,journals/anor/JiangJCC22,"The two-stage machine learning ensemble models for stock price prediction
                  by combining mode decomposition, extreme learning machine and improved
                  harmony search algorithm",2022,Journal Articles,"Manrui Jiang and
                  Lifen Jia and
                  Zhensong Chen and
                  Wei Chen"
48,journals/algorithms/HamdiKMB25,"Comparative Analysis of Artificial Neural Networks and Evolutionary
                  Algorithms in DEA-{\(\beta\)",2025,Journal Articles,"Abdelouahed Hamdi and
                  Arezou Karimi and
                  Farshid Mehrdoust and
                  Samir Brahim Belhaouari"
49,journals/idt/SivalingamK25,"Pufferfish: Cost-aware based task scheduling algorithm using pufferfish
                  optimization algorithm in cloud computing",2025,Journal Articles,"Saravanan Madderi Sivalingam and
                  P. Pavan Kumar"
50,journals/aghcs/RajasekarKSPZZ22,"Ensemble Machine Learning Methods to Predict the Balancing of Ayurvedic
                  Constituents in the Human Body Ensemble Machine Learning Methods to
                  Predict",2022,Journal Articles,"Vani Rajasekar and
                  Sathya Krishnamoorthi and
                  Muzafer Saracevic and
                  Dzenis Pepic and
                  Mahir Zajmovic and
                  Haris Zogic"
51,journals/jcc/RovenchakD24,"Machine learning-assisted search for novel coagulants: When machine
                  learning can be efficient even if data availability is low",2024,Journal Articles,"Andrij A. Rovenchak and
                  Maksym Druchok"
52,journals/algorithms/ZhaoJ25,"{HIPACO:",2025,Journal Articles,"Yiying Zhao and
                  Baohua Jin"
53,conf/sigcse/MikeR21,"Teaching Machine Learning to Computer Science Preservice Teachers:
                  Human vs. Machine Learning",2021,Conference and Workshop Papers,"Koby Mike and
                  Rinat B. Rosenberg{-"
54,journals/gandc/YangTLWGZMX24,"Sample size effects on landslide susceptibility models: {A",2024,Journal Articles,"Shilong Yang and
                  Jiayao Tan and
                  Danyuan Luo and
                  Yuzhou Wang and
                  Xu Guo and
                  Qiuyu Zhu and
                  Chuanming Ma and
                  Hanxiang Xiong"
55,journals/iet-qtc/DharaAR25,"Beamforming optimization via quantum algorithms using Variational
                  Quantum Eigensolver and Quantum Approximate Optimization Algorithm",2025,Journal Articles,"Bidisha Dhara and
                  Monika Agrawal and
                  Sumantra Dutta Roy"
56,conf/educon/AlatawiBKC25,"Interactive Visual Learning in Machine Learning: {A",2025,Conference and Workshop Papers,"Areej Alatawi and
                  Ebru Burcu and
                  Dimitris Kalogiros and
                  Jes{\'{u"
57,journals/algorithms/AzizA22,"Pendulum Search Algorithm: An Optimization Algorithm Based on Simple
                  Harmonic Motion and Its Application for a Vaccine Distribution Problem",2022,Journal Articles,"Nor Azlina Bt Ab. Aziz and
                  Kamarulzaman Ab. Aziz"
