index,key,title,year,venue,type,year_int
1,journals/algorithms/HammadZOG25,Fractional Discrete Computer Virus System: Chaos and Complexity Algorithms.,2025,Algorithms,Journal Articles,2025.0
2,conf/acmrep/ZhengS24,The Idealized Machine Learning Pipeline (IMLP) for Advancing Reproducibility in Machine Learning.,2024,ACM-REP,Conference and Workshop Papers,
3,journals/algorithms/Dronyuk25,Algorithms for Calculating Generalized Trigonometric Functions.,2025,Algorithms,Journal Articles,2025.0
4,conf/ei-mlsi/GuoSBGVLAL22,Advantage of Machine Learning over Maximum Likelihood in Limited-Angle Low-Photon X-Ray Tomography.,2022,Machine Learning for Scientific Imaging,Conference and Workshop Papers,
5,journals/algorithms/DabekMMVC25,Advancements in Non-Destructive Detection of Biochemical Traits in Plants Through Spectral Imaging-Based Algorithms: A Systematic Review.,2025,Algorithms,Journal Articles,2025.0
6,conf/iccai/TangZ22,An Adaptive Feature Recognition Algorithm and Its Hardware Accelerator for Arc Fault Recognition: The hardware accelerator of the algorithm is improved from the discrete wavelet transform algorithm and is used for power grid arc fault detection.,2022,ICCAI,Conference and Workshop Papers,
7,conf/iscas/0002YCC25,Quantum Machine Learning: An Interplay Between Quantum Computing and Machine Learning.,2025,ISCAS,Conference and Workshop Papers,
8,conf/assets/DuvalVSLW23,Reimagining Machine Learning&apos;s Role in Assistive Technology by Co-Designing Exergames with Children Using a Participatory Machine Learning Design Probe.,2023,ASSETS,Conference and Workshop Papers,
9,conf/bigdataconf/ZhengSCKPSMFK24,"Model and Data Management for Machine Learning (M2ML): Integrating Instruments, Edge and HPC for Accelerated Machine Learning.",2024,IEEE Big Data,Conference and Workshop Papers,
10,journals/algorithms/LuqueHernandezAAG25,A Comparison of Energy Consumption and Quality of Solutions in Evolutionary Algorithms.,2025,Algorithms,Journal Articles,2025.0
11,journals/algorithms/KarousosPVV25,Assigning Candidate Tutors to Modules: A Preference Adjustment Matching Algorithm (PAMA).,2025,Algorithms,Journal Articles,2025.0
12,conf/aaaiss/NirenburgKM23,Hybrid Machine Learning/Knowledge Base Systems Learning through Natural Language Dialogue with Deep Learning Models.,2023,AAAI Spring Symposium - MAKE,Conference and Workshop Papers,
13,journals/cor/UzunogluGT25,Machine Learning based Algorithm Selection and Genetic Algorithms for serial-batch scheduling.,2025,Comput. Oper. Res.,Journal Articles,2025.0
14,conf/icmlt/JonesRM22,Machine Learning in Textual Criticism: An examination of the performance of supervised machine learning algorithms in reconstructing the text of the Greek New Testament.,2022,ICMLT,Conference and Workshop Papers,
15,journals/eaai/XieTMH25,Multi-objective decision-making method for road network-level maintenance plans based on Hadamard product and non-dominated sorting genetic Algorithm-III algorithm.,2025,Eng. Appl. Artif. Intell.,Journal Articles,2025.0
16,conf/IEEEscc/AkterSIHKCV23,Exploring the Vulnerabilities of Machine Learning and Quantum Machine Learning to Adversarial Attacks Using a Malware Dataset: A Comparative Analysis.,2023,SSE,Conference and Workshop Papers,
17,journals/algorithms/LoudikiK25,A New Algorithm for Computing the Distance and the Diameter in Circulant Graphs.,2025,Algorithms,Journal Articles,2025.0
18,conf/ukci/NaikN23a,"The Changing Landscape of Machine Learning: A Comparative Analysis of Centralized Machine Learning, Distributed Machine Learning and Federated Machine Learning.",2023,UKCI,Conference and Workshop Papers,
19,conf/icarm/Ji0HCYZWGS24,Hybrid Algorithm Research Based on Improved Genetic Algorithm and Auction Algorithm for AUVs Task Allocation.,2024,ICARM,Conference and Workshop Papers,
20,journals/algorithms/ShaoZLFJ25,SA-Net: Leveraging Spatial Correlations Spatial-Aware Net for Multi-Perspective Robust Estimation Algorithm.,2025,Algorithms,Journal Articles,2025.0
21,journals/algorithms/SittijukPT25,Robust Client Selection Strategy Using an Improved Federated Random High Local Performance Algorithm to Address High Non-IID Challenges.,2025,Algorithms,Journal Articles,2025.0
22,journals/algorithms/ZhabinetsTLNMK25,Synthetic Data-Based Algorithm Selection for Medical Image Classification Under Limited Data Availability.,2025,Algorithms,Journal Articles,2025.0
23,conf/isdfs/OzpolatK23,Exploring the Potential of Quantum-Based Machine Learning: A Comparative Study of QSVM and Classical Machine Learning Algorithms.,2023,ISDFS,Conference and Workshop Papers,
24,conf/iui/ChiangY22,Exploring the Effects of Machine Learning Literacy Interventions on Laypeople&apos;s Reliance on Machine Learning Models.,2022,IUI,Conference and Workshop Papers,
25,journals/anor/JiangJCC22,"The two-stage machine learning ensemble models for stock price prediction by combining mode decomposition, extreme learning machine and improved harmony search algorithm.",2022,Ann. Oper. Res.,Journal Articles,2022.0
26,journals/idt/SivalingamK25,Pufferfish: Cost-aware based task scheduling algorithm using pufferfish optimization algorithm in cloud computing.,2025,Intell. Decis. Technol.,Journal Articles,2025.0
27,conf/sigcse/MikeR21,Teaching Machine Learning to Computer Science Preservice Teachers: Human vs. Machine Learning.,2021,SIGCSE,Conference and Workshop Papers,
