pipeline_index;inlet_index;outlet_index;diameter_m;length_m;friction_method;is_bothDirection;max_cap_M_m3_per_d;max_pressure_bar;remarks
1;37;31;1;271656.465;chen;;;;
2;52;14;1;127442.057;chen;;;;
3;57;18;1;81164.926;chen;;;;
4;59;16;1;92434.221;chen;;;;
5;60;12;1;72928.457;chen;;;;
6;71;31;1;355903.497;chen;;;;
7;72;31;1;206287.413;chen;;;;
8;75;1;1;148086.916;chen;;;;
9;78;3;1;97324.795;chen;;;;
10;81;10;1;126185.506;chen;;;;
11;34;41;1;489615.577;chen;;;;
12;35;41;1;381187.937;chen;;;;
13;36;38;1;143810.838;chen;;;;
14;37;39;1;324992.648;chen;;;;
15;37;41;1;264944.15;chen;;;;
16;38;40;1;43386.312;chen;;;;
17;40;43;1;353906.841;chen;;;;
18;40;66;1;298979.638;chen;;;;
19;42;44;1;287923.331;chen;;;;
20;42;46;1;105379.62;chen;;;;
21;42;48;1;175405.506;chen;;;;
22;43;45;1;319503.107;chen;;;;
23;44;55;1;322142.583;chen;;;;
24;45;50;1;489163.465;chen;;;;
25;46;49;1;185509.736;chen;;;;
26;47;49;1;261257.475;chen;;;;
27;51;52;1;126030.831;chen;;;;
28;51;58;1;267143.449;chen;;;;
29;53;54;1;188235.472;chen;;;;
30;53;55;1;159167.43;chen;;;;
31;53;56;1;159033.696;chen;;;;
32;56;57;1;79146.115;chen;;;;
33;60;61;1;124789.012;chen;;;;
34;60;62;1;186349.593;chen;;;;
35;63;65;1;204108.288;chen;;;;
36;64;67;1;248809.357;chen;;;;
37;64;68;1;229956.753;chen;;;;
38;64;80;1;262952.976;chen;;;;
39;65;69;1;97249.109;chen;;;;
40;66;67;1;233794.661;chen;;;;
41;68;76;1;237233.184;chen;;;;
42;68;77;1;184731.276;chen;;;;
43;69;78;1;77927.577;chen;;;;
44;70;72;1;295734.285;chen;;;;
45;73;74;1;166136.192;chen;;;;
46;74;75;1;245806.405;chen;;;;
47;76;78;1;107780.908;chen;;;;
48;79;81;1;235119.504;chen;;;;
49;1;2;1;272631.0612;chen;;;;
50;2;5;1;142101.3687;chen;;;;
51;5;7;1;157012.7769;chen;;;;
52;5;4;1;158946.1913;chen;;;;
54;9;8;1;102522.4731;chen;;;;
55;9;11;1;476856.1716;chen;;;;
56;3;2;1;164037.5248;chen;;;;
57;7;6;1;134654.0778;chen;;;;
58;11;13;1;622483.8001;chen;;;;
60;12;13;1;162344.3805;chen;;;;
61;15;17;1;323373.7088;chen;;;;
62;17;19;1;246593.858;chen;;;;
63;16;17;1;118431.4856;chen;;;;
65;21;23;1;127944.0869;chen;;;;
66;21;20;1;177567.6985;chen;;;;
69;25;24;1;174561.4909;chen;;;;
71;29;30;1;378243.8414;chen;;;;
72;29;28;1;133850.7036;chen;;;;
73;27;26;1;82281.38954;chen;;;;
74;23;22;1;165557.7675;chen;;;;
75;18;19;1;153106.7055;chen;;;;
76;14;15;1;162074.228;chen;;;;
77;10;11;1;140299.0321;chen;;;;
79;32;33;1;1096428.0;chen;;;;
80;7;82;1;96234.50365;chen;;;;Segment 1 from original pipeline 53
81;83;9;1;96234.50365;chen;;;;Final segment from original pipeline 53
82;13;84;1;234226.0903;chen;;;;Segment 1 from original pipeline 59
83;85;15;1;234226.0903;chen;;;;Final segment from original pipeline 59
84;19;86;1;116860.5831;chen;;;;Segment 1 from original pipeline 64
85;87;21;1;116860.5831;chen;;;;Final segment from original pipeline 64
86;23;88;1;245790.59183333334;chen;;;;Segment 1 from original pipeline 67
87;89;90;1;245790.59183333334;chen;;;;Segment 2 from original pipeline 67
88;91;25;1;245790.59183333334;chen;;;;Final segment from original pipeline 67
89;25;92;1;338525.2253333333;chen;;;;Segment 1 from original pipeline 68
90;93;94;1;338525.2253333333;chen;;;;Segment 2 from original pipeline 68
91;95;27;1;338525.2253333333;chen;;;;Final segment from original pipeline 68
92;27;96;1;297366.0185;chen;;;;Segment 1 from original pipeline 70
93;97;98;1;297366.0185;chen;;;;Segment 2 from original pipeline 70
94;99;29;1;297366.0185;chen;;;;Final segment from original pipeline 70
95;31;100;1;398166.6666666667;chen;;;;Segment 1 from original pipeline 78
96;101;102;1;398166.6666666667;chen;;;;Segment 2 from original pipeline 78
97;103;104;1;398166.6666666667;chen;;;;Segment 3 from original pipeline 78
98;105;106;1;398166.6666666667;chen;;;;Segment 4 from original pipeline 78
99;107;108;1;398166.6666666667;chen;;;;Segment 5 from original pipeline 78
100;109;32;1;398166.6666666667;chen;;;;Final segment from original pipeline 78
