citation_num,web,mcp_m,mcp_u
1,IA,PM,PM
2,PM,PM,PM
3,NF,PM,PM
4,NF,WP,WP
5,IM,PM,PM
6,WP,PM,PM
7,IM,PM,PM
8,CM,PM,PM
9,WP,PM,PM
10,WP,WP,WP
11,CM,PM,PM
12,IA,PM,PM
13,WP,WP,WP
14,PM,PM,PM
15,NF,PM,PM
16,WP,PM,PM
17,IA,PM,PM
18,CM,PM,PM
19,NF,PM,PM
20,WP,PM,PM
21,WP,WP,WP
22,IM,PM,PM
23,NF,IM,WP
24,PM,PM,PM
25,IM,PM,PM
26,WP,PM,PM
27,NF,PM,PM
28,NF,PM,PM
29,IM,PM,PM
30,IA,PM,PM
31,NF,PM,PM
32,IA,PM,PM
33,IA,PM,PM
34,CM,PM,PM
35,CM,PM,PM
36,PM,WP,WP
37,WP,IM,PM
38,IM,WP,WP
39,WP,IM,PM
40,CM,WP,PM
41,WP,IM,PM
42,CM,IM,PM
43,WP,IM,PM
44,PM,IM,PM
45,WP,WP,WP
46,PM,IM,PM
47,WP,IM,PM
48,WP,WP,WP
49,NF,IM,PM
50,NF,IM,PM
51,NF,IM,PM
52,PM,IM,PM
53,PM,IM,PM
54,NF,IM,PM
55,NF,IM,PM
56,NF,IM,WP
57,PM,IM,PM
58,NF,IM,PM
59,CM,IM,PM
60,NF,NF,NF
61,CM,IM,PM
62,NF,IM,PM
63,PM,IM,PM
64,NF,IM,PM
65,PM,IM,PM
66,NF,IM,PM
67,NF,IM,PM
68,IM,IM,PM
69,PM,IM,PM
70,NF,WP,WP
71,NF,PM,PM
72,PM,PM,PM
73,IM,IM,PM
74,WP,WP,PM
75,PM,IM,PM
76,WP,WP,WP
77,WP,IM,PM
78,WP,PM,PM
79,WP,WP,WP
80,WP,WP,WP
81,IM,PM,PM
82,CM,PM,PM
83,WP,IM,PM
84,IA,IM,PM
85,IA,IM,PM
86,PM,IM,PM
87,IM,IM,PM
88,PM,IM,PM
89,NF,WP,WP
90,PM,IM,PM
91,NF,IM,PM
92,PM,IM,PM
93,WP,IM,PM
94,PM,IM,PM
95,WP,IM,PM
96,PM,IM,PM
97,PM,IM,PM
98,PM,IM,PM
99,PM,IM,PM
100,PM,IM,PM
101,PM,IM,PM
102,WP,WP,WP
103,WP,WP,WP
104,PM,IM,PM
