tibetan,transliteration,phonetics
"ཨ་བ་དྷཱུ་ཏིར","avadhūtir",""
"དཱི་པཾ་ཀ་ར","dīpaṃkara",""
"དྷཱུ་ཏི","dhūti",""
"དྷཱུ","dhū",""
"བྷནྡྷ","bhandha",""
"མ་ཧཱ","mahā",""
"བིཏྱ","vidya",""
"བིདྱ","vidya",""
"བ་ལིཾ་ཏ","baliṃta","balingta"
"བིནྡྷ","binda",""
"བྷིནྡྷ","bhinda",""
"ཨ་པ་རཱ་ཛི་ཏ་","aparājita",""
"ཨ་ཙ་ལ་","acala","achala"
"ནི་ལ་དཎྜ","niladaṇḍa",""
"དཎྜ","daṇḍa",""
"སྥོ་ཊ","sphoṭa",""
"དྷྲིཥྚ","dhriṣṭa",""
"བཻ་རུ་ཌྷ་ཀཱ","vairuḍhakā",""
"བི་རུ་པཱཀྵ","virupākṣa",""
"བཻ་ཤྲ་མ་ཎཱ","vaiśramaṇā",""
"ཨ་པ་རི་མི་ཏ","aparimita",""
"པ་རི་མི་ཏ","parimita",""
"པུ་རུ་ཤ་","puruśa",""
"བྷྲཱུྃ","bhrūṃ",""
"ཨ་?རྻ","arya",""
"ཨཱ་ཙ་ལ","ācala",""
"སཾ་སྐཱ་ར","saṃskāra",""
"ས་མུཏྒ་ཏེ","samutgate",""
"ཧ་ཧོ་ཧྲཱིཿ","ha ho hrīḥ","ha ho hri"
"ཧ་ཧོཿཧྲཱིཿ","ha hoḥ hrīḥ","ha ho hri"
"ཨ[ཱ]?[་]?ཡུརྫྙ[ཱ]?[་]?ན","āyur jñāna","ayur gyana"
"ཨརྒྷཾ་སོགས་ནས། ཤབྡ་","arghaṃ pādyaṃ puṣpe dhūpe āloke gandhe naivedye śabda",""
"ཨརྒྷཾ་སོགས། ཤབྡ་","arghaṃ pādyaṃ puṣpe dhūpe āloke gandhe naivedye śabda",""
"ཨརྒྷཾ་ནས[་། ]+ཤབྡ","arghaṃ pādyaṃ puṣpe dhūpe āloke gandhe naivedye śabda",""
"ཨརྒྷཾ་ནས[་། ]+ཤཔྟ","arghaṃ pādyaṃ puṣpe dhūpe āloke gandhe naivedye śabda",""
"ཨརྒྷཾ་སོགས་ཀྱིས་མཆོད།","arghaṃ pādyaṃ puṣpe dhūpe āloke gandhe naivedye śabda",""
"ཨརྒྷཾ་སོགས།","arghaṃ pādyaṃ puṣpe dhūpe āloke gandhe naivedye śabda",""
"བིགྷྣཱཀྞ","bighnān","bighanen"
"བིན","bighnān","bighanen"
"བིགྷྣཱན","bighnān","bighanen"
"བིགྷྣཱ","bighnā","bighanen"
"དནྟེ་","dante",""
"ཐཱ་ཁཾ","thākhaṃ",""
"ཨུཏྒ་ཏེ","utgaté",""
"མ་ཧཱ་བ་ལ","mahābala",""
"ཏ་ན་ག་ན་","tana gana",""
"སྥ་ར་ཎ་","spharaṇa","sapharana"
"ཐོད་ཕྲེང་རྩལ","thöthrengtsel",""
"སམྱཀྶཾ་བུདྡྷ་ཡ","samyak saṃbuddhaya",""
"བྷཀྵ་","bhakṣa",""
"ས་མནྟོ་ཥྞཱི་ཥ","samantoṣṇīṣa","samantoshnisha"
"ཏ་ཐཱ་ག་ཏོཥྞི་ཥ","tathāgatoṣṇīṣa","tathagatoshnisha"
"ཏ་ཐཱ་ག་ཏ་བྱཱ","tathāgatabya",""
"ཨཱ་ཀཱ་ཤ་གརྦྷ","ākāśagarbha","akashagarbha"
"ཀྵི་ཏི་གརྦྷ","kṣitigarbha","kshitigarbha"
"ཨཀྵོ་བྷྱ","akṣobhya","akshobhya"
"རཏྣ་པཱ་ཎི","ratnapāṇi",""
"མཉྫུ་ཤྲཱི་ཡེ","mañjuśrīyé","manjushriyé"
"མཉྫུ་ཤྲཱི","mañjuśrī","manjushri"
"བཛྲ་པཱ་ཎི","vajrapāṇi",""
"བཛྲ་དྷ་ར","vajradhara",""
"ཡ་མནྟ་ཀ","yamantaka",""
"ཡ་མཱནྟ་ཀ","yamāntaka",""
"བཻ་ཤྲ་བ་ཎཱ་","vaiśravaṇa","vaishravana"
"ག་ཎ་ཙ་?ཀྲ","gaṇacakra","ganachakra"
"བཱ་སི་ནི","vāsini",""
"ཤ་ཏྲཱུན","śatrūn","shatrun"
"མཱ་ར་ཡ","māraya",""
"ཀཱ་མ་གུ་ཎ","kāma guṇa",""
"གུ་ཎ","guṇa",""
"ཧྲི་ད","hrida",""
"པྲ་མ་ཡ","pramaya",""
"ཏ་ན་ག་ཎ","tana gaṇa",""
"ནི་དྷི་པ་ཏི་","nidhi pati",""
"བྷཱུ་མི་པ་ཏི","bhūmi pati",""
"ཨཱ་ཀཱ་རོ་","ākāro",""
"ནུཏྤནྣ་ཏོཏྟ","nutpenā totta",""
"ནུཏྤནྣཱ་ཏྟོ","nutpenā totta",""
"ནུཏྤནྣ","nutpena",""
"ནུཏྤན","nutpena",""
"ནུཏྤན","nutpena",""
"པདྨོ་ཥྞཱ་ཥ","padmoṣṇīṣa","padmoshnisha"
"ཨོཾ་ཨ་ར་པ་ཙ་ན","oṃ a ra pa ca na","om a ra pa cha na"
"བཛྲ་པཱ་ཙ་ཧོ","vajra pāca ho","vajra pacha ho"
"ཙིརྟེ","cirté","chirté"
"ཙིནྟ","cinta","chinta"
"ཀྵ་ཡཾ","khayaṃ",""
"དུཥྚཱན","duṣṭēn","dushten"
"བི་མ་ལ","vimala",""
"བི་ཛ་ཡ","vijaya",""
"བི་ལོ་ཀི་ཏེ","vilokité",""
"བཻ་རོ་ཙ་ན","vairocana","vairochana"
"ནི་ར་ཏེ་ཤྭ་ར","nira téśvara","nira téshvara"
"གོ་ཙ་རེ","gocaré","gocharé"
"ཨཱ་བ་ར་ཎ","āvaraṇa",""
"ནཉྩ","nentsa",""
"བིད","vid",""
"ག་ག་ན","gagana",""
"བ་ར་དེ","varadé",""
"ཨཱ་བཱི་ར","āvīra",""
"ཨཱཿཝཱི་ར","āḥvīra",""
"བཱ་པྟི","vāpti",""
"ཨ་ནནྟ་མ","anantama",""
"ཨཱ་ནནྟ","ānanta",""
"ཨ་ནནྟ","ananta",""
"པཱ་པྟི","pāpti",""
"བཱ་སི","vāsi",""
"སྭཱ་ཧ","svāha",""
"སྭ་ཧ","svaha",""
"ཨཱ་ཀརྵ་ཡ","ākarṣaya","ākarshaya"
"མ་ཧཱ་ཀཱ་ལ","mahākāla",""
"ག་ཎ་གུ་ཧྱ","gaṇa guhya",""
"ཨེ་ཀ་ཛཱ་ཊི","ékajāṭi",""
"མཱ་རི་ཙྱཻ","mārici",""
"ཛ་ཡ་ཏེ","jayaté",""
"ཛ་ཡ","jaya",""
"ཛཱ་ཝ","jāva",""
"ནཱ་ག་ཙནྟི","nāgacanti",""
"ཙནྟི","canti",""
"ཚིནྡྷ","cindha",""
"མཱནྟཀ","māntak",""
"ཙ་ཚ་ཛ་ཛྙ་ཉ།","ca cha ja jña nya","cha ch'a ja gya nya"
"པ་ཕ་བ་བྷ་མ","pa pha ba bha ma","pa pha ba bha ma"
"ཙུ་རུ","curu","churu"
"སུ་ཤྲཱི་ཡེ","suśrīyé","sushriyé"
"ཏཱ་ར་ཡ་མཱྃ","tārayamāṃ",""
"ཁེ་ཙ་རཿ","khécaraḥ","khécharah"
"སུཾ་བྷ་ནཾ","suṃbhanaṃ",""
"སུཾ་བྷ","suṃbha",""
"ཝཱ་ཀྱེ་དཾ","vākyédaṃ",""
"ཀ་རུ་ཎི་ཀ","karuṇika",""
"མ་ཧཱ་སཏྭ","mahāsatva",""
"བོ་དྷི་སཏྭ","bodhisatva",""
"བོ་དྷི་ས་ཏྭ","bodhisatva",""
"བི་དྷཱ་ར་ཎཱི","vidhāraṇī",""
"དྷཱ་རདྷཱ་ཀི","dhārdhāki",""
"བྷུརྦྷུ་","bhurbhu",""
"བི་ཤྭ་དྷ་ནི","viśvadhani","vishvadhani"
"བི་ཤྭ","viśva","vishva"
"ཨཱ་གཙྪ","āgacca","agaccha"
"ཌཱཀྐི","ḍīk","drik"
"ཨ་?མྲྀ་?ཏ","amṛta","amrita"
"ཨ་?མྲི་?ཏ","amṛta","amrita"
"གརྦྷེ","garbhé",""
"གརྦྷ","garbha",""
"ཌཱ་?ཀི་?་ནི","ḍākini",""
