adapter_type,spark_type,spark_version,is_complex,cast_expression,notes
STRING,StringType,all,false,,Variable-length Unicode string
BYTES,BinaryType,all,false,,Variable-length binary
INT64,LongType,all,false,,64-bit signed integer
INTEGER,LongType,all,false,,Alias for INT64
INT,LongType,all,false,,Alias for INT64
SMALLINT,LongType,all,false,,Alias for INT64
BIGINT,LongType,all,false,,Alias for INT64
TINYINT,LongType,all,false,,Alias for INT64
BYTEINT,LongType,all,false,,Alias for INT64
FLOAT64,DoubleType,all,false,,64-bit floating point
FLOAT,DoubleType,all,false,,Alias for FLOAT64
NUMERIC,DecimalType,all,false,,Exact numeric (precision 38 scale 9)
DECIMAL,DecimalType,all,false,,Alias for NUMERIC
BIGNUMERIC,DecimalType,all,false,,High precision numeric (76.76)
BIGDECIMAL,DecimalType,all,false,,Alias for BIGNUMERIC
BOOL,BooleanType,all,false,,Boolean true/false
BOOLEAN,BooleanType,all,false,,Alias for BOOL
DATE,DateType,all,false,,Calendar date
TIME,StringType,all,false,,Time of day
DATETIME,TimestampType,all,false,,Date and time without timezone
TIMESTAMP,TimestampType,all,false,,Date and time with timezone
INTERVAL,StringType,all,false,,Time interval
GEOGRAPHY,StringType,all,false,,Geographic data (GeoJSON)
JSON,StringType,all,true,TO_JSON_STRING({}),JSON document
STRUCT,StringType,all,true,TO_JSON_STRING({}),Structured record
RECORD,StringType,all,true,TO_JSON_STRING({}),Alias for STRUCT
ARRAY,ArrayType,all,true,,Array of values
