	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	-0.2638	0.2184	-0.0713	0.0944	-0.4807	-0.7089	-0.346	-0.1998	-0.0047	-0.2026	-0.0025	-0.0025	-0.1081	-0.0344	0.0733	0.5114	0.2229	0.4412	0.1908	0.2066	0.0326	0.0326	0.1497
-4	-0.1478	0.2765	0.0767	0.3573	-0.6081	-0.7048	-0.3075	-0.1312	0.0323	-0.1702	0.0059	0.0059	0.2007	-0.093	-0.1942	-0.1141	0.274	-0.073	0.4065	0.6371	-0.1722	-0.1722	0.5186
-3	-0.4762	-0.3476	-0.3851	-0.0392	-0.2649	-0.4973	-0.1882	-0.5401	-0.188	0.0445	-0.2612	-0.2612	0.0558	-0.0804	0.0003	0.3473	0.0451	0.542	0.5271	0.7601	0.2989	0.2989	0.705
-2	0.1086	-0.0403	-0.3107	-0.0459	0.0768	-0.1621	0.5996	-0.0687	-0.1836	-0.5135	-0.5806	-0.5806	-0.414	0.1345	-0.2468	-0.0628	0.3391	0.2941	0.2489	0.1996	-0.042	-0.042	0.3719
-1	-0.3631	-0.8021	-0.4177	-0.5787	-0.7895	-0.3628	0.4839	0.3265	0.2375	0.0272	0.1595	0.1595	-0.4224	0.6408	-0.7774	-0.6462	0.1544	0.3219	0.5708	0.264	0.0337	0.0337	1.242
1	-1.7493	-1.213	-0.2826	-0.2836	-0.5421	-0.3779	0.6834	0.6738	0.2795	0.2636	1.0842	1.0842	0.5121	0.7654	-0.5041	0.0129	0.0013	-1.1356	-1.6511	-0.6377	-0.9849	-0.9849	0.9421
2	-0.5455	-1.4418	-0.6887	-0.5373	-0.3699	-0.2977	0.2086	0.2512	0.2575	0.0027	0.2865	0.2865	0.9543	-0.3582	0.0268	0.7032	-0.0154	0.1413	-0.6681	-0.1682	-0.0501	-0.0501	0.425
3	-0.0604	-0.7299	-0.6461	0.0381	-0.5374	-0.502	0.7206	0.6059	0.3824	0.1181	0.7839	0.7839	0.9369	-0.0584	-0.1604	0.6792	-0.5893	-0.8887	-1.6382	-2.1417	-2.2576	-2.2576	-1.5804
4	-0.4507	-0.1456	-0.0473	0.9707	-0.2203	-0.432	0.1165	0.0725	-0.1884	0.2853	-0.0227	-0.0227	0.0011	0.0046	0.2587	0.9184	0.2261	-0.3099	-0.5388	-0.2763	-1.2751	-1.2751	-0.6235
5	0.2335	0.2457	-0.066	0.4885	-0.171	0.2827	-0.0929	-0.0578	0.0966	0.2436	0.2404	0.2404	-0.0574	0.2044	-0.1489	0.0851	-0.2533	-0.2103	-0.5233	-0.3755	-0.9647	-0.9647	-0.529
