	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.3103	0.3852	0.2204	-0.1491	-0.049	-0.1042	-0.1865	-0.1879	-0.1812	-0.1169	-0.2045	-0.2045	-0.1658	-0.015	0.1157	0.1613	-0.0549	0.0732	-0.0108	-0.1956	-0.1991	-0.1991	-0.159
-4	0.2495	0.4394	0.2818	0.0261	-0.1558	-0.467	-0.219	-0.2745	-0.0073	-0.2264	-0.1884	-0.1884	-0.0407	-0.1711	0.0627	-0.0261	0.1511	-0.0974	0.1222	0.2447	-0.2179	-0.2179	0.125
-3	0.2936	0.2655	-0.1649	-0.0135	0.2208	0.0981	-0.2798	-0.4606	-0.2119	-0.2731	-0.1018	-0.1018	-0.0351	0.1268	-0.0465	0.121	-0.1283	0.2645	-0.0081	0.0525	-0.1898	-0.1898	0.1999
-2	0.3711	0.2687	0.0786	0.0171	0.2386	0.0299	-0.1417	-0.3269	-0.1981	-0.4474	-0.4375	-0.4375	-0.3695	0.1019	0.0198	0.1368	0.2117	0.1362	-0.1815	0.1358	-0.2189	-0.2189	0.0382
-1	0.5326	-0.2607	0.0586	-0.0884	-0.037	-0.1416	-0.0352	0.1519	0.4081	-0.0371	-0.1817	-0.1817	-0.3927	0.274	-0.7554	-0.9082	-0.0525	0.3638	0.1202	0.1269	-0.2386	-0.2386	0.7991
1	-1.1663	-0.5224	0.4867	0.0134	0.3354	0.3248	0.5074	0.4164	0.4555	0.4435	0.0884	0.0884	0.1374	0.0976	-0.9968	-0.6231	0.1269	-0.861	-1.0523	-0.0781	-0.3184	-0.3184	0.0774
2	-0.1456	-0.7847	-0.3891	-0.2901	0.0148	-0.0937	0.1145	-0.0545	0.4922	0.2312	0.2558	0.2558	0.5801	-0.0677	0.3762	0.3896	-0.0892	0.0627	-1.3384	-0.8691	-1.1604	-1.1604	-0.631
3	-0.9091	-0.4694	-0.4955	0.2133	-0.3342	-0.1173	0.35	0.6511	0.5728	0.4149	0.7246	0.7246	0.8227	0.7387	-0.2207	0.1017	-0.5809	-0.7839	-2.2478	-2.5201	-2.6239	-2.6239	-1.7097
4	-0.0412	0.1296	-0.0596	0.0281	-0.0304	-0.201	-0.0168	-0.209	-0.124	0.0945	0.2525	0.2525	-0.0162	0.1787	0.3398	0.3904	0.1833	-0.1841	-0.712	-0.373	-1.711	-1.711	-0.9185
5	0.7177	0.1387	-0.1049	-0.0737	0.2577	-0.1622	-0.685	-0.3667	-0.2667	-0.1965	0.5566	0.5566	0.2103	-0.1053	0.3757	0.3168	-0.0621	-0.0284	-0.7775	-0.9663	-1.4785	-1.4785	-1.2911
