	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.1794	0.2819	0.0075	0.0261	-0.0252	-0.0226	-0.3281	-0.2033	-0.2362	-0.2381	-0.0358	-0.0358	0.1311	0.0546	0.0379	-0.0621	-0.1666	0.1032	0.2894	0.0518	0.3301	0.3301	0.4863
-4	0.1632	0.2252	0.1319	0.0804	-0.0991	-0.2613	-0.3682	-0.1652	-0.32	-0.2094	-0.0389	-0.0389	0.1286	-0.1319	-0.3118	-0.1067	0.0651	-0.1208	0.4103	0.5913	0.4354	0.4354	0.5663
-3	0.0929	0.1374	0.042	0.1003	0.1278	0.0359	-0.4025	-0.5076	-0.5011	-0.3873	-0.2576	-0.2576	-0.0744	-0.0401	-0.4066	-0.3702	0.0181	0.2389	0.5955	0.8192	0.7598	0.7598	0.9171
-2	0.337	0.2459	0.1631	0.0896	0.1868	0.1121	-0.1368	-0.1828	-0.2066	-0.3904	-0.7042	-0.7042	-0.5659	-0.0492	-0.5804	-0.2225	0.1953	0.2022	0.3367	0.5384	0.2295	0.2295	0.6697
-1	-0.1793	-0.941	-0.323	-0.2706	-0.6358	-0.0704	0.4544	0.8965	0.0867	-0.2612	0.0867	0.0867	-0.584	0.4715	-1.0182	-1.0367	-0.2006	0.1719	0.6963	0.4422	0.5197	0.5197	2.0636
1	-1.0149	-1.3689	-0.382	-0.1294	-0.6245	-0.2623	0.7189	0.8337	0.2437	0.2222	0.9898	0.9898	0.1497	0.8601	-0.5261	-0.3944	0.1686	-0.8514	-1.3976	-0.5864	-0.1214	-0.1214	1.1218
2	-0.1123	-1.0447	-0.2908	-0.0633	-0.1847	-0.0852	0.031	-0.0736	0.2047	0.0346	0.1321	0.1321	0.7738	-0.0424	-0.3167	0.0613	0.0722	0.0659	-0.1637	0.2482	0.8543	0.8543	0.9968
3	0.1324	-0.9178	-0.7928	-0.5627	-0.9161	-0.5023	0.7189	1.2781	0.8193	0.5031	1.0545	1.0545	0.1036	-0.2196	-0.7668	-0.2001	-0.7584	-0.7847	-1.3509	-1.8557	-1.5405	-1.5405	-1.275
4	-0.0595	0.0445	-0.1332	-0.0266	-0.0141	-0.2013	-0.2048	-0.2917	-0.2763	-0.1472	0.1766	0.1766	0.3961	0.1878	0.0693	0.3333	0.1238	-0.0716	-0.0455	-0.1209	-0.8046	-0.8046	0.2189
5	0.565	0.2084	0.0151	0.8913	-0.1457	-0.0693	-0.3665	-0.3337	-0.135	-0.0752	0.9267	0.9267	1.0073	-0.0996	-0.7461	-0.2833	-0.3719	-0.3016	-0.727	-0.6943	-0.9878	-0.9878	-0.4532
