	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.2894	0.5574	0.1749	0.1502	-0.0706	-0.0733	-0.406	-0.2627	-0.3452	-0.2957	-0.043	-0.043	0.1053	0.0696	0.1675	0.3884	-0.0497	-0.0059	-0.3005	-0.3536	-0.368	-0.368	-0.0002
-4	0.3801	0.2968	0.2584	0.0286	-0.2801	-0.3929	-0.349	-0.3829	-0.36	-0.1672	0.071	0.071	0.327	0.0012	0.2574	0.4468	0.2207	-0.0619	-0.4405	-0.4288	-0.4828	-0.4828	-0.1711
-3	0.4423	0.2335	0.0412	-0.0292	0.1668	0.0328	-0.2783	-0.4263	-0.1344	-0.1146	-0.1501	-0.1501	0.1372	-0.0409	0.0951	0.3974	0.0407	0.0551	-0.3377	-0.5766	-0.473	-0.473	-0.1454
-2	0.7562	0.3237	0.3087	-0.0346	0.2103	-0.0194	-0.0712	-0.4352	-0.5273	-0.5352	-0.4403	-0.4403	-0.3986	0.0057	-0.1608	0.0675	0.2699	0.049	-0.1255	0.0043	-0.0461	-0.0461	-0.4858
-1	-0.3056	-0.83	-0.5909	-0.8856	-0.6747	-0.0951	-0.0728	0.7095	0.7906	0.3346	-0.0985	-0.0985	-0.6043	0.6717	0.3782	0.8679	0.1984	-0.5156	-1.5321	-1.6324	-1.04	-1.04	-0.5789
1	-2.1044	0.5802	1.2426	0.1077	0.2346	0.075	0.053	-0.3977	-0.5476	0.4496	-0.4812	-0.4812	0.0487	-0.5478	-0.7676	-0.168	0.5815	-0.7064	-0.3233	0.0134	-0.5835	-0.5835	-0.46
2	0.3284	-1.0324	0.0037	-0.491	0.0228	0.3249	0.4054	0.3248	-0.053	0.0364	0.4724	0.4724	0.1499	-0.4665	-0.1285	0.3996	0.0379	-0.4047	-1.1165	-0.4735	0.0642	0.0642	1.1111
3	-0.1822	-1.0239	-0.6046	-0.7922	-0.88	-0.0889	1.2569	1.6573	1.2142	0.1017	0.0452	0.0452	1.0471	-0.9628	-1.6642	-1.4457	-1.1957	-1.4758	-1.9626	-2.3085	-1.685	-1.685	-1.0157
4	0.6341	0.7741	0.0624	0.223	0.2702	0.0387	-0.2411	-0.1712	-0.4303	0.0315	-0.1056	-0.1056	-0.1549	0.0086	-0.37	-0.0075	-0.1961	-0.1472	-0.4169	-0.26	-0.2964	-0.2964	-0.0599
5	0.2122	0.1092	0.1316	0.1802	0.0215	0.1898	-0.0762	-0.1458	0.2057	-0.0445	0.2903	0.2903	0.2913	-0.1561	-0.5278	-0.8803	-0.0658	-0.2578	0.1813	0.0425	-0.6115	-0.6115	0.041
