	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.2124	0.2431	0.1337	-0.1788	-0.0868	-0.2426	-0.1325	-0.1172	0.1304	0.1408	-0.0197	-0.0197	-0.015	-0.1403	-0.1364	-0.3734	-0.0146	-0.0074	0.2391	0.0177	0.127	0.127	0.142
-4	0.2005	0.3936	0.2001	0.0165	-0.3938	-0.4958	-0.1122	-0.033	0.2446	0.148	-0.0496	-0.0496	0.2773	-0.2345	-0.6678	-0.5454	-0.0986	-0.2909	0.2183	0.5513	0.0643	0.0643	0.4814
-3	0.0908	0.035	-0.0746	-0.0167	0.0315	-0.0568	-0.3086	-0.4786	-0.0649	-0.0523	0.1488	0.1488	0.2633	0.0119	-0.8805	-0.7867	-0.206	0.1976	0.5167	0.7203	0.1572	0.1572	0.4517
-2	0.0843	0.388	0.1152	0.1468	0.236	0.0076	-0.0736	-0.2467	0.0049	-0.3072	-0.4811	-0.4811	-0.376	-0.1286	-0.6604	-0.5836	0.059	0.3117	0.3636	0.5745	0.2858	0.2858	0.2728
-1	-0.3791	-1.1325	-0.6176	-0.3574	-1.0321	0.4287	1.1631	1.5408	1.1024	0.1643	0.1296	0.1296	-0.5196	-0.3812	-1.9477	-2.1318	-0.9396	-1.2718	-0.2441	0.0633	1.2616	1.2616	0.1278
1	-1.9161	1.1904	0.7333	-0.0455	0.1607	-0.044	0.1943	-0.2955	-0.2941	0.4568	-0.3489	-0.3489	0.418	-0.3005	-1.9833	-1.4396	-0.1152	-0.7081	-0.1255	0.6311	-0.0753	-0.0753	0.5444
2	-0.0361	-0.2983	-0.0268	0.1474	0.2294	0.5098	0.23	0.2032	0.0375	0.1789	0.0016	0.0016	0.1073	-0.6015	-0.3096	-0.0095	-0.1718	-0.0738	-0.7736	0.252	0.2394	0.2394	0.6892
3	-0.3992	-0.2142	-0.6083	-0.128	-0.5927	-0.5015	0.4452	0.8823	0.5736	0.1318	1.0819	1.0819	0.9822	-0.011	-0.568	0.2415	-0.978	-1.068	-1.63	-1.6611	-1.7575	-1.7575	-1.0099
4	-0.1489	0.1446	-0.1906	0.0485	-0.041	-0.1134	-0.1973	-0.2005	-0.1415	0.3898	0.1154	0.1154	0.1458	0.1243	0.387	0.5786	-0.0144	-0.3196	-0.6826	-0.385	-1.2127	-1.2127	-0.6719
5	0.3304	0.1284	0.0805	0.0341	0.0733	-0.0037	-0.3015	-0.3796	-0.0229	0.0853	0.0656	0.0656	0.1615	-0.0524	0.342	0.5981	-0.4519	-0.2287	-0.565	-0.4221	-1.2489	-1.2489	-0.8126
