	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.2712	0.2104	0.0101	-0.1918	-0.0668	-0.2385	-0.287	-0.2763	-0.154	-0.1505	0.0407	0.0407	0.3401	-0.1986	-0.4001	-0.3079	-0.0355	0.1225	0.4409	0.2971	0.4558	0.4558	0.5411
-4	0.2259	0.2039	0.164	0.2095	-0.3271	-0.5314	-0.3508	-0.149	-0.0673	-0.1352	0.264	0.264	0.3913	-0.1932	-0.8208	-0.5709	-0.0884	-0.3338	0.5677	0.7448	0.3804	0.3804	0.9749
-3	-0.2977	-0.0936	-0.2009	0.2128	-0.0422	-0.1502	-0.59	-0.5928	-0.5263	-0.3869	-0.0607	-0.0607	0.1909	-0.2474	-1.1145	-0.886	0.0082	0.2377	0.9519	1.409	0.5466	0.5466	0.7293
-2	0.3303	0.2627	0.1288	0.2926	0.2354	-0.1576	-0.2625	-0.3966	-0.1873	-0.6065	-0.6233	-0.6233	-0.1743	-0.1244	-0.9386	-0.7418	0.1449	0.2324	0.6551	0.864	0.8682	0.8682	0.6368
-1	0.1481	-1.0226	-0.8968	-0.4641	-1.3774	0.3562	1.5184	2.117	0.6774	-0.3887	-0.5388	-0.5388	-0.6198	-0.987	-2.1258	-2.2335	-1.404	-1.7669	-0.5328	-0.024	1.191	1.191	0.3414
1	-1.8671	1.8443	0.777	-0.1911	0.0554	-0.0353	0.1843	-0.2695	-0.7248	0.1259	-0.5234	-0.5234	0.6346	-0.5839	-2.1295	-1.7494	-0.3879	-1.1326	-0.6201	0.5182	0.6025	0.6025	1.957
2	-0.5156	-0.4582	0.052	0.3953	0.7391	0.5842	0.474	0.4739	-0.0196	0.1223	0.2731	0.2731	0.1811	-0.8456	-0.9023	-0.5455	-0.3176	-0.6255	-0.7649	0.4402	0.8132	0.8132	1.0242
3	-1.1413	-0.5579	-0.9134	-0.0728	-0.6753	-0.4953	0.5878	1.0849	0.4416	-0.1315	1.8615	1.8615	0.8821	-0.1936	-1.4394	-0.6513	-1.2658	-1.297	-1.082	-1.1402	-0.9219	-0.9219	-0.3259
4	-0.1028	0.364	-0.1813	0.0693	-0.1017	-0.0889	-0.1221	-0.1682	-0.1915	0.2514	0.2467	0.2467	0.4762	-0.0248	-0.027	0.1842	0.1089	-0.4411	-0.3523	-0.1903	-0.5429	-0.5429	0.4012
5	0.5722	0.0807	0.0494	-0.1143	0.2016	-0.1112	-0.0793	-0.2913	0.0683	-0.2011	0.3149	0.3149	0.2098	-0.1661	0.0873	0.3123	-0.2322	-0.4645	-0.3456	-0.5058	-0.6318	-0.6318	-0.2705
