	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.1368	0.2995	0.0718	-0.2164	-0.0742	-0.1645	-0.3708	-0.347	-0.1973	-0.1933	-0.1356	-0.1356	-0.1814	0.0561	0.4094	0.5083	0.0685	0.0768	-0.1126	-0.2179	-0.1908	-0.1908	0.1968
-4	0.2933	0.3488	0.1131	0.0242	-0.1673	-0.4006	-0.4447	-0.4176	-0.1712	-0.1029	-0.1835	-0.1835	-0.1802	0.0047	0.3295	0.3861	0.2133	-0.2188	0.0247	0.1415	-0.0507	-0.0507	0.2947
-3	0.1992	0.2386	-0.2229	-0.0211	0.1295	0.052	-0.6308	-0.7239	-0.4191	-0.3792	-0.0988	-0.0988	-0.1862	0.1533	0.1507	0.3825	-0.0529	0.1912	0.0571	0.5181	0.0344	0.0344	0.8867
-2	0.2473	0.4194	-0.0483	0.1235	0.3137	0.051	-0.4984	-0.5692	-0.3802	-0.4903	-0.6804	-0.6804	-0.5824	0.0606	0.3792	0.6061	0.3353	0.2613	-0.2091	-0.1765	-0.4687	-0.4687	-0.1001
-1	-0.1587	-1.0009	-0.2091	-0.1804	-0.5241	-0.0236	0.1629	0.5478	0.1636	-0.396	0.0278	0.0278	0.0985	0.4824	-0.6088	-0.5731	0.0024	0.3629	0.3717	0.2656	-0.188	-0.188	0.5453
1	-1.0178	-0.8865	-0.0633	0.1801	-0.1694	-0.0841	0.5066	0.6698	0.496	0.363	0.5799	0.5799	0.7334	0.4557	-0.6688	0.0245	0.0812	-0.9637	-1.7061	-1.2671	-1.0921	-1.0921	0.2273
2	-0.0522	-0.636	-0.1892	-0.0594	-0.0443	0.0129	-0.1139	-0.3189	0.0925	-0.0057	0.1432	0.1432	0.4583	-0.0869	-0.0913	0.4514	0.1519	0.2747	-0.4619	-0.0358	0.0508	0.0508	0.5322
3	0.3045	-0.1839	-0.243	0.3035	-0.1776	-0.0554	0.2074	0.3578	0.1286	0.2599	0.1611	0.1611	0.6448	0.2236	-0.781	-0.2904	0.0172	-0.2092	-0.5052	-0.6532	-1.3502	-1.3502	-1.1223
4	0.2249	0.0696	-0.2185	0.0208	-0.171	-0.1937	-0.3679	-0.4542	-0.2693	0.0215	0.1939	0.1939	0.1466	0.1361	0.1648	0.4273	0.282	0.1077	-0.2005	-0.2668	-0.7496	-0.7496	-0.7718
5	0.6253	0.5263	-0.1162	-0.0377	0.0025	-0.0715	-0.6557	-0.3872	-0.3963	-0.0411	-0.2446	-0.2446	-0.2874	0.1912	0.2287	0.3667	0.0717	0.1203	-0.2815	-0.3529	-0.7205	-0.7205	-0.6843
