	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.2432	0.4334	0.2279	0.2147	-0.064	-0.3086	-0.0285	-0.0621	0.0835	-0.3454	0.1277	0.1277	0.5493	-0.0302	0.2811	0.2765	-0.3083	-0.3761	-0.5825	-0.8929	-0.6852	-0.6852	-0.3666
-4	0.1545	0.5847	0.2112	0.1437	-0.1245	-0.4452	-0.0779	-0.162	-0.0753	-0.2298	0.0715	0.0715	0.3449	0.0585	0.2809	0.3178	-0.1122	-0.3857	-0.5909	-0.4024	-0.9583	-0.9583	-0.1545
-3	0.3425	0.4239	-0.0448	-0.0791	0.1011	-0.2598	0.0674	-0.1298	-0.2125	-0.3573	0.1683	0.1683	0.4565	0.1744	-0.0261	0.1013	-0.296	-0.0146	-0.4326	-0.5496	-0.4846	-0.4846	0.2711
-2	-0.1077	0.4247	0.1298	0.0808	0.136	-0.1295	-0.0061	0.0419	-0.3126	-0.4385	-0.0027	-0.0027	0.1545	0.233	-0.0118	0.4819	0.076	0.0281	-0.764	-0.4804	-0.755	-0.755	-0.2662
-1	0.1795	0.1332	0.835	0.1674	1.1029	-0.0674	-0.5131	-0.8066	-1.0681	-0.8542	-0.6494	-0.6494	-0.7873	-0.0853	-0.6417	-0.5423	0.3146	0.5215	0.2406	0.3038	-1.9846	-1.9846	-1.062
1	-0.8494	-0.7255	0.8	-0.1921	0.1616	0.1385	1.5263	1.1741	-0.3407	-0.1297	-0.7677	-0.7677	-0.3507	-0.8104	-0.1587	0.2993	-0.4223	-0.69	-1.6091	-1.851	-2.2198	-2.2198	-1.4546
2	-0.3698	-0.2169	-0.2933	0.0243	0.3481	-0.0652	-0.4424	-0.3583	-0.6205	-0.5972	-0.0363	-0.0363	0.4771	0.0515	0.8752	1.4782	-0.0317	-0.2287	-1.5141	-1.7954	-2.0945	-2.0945	-1.2287
3	-0.2396	-0.1377	-0.345	-0.0299	-0.0359	-0.1031	-0.2596	-0.1055	0.0278	-0.4134	0.0405	0.0405	-0.1646	0.2898	0.7507	1.2556	0.181	-0.2565	-1.4097	-1.1378	-1.9472	-1.9472	-1.3961
4	0.2804	0.1598	-0.0119	-0.0247	0.0137	-0.2146	-0.0311	-0.0823	0.1537	0.1422	0.0138	0.0138	0.3486	-0.0039	0.3075	0.7904	-0.071	-0.4336	-1.4082	-1.5162	-1.9248	-1.9248	-1.4538
5	0.0828	-0.3379	-0.1326	-0.2748	0.0221	-0.0514	-0.2697	-0.331	0.0176	-0.0769	0.0592	0.0592	0.1129	0.055	0.8172	0.9828	-0.2156	-0.2342	-0.7927	-1.0492	-1.1835	-1.1835	-0.7784
