	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	-0.0253	0.1933	-0.186	-0.0582	-0.2826	-0.2796	-0.4024	-0.0393	-0.0247	0.0238	0.0907	0.0907	0.1573	0.1096	-0.1187	-0.0477	0.2426	0.149	0.1514	0.0969	-0.1243	-0.1243	0.2056
-4	0.2126	0.2435	0.0496	-0.0096	-0.4162	-0.6433	-0.3652	-0.2684	0.0013	-0.1669	0.1528	0.1528	0.0723	0.0224	-0.3626	-0.1769	0.2686	-0.05	0.2847	0.5893	-0.0718	-0.0718	0.3672
-3	-0.0699	-0.234	-0.4332	0.0095	-0.2045	-0.1633	-0.3118	-0.243	-0.1889	-0.097	0.4285	0.4285	0.3644	0.0414	-0.7282	-0.4133	-0.05	0.1576	0.4827	0.7968	-0.006	-0.006	0.3229
-2	0.2741	0.1875	0.0797	0.0977	0.473	-0.1754	-0.2712	-0.4644	-0.3426	-0.7275	-0.5745	-0.5745	-0.4559	-0.1685	-0.3603	-0.1788	0.3039	0.3606	0.4216	0.6462	0.1754	0.1754	0.6051
-1	-1.587	-2.2153	-1.1849	-0.7617	-1.1941	-0.1141	-0.1011	0.87	0.7951	-0.2947	0.0476	0.0476	-0.5952	-0.6189	-2.2969	-2.1078	-1.1057	1.3712	1.544	0.6699	0.9032	0.9032	1.4933
1	-2.794	-0.2768	0.5821	-0.1229	-0.4042	-0.6898	0.5837	0.0638	-0.2405	0.6171	-0.4881	-0.4881	0.199	-0.9183	-2.5199	-2.1602	0.391	-1.0574	0.3222	1.767	0.8266	0.8266	1.3866
2	-1.0558	-1.8647	-0.8491	-0.0691	-0.6851	-0.3739	-0.1335	-0.1898	-0.2029	-0.0358	0.4905	0.4905	1.1703	-0.2621	-1.6048	-1.0887	-0.2225	0.2426	0.9073	1.298	1.4086	1.4086	2.609
3	0.4729	-1.2324	-0.634	0.2466	-0.9593	-0.8287	0.9661	1.3888	0.8896	0.4581	0.4962	0.4962	0.6088	-0.2141	-2.1995	-1.5145	-0.2053	-1.067	-1.0193	-1.1111	-0.8383	-0.8383	0.1057
4	0.2485	0.2703	-0.4149	0.1245	-0.1123	-0.0937	-0.4559	-0.4815	-0.4996	-0.0519	0.0927	0.0927	0.7453	0.2582	-0.6483	-0.2661	0.0196	-0.3133	0.3804	0.4309	0.4576	0.4576	0.7812
5	0.6157	0.2582	0.0007	0.2311	0.0531	-0.2191	-0.3188	-0.3617	-0.1261	-0.0442	0.0214	0.0214	0.2679	-0.1477	-0.644	-0.3895	-0.0582	-0.1424	0.321	0.3423	0.082	0.082	0.6893
