	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.2319	0.1847	0.0319	-0.1742	-0.2092	-0.3601	-0.2518	-0.2635	-0.1001	-0.1456	-0.0097	-0.0097	0.0023	-0.1137	-0.1501	-0.1749	-0.0319	-0.0443	0.5886	0.438	0.3936	0.3936	0.4032
-4	0.4057	0.2225	0.1053	-0.0036	-0.2989	-0.4485	-0.2838	-0.3291	-0.1419	-0.3502	-0.0049	-0.0049	-0.0394	-0.4619	-0.6855	-0.4262	0.1102	-0.1476	0.7155	0.9205	0.507	0.507	0.607
-3	-0.0453	-0.1354	-0.3461	0.0036	-0.0815	-0.3396	-0.624	-0.6408	-0.5729	-0.4561	-0.3165	-0.3165	-0.2558	-0.2978	-1.0923	-0.8375	-0.0521	0.3315	1.2651	1.4844	0.6603	0.6603	0.7728
-2	0.5196	0.4608	0.06	0.1674	0.3044	-0.3691	-0.3349	-0.4804	-0.4818	-0.5833	-1.0489	-1.0489	-0.7224	-0.3775	-0.9559	-0.7093	0.2629	0.4201	0.8266	0.9617	0.9443	0.9443	0.4549
-1	0.2609	-1.0979	-0.6858	-0.152	-1.1832	0.4109	1.5601	1.7573	0.8185	-0.3116	-0.1768	-0.1768	-1.0091	-1.2555	-2.1751	-2.1416	-0.9406	-1.6006	-0.2062	0.1086	2.0615	2.0615	0.4248
1	-1.7809	1.8033	0.7456	-0.0153	0.0179	-0.16	-0.0971	-0.2161	-0.6549	-0.0119	-0.6071	-0.6071	0.4453	-0.9149	-2.1154	-1.687	-0.1428	-0.9877	-0.1131	0.8379	0.7132	0.7132	1.787
2	-0.4456	-0.4574	0.1006	0.4985	0.3998	0.4738	0.3537	0.0798	0.0289	0.0732	0.1141	0.1141	0.1057	-0.9581	-0.7139	-0.3396	-0.0724	-0.3118	-0.3924	0.8144	1.1064	1.1064	0.9678
3	-0.8094	-0.0875	-0.877	0.1875	-0.6713	-0.1205	0.4855	0.783	0.4755	-0.1611	1.744	1.744	0.7165	-0.4511	-1.3329	-0.4575	-0.8924	-1.1354	-0.8739	-0.7335	-0.6734	-0.6734	-0.1682
4	-0.0816	0.0465	-0.2227	0.0172	-0.0335	-0.2161	-0.1809	-0.4437	-0.1325	0.0606	0.2984	0.2984	0.4686	-0.1511	0.1655	0.1909	0.1918	-0.3036	0.0306	0.0055	-0.3708	-0.3708	0.3041
5	0.5609	0.0479	-0.1469	-0.1033	0.0451	-0.0056	-0.4699	-0.4787	-0.1195	-0.2208	0.219	0.219	0.1827	0.0079	0.0525	0.2861	-0.3042	0.048	-0.0193	-0.0733	-0.5433	-0.5433	0.1566
