Row,Column,x,y,w,h
0,0,102,549,44,21
0,1,148,549,47,21
0,2,198,549,48,21
0,3,249,549,37,21
0,4,289,549,49,21
0,5,342,549,40,21
0,6,385,549,41,21
0,7,429,549,39,21
0,8,471,549,48,21
0,9,522,549,45,21
0,10,570,549,41,21
0,11,614,549,46,21
0,12,663,549,46,21
0,13,713,549,39,21
0,14,755,549,43,21
0,15,801,549,34,21
0,16,839,549,39,21
0,17,882,549,46,21
0,18,931,549,41,21
0,19,975,549,38,21
0,20,1016,549,37,21
0,21,1056,549,31,21
0,22,1090,549,38,21
0,23,1132,549,39,21
1,0,102,573,44,21
1,1,148,573,47,21
1,2,198,573,48,21
1,3,249,573,37,21
1,4,289,573,49,21
1,5,342,573,40,21
1,6,385,573,41,21
1,7,429,573,39,21
1,8,471,573,48,21
1,9,522,573,45,21
1,10,570,573,41,21
1,11,614,573,46,21
1,12,663,573,46,21
1,13,713,573,39,21
1,14,755,573,43,21
1,15,801,573,34,21
1,16,839,573,39,21
1,17,882,573,46,21
1,18,931,573,41,21
1,19,975,573,38,21
1,20,1016,573,37,21
1,21,1056,573,31,21
1,22,1090,573,38,21
1,23,1132,573,39,21
