title,year,rank,imdb_id
"The inaugural Cannes Film Festival was to have been held in 1939, but was cancelled due to the outbreak of the Second World War.[a]",1939,,
Brief Encounter,1946,,
Die Letzte Chance,The Last Chance,,
Billy Wilder,The Lost Weekend,,
Emilio Fernández,María Candelaria,,
Muži bez křídel,Men Without Wings,,
Chetan Anand,Neecha Nagar,,
La symphonie pastorale,Pastoral Symphony,,
De røde enge,The Red Meadows,,
"Roma, città aperta","Rome, Open City",,
Hets,Torment,,
Великий перелом,The Turning Point,,
Antoine and Antoinette (Best Psychological & Love Film),1947,,
Edward Dmytryk,Crossfire (Best Social Film),,
Les Maudits,The Damned (Best Adventure & Crime Film),,
Vincente Minnelli,Ziegfeld Follies (Best Musical Comedy),,
Festival cancelled,1948,,
The Third Man,1949,,
Festival cancelled,1950,,
Miracle in Milan,1951,,
Fröken Julie,Miss Julie,,
Othello,1952,,
Due soldi di speranza,Two Cents Worth of Hope,,
The Wages of Fear,1953,,
Gate of Hell,1954,,
Marty §,1955,,
The Silent World,1956,,
Friendly Persuasion,1957,,
The Cranes Are Flying,1958,,
Black Orpheus §,1959,,
La dolce vita §,1960,,
The Long Absence §,1961,,
Luis Buñuel,Viridiana §,,
O Pagador de Promessas §,1962,,
The Leopard §,1963,,
The Umbrellas of Cherbourg,1964,,
The Knack ...and How to Get It,1965,,
"The Birds, the Bees and the Italians",1966,,
Un homme et une femme,A Man and a Woman,,
Blowup,1967,,
The festival was cancelled midway through to show solidarity with the students and workers who were demonstrating in what became known as the May 68 movement.,1968,,
If....,1969,,
M*A*S*H,1970,,
The Go-Between,1971,,
The Mattei Affair §,1972,,
La classe operaia va in paradiso,The Working Class Goes to Heaven §,,
The Hireling,1973,,
Jerry Schatzberg,Scarecrow,,
The Conversation,1974,,
Chronicle of the Years of Fire,1975,,
Taxi Driver,1976,,
Padre Padrone,1977,,
The Tree of Wooden Clogs §,1978,,
Apocalypse Now,1979,,
Die Blechtrommel,The Tin Drum,,
All That Jazz,1980,,
影武者,Kagemusha,,
Man of Iron,1981,,
Missing §,1982,,
Yılmaz Güney & Şerif Gören,Yol §,,
The Ballad of Narayama,1983,,
"Paris, Texas §",1984,,
When Father Was Away on Business §,1985,,
The Mission,1986,,
Under the Sun of Satan §,1987,,
Pelle the Conqueror,1988,,
"Sex, Lies, and Videotape",1989,,
Wild at Heart,1990,,
Barton Fink §,1991,,
The Best Intentions,1992,,
Farewell My Concubine,1993,,
Jane Campion,The Piano,,
Pulp Fiction,1994,,
Underground,1995,,
Secrets & Lies,1996,,
The Eel,1997,,
طعم گيلاس,Taste of Cherry,,
Eternity and a Day §,1998,,
Rosetta §,1999,,
Dancer in the Dark,2000,,
The Son's Room,2001,,
The Pianist,2002,,
Elephant,2003,,
Fahrenheit 9/11,2004,,
L'Enfant,2005,,
The Wind That Shakes the Barley §,2006,,
"4 Months, 3 Weeks and 2 Days",2007,,
The Class §,2008,,
The White Ribbon,2009,,
Uncle Boonmee Who Can Recall His Past Lives,2010,,
The Tree of Life,2011,,
Amour,2012,,
Blue Is the Warmest Colour §,2013,,
Winter Sleep,2014,,
Dheepan,2015,,
"I, Daniel Blake",2016,,
The Square,2017,,
Shoplifters,2018,,
Parasite §,2019,,
"Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.",2020,,
Titane,2021,,
Triangle of Sadness,2022,,
Anatomy of a Fall,2023,,
Anora,2024,,
It Was Just an Accident,2025,,
The Image Book,2018,,
