title,year,rank,imdb_id
Born in Flames,1983,243,
Pandora's Box,1928,243,
Sullivan's Travels,1941,243,
Annie Hall,1977,243,
Earth,1930,243,
My Darling Clementine,1946,243,
Mouchette,1966,243,
A Clockwork Orange,1971,243,
A Canterbury Tale,1944,243,
Videodrome,1983,243,
Possession,1981,243,
Soleil Ô,1970,243,
"Distant Voices, Still Lives",1988,243,
Nostalgia for the Light,2010,243,
Syndromes and a Century,2006,243,
The Intruder,2004,243,
Morvern Callar,2001,243,
In Vanda's Room,2000,243,
Werckmeister Harmonies,2000,243,
Taste of Cherry,1997,243,
The Quince Tree Sun,1992,243,
The Last Laugh,1924,243,
"Harlan County, USA",1976,225,
Cries and Whispers,1972,225,
Star Wars,1977,225,
Intolerance,1916,225,
The Hour of the Furnaces,1968,225,
Europa '51,1952,225,
Napoléon,1927,225,
The Crowd,1928,225,
A Touch of Zen,1969,225,
"Je, tu, il, elle",1974,225,
Petite maman,2021,225,
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000,225,
Flowers of Shanghai,1998,225,
Happy Together,1997,225,
Crash,1996,225,
Blue,1993,225,
Grave of the Fireflies,1988,225,
The Green Ray,1986,225,
By the Bluest of Seas,1935,211,
Duck Soup,1933,211,
All about Eve,1950,211,
Brief Encounter,1945,211,
Suspiria,1977,211,
In a Lonely Place,1950,211,
The Deer Hunter,1978,211,
Army of Shadows,1969,211,
Melancholia,2011,211,
Twenty Years Later,1984,211,
Twin Peaks: Fire Walk with Me,1992,211,
Pink Flamingos,1972,211,
Raiders of the Lost Ark,1981,211,
Limite,1931,211,
The Life and Death of Colonel Blimp,1943,196,
Wavelength,1967,196,
I Know Where I’m Going!,1945,196,
L' eclisse,1962,196,
Double Indemnity,1944,196,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,196,
One Way or Another,1977,196,
Nosferatu,1922,196,
Paisan,1946,196,
Zama,2017,196,
Mad Max: Fury Road,2015,196,
The Tree of Life,2010,196,
Uncle Boonmee Who Can Recall His Past Lives,2010,196,
The Headless Woman,2008,196,
Paris Is Burning,1990,196,
"Paris, Texas",1984,185,
Les Demoiselles de Rochefort,1967,185,
The Birds,1963,185,
The River,1951,185,
An Autumn Afternoon,1962,185,
Love Streams,1984,185,
Greed,1923,185,
Ran,1985,185,
Pyaasa,1957,185,
Wings of Desire,1987,185,
Magnolia,1999,185,
