adapter_type,spark_type,spark_version,is_complex,cast_expression,notes
VARCHAR,StringType,all,false,,Variable-length string
NVARCHAR,StringType,all,false,,Unicode variable-length
CHAR,StringType,all,false,,Fixed-length string
NCHAR,StringType,all,false,,Unicode fixed-length
TEXT,StringType,all,false,,Variable text (deprecated)
NTEXT,StringType,all,false,,Unicode text (deprecated)
TINYINT,ShortType,all,false,,8-bit unsigned (0-255)
SMALLINT,ShortType,all,false,,16-bit signed integer
INT,IntegerType,all,false,,32-bit signed integer
BIGINT,LongType,all,false,,64-bit signed integer
REAL,FloatType,all,false,,32-bit floating point
FLOAT,DoubleType,all,false,,64-bit floating point
DECIMAL,DecimalType,all,false,,Exact numeric with precision
NUMERIC,DecimalType,all,false,,Alias for DECIMAL
MONEY,DecimalType,all,false,,Currency (8 bytes)
SMALLMONEY,DecimalType,all,false,,Currency (4 bytes)
BIT,BooleanType,all,false,,Boolean (0 or 1)
DATE,DateType,all,false,,Calendar date
TIME,StringType,all,false,,Time of day
DATETIME,TimestampType,all,false,,Date and time (3.33ms precision)
DATETIME2,TimestampType,all,false,,Date and time (100ns precision)
SMALLDATETIME,TimestampType,all,false,,Date and time (minute precision)
DATETIMEOFFSET,TimestampType,all,false,,Date time with timezone
BINARY,BinaryType,all,false,,Fixed-length binary
VARBINARY,BinaryType,all,false,,Variable-length binary
IMAGE,BinaryType,all,false,,Binary data (deprecated)
UNIQUEIDENTIFIER,StringType,all,false,,GUID/UUID
XML,StringType,all,true,CAST({} AS NVARCHAR(MAX)),XML document
SQL_VARIANT,StringType,all,false,,Mixed data types
GEOGRAPHY,StringType,all,false,,Geographic data (CLR)
GEOMETRY,StringType,all,false,,Geometric data (CLR)
HIERARCHYID,StringType,all,false,,Hierarchy position
TIMESTAMP,BinaryType,all,false,,Row version (not datetime!)
ROWVERSION,BinaryType,all,false,,Alias for TIMESTAMP
