adapter_type,spark_type,spark_version,is_complex,cast_expression,notes
VARCHAR,StringType,all,false,,Variable-length string (max 65535)
CHAR,StringType,all,false,,Fixed-length string
BPCHAR,StringType,all,false,,Blank-padded character
TEXT,StringType,all,false,,Variable unlimited length (alias)
NVARCHAR,StringType,all,false,,Unicode VARCHAR
NCHAR,StringType,all,false,,Unicode CHAR
SMALLINT,ShortType,all,false,,16-bit signed integer
INT2,ShortType,all,false,,Alias for SMALLINT
INTEGER,IntegerType,all,false,,32-bit signed integer
INT,IntegerType,all,false,,Alias for INTEGER
INT4,IntegerType,all,false,,Alias for INTEGER
BIGINT,LongType,all,false,,64-bit signed integer
INT8,LongType,all,false,,Alias for BIGINT
REAL,FloatType,all,false,,32-bit floating point
FLOAT4,FloatType,all,false,,Alias for REAL
DOUBLE PRECISION,DoubleType,all,false,,64-bit floating point
FLOAT8,DoubleType,all,false,,Alias for DOUBLE PRECISION
FLOAT,DoubleType,all,false,,Alias for DOUBLE PRECISION
DECIMAL,DecimalType,all,false,,Exact numeric with precision
NUMERIC,DecimalType,all,false,,Alias for DECIMAL
BOOLEAN,BooleanType,all,false,,True/false value
BOOL,BooleanType,all,false,,Alias for BOOLEAN
DATE,DateType,all,false,,Calendar date
TIME,StringType,all,false,,Time of day
TIMETZ,StringType,all,false,,Time with timezone
TIMESTAMP,TimestampType,all,false,,Timestamp without timezone
TIMESTAMPTZ,TimestampType,all,false,,Timestamp with timezone
GEOMETRY,StringType,all,false,,Spatial geometry (EWKB)
GEOGRAPHY,StringType,all,false,,Geographic data
HLLSKETCH,StringType,all,false,,HyperLogLog sketch
SUPER,StringType,all,true,JSON_SERIALIZE({}),Semi-structured data
VARBYTE,BinaryType,all,false,,Variable-length binary
