adapter_type,spark_type,spark_version,is_complex,cast_expression,notes
VARCHAR,StringType,all,false,,Variable-length character string
CHAR,StringType,all,false,,Fixed-length character string
TEXT,StringType,all,false,,Variable unlimited length text
BPCHAR,StringType,all,false,,Blank-padded character
NAME,StringType,all,false,,Internal type for identifiers
INTEGER,IntegerType,all,false,,32-bit signed integer
INT,IntegerType,all,false,,Alias for INTEGER
INT4,IntegerType,all,false,,Alias for INTEGER
SMALLINT,ShortType,all,false,,16-bit signed integer
INT2,ShortType,all,false,,Alias for SMALLINT
BIGINT,LongType,all,false,,64-bit signed integer
INT8,LongType,all,false,,Alias for BIGINT
SERIAL,IntegerType,all,false,,Auto-incrementing integer
BIGSERIAL,LongType,all,false,,Auto-incrementing bigint
SMALLSERIAL,ShortType,all,false,,Auto-incrementing smallint
REAL,FloatType,all,false,,32-bit floating point
FLOAT4,FloatType,all,false,,Alias for REAL
DOUBLE PRECISION,DoubleType,all,false,,64-bit floating point
FLOAT8,DoubleType,all,false,,Alias for DOUBLE PRECISION
FLOAT,DoubleType,all,false,,Floating point (defaults to double)
NUMERIC,DecimalType,all,false,,Exact numeric with precision
DECIMAL,DecimalType,all,false,,Alias for NUMERIC
MONEY,DecimalType,all,false,,Currency amount
BOOLEAN,BooleanType,all,false,,True/false value
BOOL,BooleanType,all,false,,Alias for BOOLEAN
DATE,DateType,all,false,,Calendar date
TIME,StringType,all,false,,Time of day (no timezone)
TIMETZ,StringType,all,false,,Time with timezone
TIMESTAMP,TimestampType,all,false,,Date and time (no timezone)
TIMESTAMPTZ,TimestampType,all,false,,Date and time with timezone
INTERVAL,StringType,all,false,,Time interval
BYTEA,BinaryType,all,false,,Binary data
UUID,StringType,all,false,,Universally unique identifier
JSON,StringType,all,true,CAST({} AS STRING),JSON data
JSONB,StringType,all,true,CAST({} AS STRING),Binary JSON data
XML,StringType,all,true,CAST({} AS STRING),XML data
ARRAY,ArrayType,all,true,,PostgreSQL array type
INET,StringType,all,false,,IPv4 or IPv6 host address
CIDR,StringType,all,false,,IPv4 or IPv6 network address
MACADDR,StringType,all,false,,MAC address
MACADDR8,StringType,all,false,,MAC address (EUI-64 format)
BIT,StringType,all,false,,Fixed-length bit string
VARBIT,StringType,all,false,,Variable-length bit string
POINT,StringType,all,false,,Geometric point
LINE,StringType,all,false,,Infinite line
LSEG,StringType,all,false,,Line segment
BOX,StringType,all,false,,Rectangular box
PATH,StringType,all,false,,Geometric path
POLYGON,StringType,all,false,,Closed geometric path
CIRCLE,StringType,all,false,,Circle
TSVECTOR,StringType,all,false,,Text search document
TSQUERY,StringType,all,false,,Text search query
OID,LongType,all,false,,Object identifier
REGCLASS,StringType,all,false,,Relation name
REGTYPE,StringType,all,false,,Data type name
