adapter_type,spark_type,spark_version,is_complex,cast_expression,notes
VARCHAR,StringType,all,false,,Variable-length string
STRING,StringType,all,false,,Alias for VARCHAR
TEXT,StringType,all,false,,Alias for VARCHAR
CHAR,StringType,all,false,,Fixed-length string
CHARACTER,StringType,all,false,,Alias for CHAR
NVARCHAR,StringType,all,false,,Unicode VARCHAR
NCHAR,StringType,all,false,,Unicode CHAR
NUMBER,DecimalType,all,false,,Numeric with precision and scale
DECIMAL,DecimalType,all,false,,Alias for NUMBER
NUMERIC,DecimalType,all,false,,Alias for NUMBER
INT,LongType,all,false,,Integer (38 digits precision)
INTEGER,LongType,all,false,,Alias for INT
BIGINT,LongType,all,false,,Alias for INT
SMALLINT,LongType,all,false,,Alias for INT
TINYINT,LongType,all,false,,Alias for INT
BYTEINT,LongType,all,false,,Alias for INT
FLOAT,DoubleType,all,false,,64-bit floating point
FLOAT4,FloatType,all,false,,32-bit floating point
FLOAT8,DoubleType,all,false,,64-bit floating point
DOUBLE,DoubleType,all,false,,Alias for FLOAT
DOUBLE PRECISION,DoubleType,all,false,,Alias for FLOAT
REAL,FloatType,all,false,,32-bit floating point
BOOLEAN,BooleanType,all,false,,True/false value
DATE,DateType,all,false,,Calendar date
TIME,StringType,all,false,,Time of day
DATETIME,TimestampType,all,false,,Alias for TIMESTAMP
TIMESTAMP,TimestampType,all,false,,Timestamp without timezone
TIMESTAMP_LTZ,TimestampType,all,false,,Timestamp with local timezone
TIMESTAMP_NTZ,TimestampType,all,false,,Timestamp no timezone
TIMESTAMP_TZ,TimestampType,all,false,,Timestamp with timezone
BINARY,BinaryType,all,false,,Binary data
VARBINARY,BinaryType,all,false,,Variable binary
VARIANT,StringType,all,true,TO_JSON({}),Semi-structured data
OBJECT,StringType,all,true,TO_JSON({}),Key-value pairs
ARRAY,StringType,all,true,TO_JSON({}),Ordered list of values
GEOGRAPHY,StringType,all,false,,Geographic data (WKT)
GEOMETRY,StringType,all,false,,Geometric data (WKT)
