	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	61908315.12	66066481.5	61150262.17	63602767.73	57341643.61	46446146.82	49503368.4	60857485.91	66494656.82	60497319.39	65320922.26	120893295.17	73094133.75	59781852.48	43655474.67	45917413.96	69206601.89	72127415.39	98643459.64	95754268.55	118894959.24	118894959.24	140856247.95
-4	61413485.69	55022762.81	60775285.39	63757146.58	43274053.23	37123850.6	46260773.97	44122736.05	56493391.85	46693522.35	60989080.12	115031475.79	67794019.39	43878054.43	33839354.12	36566813.53	63373238.56	49518934.95	107944414.5	111870493.48	134496838.48	134496838.48	170457195.46
-3	44349108.3	45832147.06	37514927.73	59866946.8	46796700.46	45243356.97	35961663.43	35212921.3	41143298.75	38746130.29	46722158.35	94509190.47	48469757.15	44604944.12	23446280.22	26745549.85	44156842.51	64651720.91	117008450.66	133592912.04	149540095.79	149540095.79	195892880.25
-2	50652924.49	51028547.66	44508535.19	54445579.19	54108809.13	40785127.8	41976484.73	37549917.04	40988515.28	35691542.96	33082798.09	96317879.25	37763794.01	42310509.16	22544685.29	26206813.78	55303888.52	59131202.32	99972429.82	108430260.7	188965043.73	188965043.73	125453551.03
-1	27966089.04	15786621.52	28328904.53	40404374.31	24426897.44	32423671.6	38906246.76	48615939.99	37979935.18	30198938.63	27674154.0	84287247.17	18300331.44	27998050.41	8480342.91	9104756.42	28043671.1	42661464.61	175910686.13	126525517.91	258372221.99	258372221.99	186848587.7
1	11856763.85	14945685.55	36759250.36	37235514.47	45113046.3	50521886.5	60609200.73	50106549.33	35414439.35	37332765.93	34470850.03	67699162.71	39159202.37	27355418.07	10277575.01	12441440.41	45342961.33	20782704.67	41566369.78	166806362.99	133532015.34	133532015.34	263681609.45
2	27031309.51	31496810.41	31212216.7	47101121.42	40752073.65	41065627.37	39504392.86	41239534.28	37531008.62	38983763.47	51142709.16	94633469.3	63028948.7	30395732.09	23751472.75	29878755.93	39286309.95	44730907.07	45746280.24	70457130.9	94267798.98	94267798.98	146286392.89
3	69955349.44	50379016.98	39977931.96	51352418.7	37372687.54	37996090.33	58641317.17	63058177.38	42655407.07	38676978.65	46967338.94	56398051.94	46179517.56	34037916.09	24438195.19	25916837.98	31860662.85	32284295.33	33990995.76	39395608.63	39625255.59	39625255.59	63978407.27
4	46529710.23	41384544.7	40202747.63	47793230.76	41594489.87	39989863.81	37470194.97	32189565.68	34401195.48	47250810.41	46718182.24	41554216.26	49102411.0	42378930.21	37517410.04	36710348.8	47585022.66	38433179.02	52904358.47	59614925.42	66048935.73	66048935.73	74350202.69
5	92915962.68	70107804.12	72138085.17	80155931.96	70491073.1	80595008.31	65024396.67	60300917.89	70587377.97	68963101.15	73108602.99	102834173.54	70192965.47	67151293.37	66891560.64	67674158.77	71767363.59	75353595.37	83587069.47	87931920.61	100500745.2	100500745.2	96084005.33
