	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	218490646.59	250130652.65	197752394.43	162899142.61	150622508.82	162873221.4	135710934.55	178608588.25	182404242.53	188603699.34	179928038.27	312785240.25	175861731.89	180758286.0	132596052.97	160972647.17	174430127.63	225873871.65	217566858.42	216924660.68	179994917.15	179994917.15	222634396.49
-4	189005363.72	202190117.81	183192830.04	160552319.98	123454507.24	112920209.5	135851483.63	149021188.54	158697871.64	124400846.8	218907168.17	309834641.43	253293047.81	150851648.04	108553295.14	105954103.15	166718806.41	133600192.84	190305952.64	265873310.0	164311205.68	164311205.68	271531459.58
-3	124492159.79	135847195.79	122068730.5	115059493.5	142419517.28	130416452.15	92463490.78	94571600.44	90734040.9	97146347.98	135485366.37	308679752.65	165622106.89	158464128.44	70013230.98	85426695.93	99071285.38	176407597.17	150733770.83	183537603.66	122999628.67	122999628.67	233033671.73
-2	148881274.84	159176727.41	144930132.86	122601921.58	160274374.43	133819140.25	116081394.48	110865060.39	103619050.83	87303180.41	108001497.31	285014244.87	131975563.43	146236463.38	84822196.77	97504573.44	147634211.55	155627746.01	163960912.45	201622476.79	133879155.72	133879155.72	217284727.9
-1	103214246.89	46005494.61	72820971.32	80310972.85	65157375.89	72894429.53	81107977.45	128756434.06	115172309.91	69257392.79	83076430.04	412046364.97	44630047.64	136845628.88	13884469.6	18269211.0	70362297.7	232489478.7	198972685.6	121224769.08	92888772.53	92888772.53	678189456.95
1	28684315.29	80267229.38	180122809.2	127799416.62	88480857.13	92748034.02	207409173.54	188994225.59	87511174.41	162622653.5	174002084.12	335038033.77	196769807.68	152140627.99	14865886.69	18437239.79	73075172.14	34293170.6	52187036.9	85242727.93	171431028.88	171431028.88	311079046.34
2	80958468.32	42538865.7	82581723.58	92112385.49	94045017.52	90997346.75	90373344.11	95951253.54	100710982.61	99625359.79	109976651.64	189571621.58	162906430.24	82085984.71	66079571.18	97498354.99	94850204.04	102453078.75	72686481.52	100237938.95	68960211.83	68960211.83	168033112.87
3	84634977.09	58834462.35	68588272.42	111149179.97	71962362.39	69159485.43	153060032.22	225164060.42	191596211.05	144830102.07	164867925.09	173756170.46	143752933.34	82608938.82	25144542.59	35054684.89	45324182.98	37589646.83	43594664.46	35284585.75	34936535.3	34936535.3	78148889.45
4	149988734.05	126106331.33	87793629.37	82108884.35	80090106.61	79490468.38	72474941.53	72975688.83	66343348.55	102629697.88	97404853.08	81139903.68	111869929.23	105706055.43	62152281.4	75657365.21	83738630.52	78850497.18	87073299.78	118933167.27	84302699.07	84302699.07	108110253.99
5	6257274.76	4368980.55	3995283.62	5824904.29	3754698.91	3591503.55	3153116.61	3668361.44	3915013.36	3821137.92	4708817.01	6321444.28	6071213.81	4744556.11	3387987.1	3812052.83	2744752.2	2684444.78	2728975.85	2937232.15	2441578.81	2441578.81	3753289.99
